type,item,day,cost
Stock,SKU002,13,20.0
Order,SKU002,13,0.0
Stock,SKU002,14,12.0
Order,SKU002,14,0.0
Stock,SKU002,15,2.0
Order,SKU002,15,0.0
Stock,SKU002,16,56.0
Order,SKU002,16,704.0
Stock,SKU002,17,49.0
Order,SKU002,17,0.0
Stock,SKU002,18,40.0
Order,SKU002,18,0.0
Stock,SKU002,19,34.0
Order,SKU002,19,0.0
Stock,SKU002,20,23.0
Order,SKU002,20,0.0
Stock,SKU002,21,13.0
Order,SKU002,21,0.0
Stock,SKU002,22,7.0
Order,SKU002,22,0.0
Stock,SKU002,23,2.0
Order,SKU002,23,0.0
Stock,SKU002,24,47.0
Order,SKU002,24,510.0
Stock,SKU002,25,38.0
Order,SKU002,25,0.0
Stock,SKU002,26,29.0
Order,SKU002,26,0.0
Stock,SKU002,27,21.0
Order,SKU002,27,0.0
Stock,SKU002,28,13.0
Order,SKU002,28,0.0
Stock,SKU002,29,2.0
Order,SKU002,29,0.0
Stock,SKU002,30,2.0
Order,SKU002,30,60.0
Stock,SKU003,1,61.0
Order,SKU003,1,0.0
Stock,SKU003,2,57.0
Order,SKU003,2,48.0
Stock,SKU003,3,51.0
Order,SKU003,3,0.0
Stock,SKU003,4,44.0
Order,SKU003,4,0.0
Stock,SKU003,5,34.0
Order,SKU003,5,0.0
Stock,SKU003,6,22.0
Order,SKU003,6,0.0
Stock,SKU003,7,14.0
Order,SKU003,7,0.0
Stock,SKU003,8,2.0
Order,SKU003,8,0.0
Stock,SKU003,9,60.0
Order,SKU003,9,660.0
Stock,SKU003,10,51.0
Order,SKU003,10,0.0
Stock,SKU003,11,41.0
Order,SKU003,11,0.0
Stock,SKU003,12,29.0
Order,SKU003,12,0.0
Stock,SKU003,13,17.0
Order,SKU003,13,0.0
Stock,SKU003,14,11.0
Order,SKU003,14,0.0
Stock,SKU003,15,2.0
Order,SKU003,15,0.0
Stock,SKU003,16,61.0
Order,SKU003,16,737.0
Stock,SKU003,17,53.0
Order,SKU003,17,0.0
Stock,SKU003,18,43.0
Order,SKU003,18,0.0
Stock,SKU003,19,31.0
Order,SKU003,19,0.0
Stock,SKU003,20,25.0
Order,SKU003,20,0.0
Stock,SKU003,21,15.0
Order,SKU003,21,0.0
Stock,SKU003,22,7.0
Order,SKU003,22,0.0
Stock,SKU003,23,2.0
Order,SKU003,23,0.0
Stock,SKU003,24,45.0
Order,SKU003,24,572.0
Stock,SKU003,25,35.0
Order,SKU003,25,0.0
Stock,SKU003,26,25.0
Order,SKU003,26,0.0
Stock,SKU003,27,18.0
Order,SKU003,27,0.0
Stock,SKU003,28,10.0
Order,SKU003,28,0.0
Stock,SKU003,29,2.0
Order,SKU003,29,0.0
Stock,SKU003,30,2.0
Order,SKU003,30,70.0
Stock,SKU004,1,65.0
Order,SKU004,1,0.0
Stock,SKU004,2,54.0
Order,SKU004,2,0.0
Stock,SKU004,3,48.0
Order,SKU004,3,0.0
Stock,SKU004,4,43.0
Order,SKU004,4,0.0
Stock,SKU004,5,32.0
Order,SKU004,5,0.0
Stock,SKU004,6,26.0
Order,SKU004,6,0.0
Stock,SKU004,7,21.0
Order,SKU004,7,0.0
Stock,SKU004,8,13.0
Order,SKU004,8,0.0
Stock,SKU004,9,46.0
Order,SKU004,9,540.0
Stock,SKU004,10,40.0
Order,SKU004,10,0.0
Stock,SKU004,11,32.0
Order,SKU004,11,0.0
Stock,SKU004,12,25.0
Order,SKU004,12,0.0
Stock,SKU004,13,20.0
Order,SKU004,13,0.0
Stock,SKU004,14,9.0
Order,SKU004,14,0.0
Stock,SKU004,15,2.0
Order,SKU004,15,0.0
Stock,SKU004,16,58.0
Order,SKU004,16,670.0
Stock,SKU004,17,50.0
Order,SKU004,17,0.0
Stock,SKU004,18,42.0
Order,SKU004,18,0.0
Stock,SKU004,19,37.0
Order,SKU004,19,0.0
Stock,SKU004,20,27.0
Order,SKU004,20,0.0
Stock,SKU004,21,20.0
Order,SKU004,21,0.0
Stock,SKU004,22,11.0
Order,SKU004,22,0.0
Stock,SKU004,23,2.0
Order,SKU004,23,0.0
Stock,SKU004,24,43.0
Order,SKU004,24,506.0
Stock,SKU004,25,38.0
Order,SKU004,25,0.0
Stock,SKU004,26,27.0
Order,SKU004,26,0.0
Stock,SKU004,27,18.0
Order,SKU004,27,0.0
Stock,SKU004,28,12.0
Order,SKU004,28,0.0
Stock,SKU004,29,2.0
Order,SKU004,29,0.0
Stock,SKU004,30,2.0
Order,SKU004,30,55.0
Stock,SKU005,1,53.0
Order,SKU005,1,0.0
Stock,SKU005,2,61.0
Order,SKU005,2,228.0
Stock,SKU005,3,51.0
Order,SKU005,3,0.0
Stock,SKU005,4,43.0
Order,SKU005,4,0.0
Stock,SKU005,5,32.0
Order,SKU005,5,0.0
Stock,SKU005,6,21.0
Order,SKU005,6,0.0
Stock,SKU005,7,13.0
Order,SKU005,7,0.0
Stock,SKU005,8,2.0
Order,SKU005,8,0.0
Stock,SKU005,9,55.0
Order,SKU005,9,610.0
Stock,SKU005,10,43.0
Order,SKU005,10,0.0
Stock,SKU005,11,31.0
Order,SKU005,11,0.0
Stock,SKU005,12,20.0
Order,SKU005,12,0.0
Stock,SKU005,13,15.0
Order,SKU005,13,0.0
Stock,SKU005,14,9.0
Order,SKU005,14,0.0
Stock,SKU005,15,2.0
Order,SKU005,15,0.0
Stock,SKU005,16,59.0
Order,SKU005,16,748.0
Stock,SKU005,17,52.0
Order,SKU005,17,0.0
Stock,SKU005,18,43.0
Order,SKU005,18,0.0
Stock,SKU005,19,35.0
Order,SKU005,19,0.0
Stock,SKU005,20,23.0
Order,SKU005,20,0.0
Stock,SKU005,21,16.0
Order,SKU005,21,0.0
Stock,SKU005,22,10.0
Order,SKU005,22,0.0
Stock,SKU005,23,2.0
Order,SKU005,23,0.0
Stock,SKU005,24,40.0
Order,SKU005,24,506.0
Stock,SKU005,25,33.0
Order,SKU005,25,0.0
Stock,SKU005,26,27.0
Order,SKU005,26,0.0
Stock,SKU005,27,22.0
Order,SKU005,27,0.0
Stock,SKU005,28,13.0
Order,SKU005,28,0.0
Stock,SKU005,29,2.0
Order,SKU005,29,0.0
Stock,SKU005,30,2.0
Order,SKU005,30,60.0
