type,item,day,cost
Stock,SKU002,13,10.0
Order,SKU002,13,0.0
Stock,SKU002,14,2.0
Order,SKU002,14,0.0
Stock,SKU002,15,61.0
Order,SKU002,15,770.0
Stock,SKU002,16,50.0
Order,SKU002,16,0.0
Stock,SKU002,17,42.0
Order,SKU002,17,0.0
Stock,SKU002,18,32.0
Order,SKU002,18,0.0
Stock,SKU002,19,20.0
Order,SKU002,19,0.0
Stock,SKU002,20,9.0
Order,SKU002,20,0.0
Stock,SKU002,21,2.0
Order,SKU002,21,0.0
Stock,SKU002,22,50.0
Order,SKU002,22,660.0
Stock,SKU002,23,44.0
Order,SKU002,23,0.0
Stock,SKU002,24,38.0
Order,SKU002,24,0.0
Stock,SKU002,25,26.0
Order,SKU002,25,0.0
Stock,SKU002,26,15.0
Order,SKU002,26,0.0
Stock,SKU002,27,7.0
Order,SKU002,27,0.0
Stock,SKU002,28,2.0
Order,SKU002,28,0.0
Stock,SKU002,29,13.0
Order,SKU002,29,230.0
Stock,SKU002,30,2.0
Order,SKU002,30,0.0
Stock,SKU003,1,61.0
Order,SKU003,1,0.0
Stock,SKU003,2,56.0
Order,SKU003,2,0.0
Stock,SKU003,3,48.0
Order,SKU003,3,0.0
Stock,SKU003,4,41.0
Order,SKU003,4,0.0
Stock,SKU003,5,31.0
Order,SKU003,5,0.0
Stock,SKU003,6,23.0
Order,SKU003,6,0.0
Stock,SKU003,7,57.0
Order,SKU003,7,440.0
Stock,SKU003,8,48.0
Order,SKU003,8,0.0
Stock,SKU003,9,41.0
Order,SKU003,9,0.0
Stock,SKU003,10,30.0
Order,SKU003,10,0.0
Stock,SKU003,11,20.0
Order,SKU003,11,0.0
Stock,SKU003,12,12.0
Order,SKU003,12,0.0
Stock,SKU003,13,7.0
Order,SKU003,13,0.0
Stock,SKU003,14,2.0
Order,SKU003,14,0.0
Stock,SKU003,15,48.0
Order,SKU003,15,624.0
Stock,SKU003,16,40.0
Order,SKU003,16,0.0
Stock,SKU003,17,33.0
Order,SKU003,17,0.0
Stock,SKU003,18,27.0
Order,SKU003,18,0.0
Stock,SKU003,19,15.0
Order,SKU003,19,0.0
Stock,SKU003,20,8.0
Order,SKU003,20,0.0
Stock,SKU003,21,2.0
Order,SKU003,21,0.0
Stock,SKU003,22,46.0
Order,SKU003,22,490.0
Stock,SKU003,23,38.0
Order,SKU003,23,0.0
Stock,SKU003,24,33.0
Order,SKU003,24,0.0
Stock,SKU003,25,25.0
Order,SKU003,25,0.0
Stock,SKU003,26,18.0
Order,SKU003,26,0.0
Stock,SKU003,27,7.0
Order,SKU003,27,0.0
Stock,SKU003,28,2.0
Order,SKU003,28,0.0
Stock,SKU003,29,2.0
Order,SKU003,29,110.0
Stock,SKU003,30,2.0
Order,SKU003,30,120.0
Stock,SKU004,1,65.0
Order,SKU004,1,0.0
Stock,SKU004,2,59.0
Order,SKU004,2,0.0
Stock,SKU004,3,50.0
Order,SKU004,3,0.0
Stock,SKU004,4,41.0
Order,SKU004,4,0.0
Stock,SKU004,5,33.0
Order,SKU004,5,0.0
Stock,SKU004,6,22.0
Order,SKU004,6,0.0
Stock,SKU004,7,61.0
Order,SKU004,7,517.0
Stock,SKU004,8,49.0
Order,SKU004,8,0.0
Stock,SKU004,9,41.0
Order,SKU004,9,0.0
Stock,SKU004,10,36.0
Order,SKU004,10,0.0
Stock,SKU004,11,29.0
Order,SKU004,11,0.0
Stock,SKU004,12,19.0
Order,SKU004,12,0.0
Stock,SKU004,13,13.0
Order,SKU004,13,0.0
Stock,SKU004,14,2.0
Order,SKU004,14,0.0
Stock,SKU004,15,46.0
Order,SKU004,15,572.0
Stock,SKU004,16,41.0
Order,SKU004,16,0.0
Stock,SKU004,17,35.0
Order,SKU004,17,0.0
Stock,SKU004,18,29.0
Order,SKU004,18,0.0
Stock,SKU004,19,21.0
Order,SKU004,19,0.0
Stock,SKU004,20,13.0
Order,SKU004,20,0.0
Stock,SKU004,21,2.0
Order,SKU004,21,0.0
Stock,SKU004,22,51.0
Order,SKU004,22,610.0
Stock,SKU004,23,40.0
Order,SKU004,23,0.0
Stock,SKU004,24,32.0
Order,SKU004,24,0.0
Stock,SKU004,25,21.0
Order,SKU004,25,0.0
Stock,SKU004,26,14.0
Order,SKU004,26,0.0
Stock,SKU004,27,9.0
Order,SKU004,27,0.0
Stock,SKU004,28,2.0
Order,SKU004,28,0.0
Stock,SKU004,29,2.0
Order,SKU004,29,120.0
Stock,SKU004,30,2.0
Order,SKU004,30,66.0
Stock,SKU005,1,53.0
Order,SKU005,1,0.0
Stock,SKU005,2,42.0
Order,SKU005,2,0.0
Stock,SKU005,3,37.0
Order,SKU005,3,0.0
Stock,SKU005,4,31.0
Order,SKU005,4,0.0
Stock,SKU005,5,25.0
Order,SKU005,5,0.0
Stock,SKU005,6,13.0
Order,SKU005,6,0.0
Stock,SKU005,7,55.0
Order,SKU005,7,530.0
Stock,SKU005,8,50.0
Order,SKU005,8,0.0
Stock,SKU005,9,44.0
Order,SKU005,9,0.0
Stock,SKU005,10,33.0
Order,SKU005,10,0.0
Stock,SKU005,11,26.0
Order,SKU005,11,0.0
Stock,SKU005,12,20.0
Order,SKU005,12,0.0
Stock,SKU005,13,10.0
Order,SKU005,13,0.0
Stock,SKU005,14,2.0
Order,SKU005,14,0.0
Stock,SKU005,15,54.0
Order,SKU005,15,590.0
Stock,SKU005,16,43.0
Order,SKU005,16,0.0
Stock,SKU005,17,35.0
Order,SKU005,17,0.0
Stock,SKU005,18,27.0
Order,SKU005,18,0.0
Stock,SKU005,19,20.0
Order,SKU005,19,0.0
Stock,SKU005,20,9.0
Order,SKU005,20,0.0
Stock,SKU005,21,2.0
Order,SKU005,21,0.0
Stock,SKU005,22,56.0
Order,SKU005,22,630.0
Stock,SKU005,23,44.0
Order,SKU005,23,0.0
Stock,SKU005,24,36.0
Order,SKU005,24,0.0
Stock,SKU005,25,29.0
Order,SKU005,25,0.0
Stock,SKU005,26,21.0
Order,SKU005,26,0.0
Stock,SKU005,27,14.0
Order,SKU005,27,0.0
Stock,SKU005,28,2.0
Order,SKU005,28,0.0
Stock,SKU005,29,2.0
Order,SKU005,29,132.0
Stock,SKU005,30,2.0
Order,SKU005,30,120.0
