type,item,day,cost
Stock,SKU002,13,32.0
Order,SKU002,13,0.0
Stock,SKU002,14,24.0
Order,SKU002,14,0.0
Stock,SKU002,15,13.0
Order,SKU002,15,0.0
Stock,SKU002,16,2.0
Order,SKU002,16,0.0
Stock,SKU002,17,42.0
Order,SKU002,17,480.0
Stock,SKU002,18,32.0
Order,SKU002,18,0.0
Stock,SKU002,19,20.0
Order,SKU002,19,0.0
Stock,SKU002,20,9.0
Order,SKU002,20,0.0
Stock,SKU002,21,2.0
Order,SKU002,21,0.0
Stock,SKU002,22,37.0
Order,SKU002,22,517.0
Stock,SKU002,23,31.0
Order,SKU002,23,0.0
Stock,SKU002,24,25.0
Order,SKU002,24,0.0
Stock,SKU002,25,13.0
Order,SKU002,25,0.0
Stock,SKU002,26,2.0
Order,SKU002,26,0.0
Stock,SKU002,27,19.0
Order,SKU002,27,300.0
Stock,SKU002,28,14.0
Order,SKU002,28,0.0
Stock,SKU002,29,2.0
Order,SKU002,29,0.0
Stock,SKU002,30,2.0
Order,SKU002,30,132.0
Stock,SKU003,1,61.0
Order,SKU003,1,0.0
Stock,SKU003,2,56.0
Order,SKU003,2,0.0
Stock,SKU003,3,48.0
Order,SKU003,3,0.0
Stock,SKU003,4,41.0
Order,SKU003,4,0.0
Stock,SKU003,5,31.0
Order,SKU003,5,0.0
Stock,SKU003,6,23.0
Order,SKU003,6,0.0
Stock,SKU003,7,39.0
Order,SKU003,7,242.0
Stock,SKU003,8,30.0
Order,SKU003,8,0.0
Stock,SKU003,9,23.0
Order,SKU003,9,0.0
Stock,SKU003,10,12.0
Order,SKU003,10,0.0
Stock,SKU003,11,2.0
Order,SKU003,11,0.0
Stock,SKU003,12,26.0
Order,SKU003,12,352.0
Stock,SKU003,13,21.0
Order,SKU003,13,0.0
Stock,SKU003,14,16.0
Order,SKU003,14,0.0
Stock,SKU003,15,10.0
Order,SKU003,15,0.0
Stock,SKU003,16,2.0
Order,SKU003,16,0.0
Stock,SKU003,17,33.0
Order,SKU003,17,456.0
Stock,SKU003,18,27.0
Order,SKU003,18,0.0
Stock,SKU003,19,15.0
Order,SKU003,19,0.0
Stock,SKU003,20,8.0
Order,SKU003,20,0.0
Stock,SKU003,21,2.0
Order,SKU003,21,0.0
Stock,SKU003,22,30.0
Order,SKU003,22,330.0
Stock,SKU003,23,22.0
Order,SKU003,23,0.0
Stock,SKU003,24,17.0
Order,SKU003,24,0.0
Stock,SKU003,25,9.0
Order,SKU003,25,0.0
Stock,SKU003,26,2.0
Order,SKU003,26,0.0
Stock,SKU003,27,17.0
Order,SKU003,27,260.0
Stock,SKU003,28,12.0
Order,SKU003,28,0.0
Stock,SKU003,29,2.0
Order,SKU003,29,0.0
Stock,SKU003,30,2.0
Order,SKU003,30,120.0
Stock,SKU004,1,65.0
Order,SKU004,1,0.0
Stock,SKU004,2,59.0
Order,SKU004,2,0.0
Stock,SKU004,3,50.0
Order,SKU004,3,0.0
Stock,SKU004,4,41.0
Order,SKU004,4,0.0
Stock,SKU004,5,33.0
Order,SKU004,5,0.0
Stock,SKU004,6,22.0
Order,SKU004,6,0.0
Stock,SKU004,7,34.0
Order,SKU004,7,220.0
Stock,SKU004,8,22.0
Order,SKU004,8,0.0
Stock,SKU004,9,14.0
Order,SKU004,9,0.0
Stock,SKU004,10,9.0
Order,SKU004,10,0.0
Stock,SKU004,11,2.0
Order,SKU004,11,0.0
Stock,SKU004,12,32.0
Order,SKU004,12,440.0
Stock,SKU004,13,26.0
Order,SKU004,13,0.0
Stock,SKU004,14,15.0
Order,SKU004,14,0.0
Stock,SKU004,15,7.0
Order,SKU004,15,0.0
Stock,SKU004,16,2.0
Order,SKU004,16,0.0
Stock,SKU004,17,35.0
Order,SKU004,17,468.0
Stock,SKU004,18,29.0
Order,SKU004,18,0.0
Stock,SKU004,19,21.0
Order,SKU004,19,0.0
Stock,SKU004,20,13.0
Order,SKU004,20,0.0
Stock,SKU004,21,2.0
Order,SKU004,21,0.0
Stock,SKU004,22,39.0
Order,SKU004,22,490.0
Stock,SKU004,23,28.0
Order,SKU004,23,0.0
Stock,SKU004,24,20.0
Order,SKU004,24,0.0
Stock,SKU004,25,9.0
Order,SKU004,25,0.0
Stock,SKU004,26,2.0
Order,SKU004,26,0.0
Stock,SKU004,27,21.0
Order,SKU004,27,264.0
Stock,SKU004,28,14.0
Order,SKU004,28,0.0
Stock,SKU004,29,2.0
Order,SKU004,29,0.0
Stock,SKU004,30,2.0
Order,SKU004,30,66.0
Stock,SKU005,1,53.0
Order,SKU005,1,0.0
Stock,SKU005,2,42.0
Order,SKU005,2,0.0
Stock,SKU005,3,37.0
Order,SKU005,3,0.0
Stock,SKU005,4,31.0
Order,SKU005,4,0.0
Stock,SKU005,5,25.0
Order,SKU005,5,0.0
Stock,SKU005,6,13.0
Order,SKU005,6,0.0
Stock,SKU005,7,31.0
Order,SKU005,7,290.0
Stock,SKU005,8,26.0
Order,SKU005,8,0.0
Stock,SKU005,9,20.0
Order,SKU005,9,0.0
Stock,SKU005,10,9.0
Order,SKU005,10,0.0
Stock,SKU005,11,2.0
Order,SKU005,11,0.0
Stock,SKU005,12,38.0
Order,SKU005,12,462.0
Stock,SKU005,13,28.0
Order,SKU005,13,0.0
Stock,SKU005,14,20.0
Order,SKU005,14,0.0
Stock,SKU005,15,13.0
Order,SKU005,15,0.0
Stock,SKU005,16,2.0
Order,SKU005,16,0.0
Stock,SKU005,17,35.0
Order,SKU005,17,410.0
Stock,SKU005,18,27.0
Order,SKU005,18,0.0
Stock,SKU005,19,20.0
Order,SKU005,19,0.0
Stock,SKU005,20,9.0
Order,SKU005,20,0.0
Stock,SKU005,21,2.0
Order,SKU005,21,0.0
Stock,SKU005,22,37.0
Order,SKU005,22,440.0
Stock,SKU005,23,25.0
Order,SKU005,23,0.0
Stock,SKU005,24,17.0
Order,SKU005,24,0.0
Stock,SKU005,25,10.0
Order,SKU005,25,0.0
Stock,SKU005,26,2.0
Order,SKU005,26,0.0
Stock,SKU005,27,25.0
Order,SKU005,27,360.0
Stock,SKU005,28,13.0
Order,SKU005,28,0.0
Stock,SKU005,29,2.0
Order,SKU005,29,0.0
Stock,SKU005,30,2.0
Order,SKU005,30,120.0
