Products,Markets,Months,value
200S,China,Apr-07,0
200S,China,May-07,0
200S,China,Jun-07,0
200S,China,Jul-07,0
200S,China,Aug-07,0
200S,China,Sep-07,0
200S,China,Oct-07,0
200S,China,Nov-07,0
200S,China,Dec-07,0
200S,China,Jan-08,0
200S,China,Feb-08,0
200S,China,Mar-08,0
200S,China,Apr-08,0
200S,China,May-08,0
200S,China,Jun-08,0
200S,China,Jul-08,0
200S,China,Aug-08,0
200S,China,Sep-08,0
200S,China,Oct-08,0
200S,China,Nov-08,0
200S,China,Dec-08,0
200S,Japan,Jan-07,26
200S,Japan,Feb-07,6
200S,Japan,Mar-07,1
200S,Japan,Apr-07,0
200S,Japan,May-07,0
200S,Japan,Jun-07,0
200S,Japan,Jul-07,0
200S,Japan,Aug-07,0
200S,Japan,Sep-07,0
200S,Japan,Oct-07,0
200S,Japan,Nov-07,0
200S,Japan,Dec-07,0
200S,Japan,Jan-08,0
200S,Japan,Feb-08,0
200S,Japan,Mar-08,0
200S,Japan,Apr-08,0
200S,Japan,May-08,0
200S,Japan,Jun-08,0
200S,Japan,Jul-08,0
200S,Japan,Aug-08,0
200S,Japan,Sep-08,0
200S,Japan,Oct-08,0
200S,Japan,Nov-08,0
200S,Japan,Dec-08,0
300S,US,Jan-07,11
300S,US,Feb-07,3
300S,US,Mar-07,0
300S,US,Apr-07,0
300S,US,May-07,0
300S,US,Jun-07,0
300S,US,Jul-07,0
300S,US,Aug-07,0
300S,US,Sep-07,0
300S,US,Oct-07,0
300S,US,Nov-07,0
300S,US,Dec-07,0
300S,US,Jan-08,0
300S,US,Feb-08,0
300S,US,Mar-08,0
300S,US,Apr-08,0
300S,US,May-08,0
300S,US,Jun-08,0
300S,US,Jul-08,0
300S,US,Aug-08,0
300S,US,Sep-08,0
300S,US,Oct-08,0
300S,US,Nov-08,0
300S,US,Dec-08,0
300S,Canada,Jan-07,8
300S,Canada,Feb-07,2
300S,Canada,Mar-07,0
300S,Canada,Apr-07,0
300S,Canada,May-07,0
300S,Canada,Jun-07,0
300S,Canada,Jul-07,0
300S,Canada,Aug-07,0
300S,Canada,Sep-07,0
300S,Canada,Oct-07,0
300S,Canada,Nov-07,0
300S,Canada,Dec-07,0
300S,Canada,Jan-08,0
300S,Canada,Feb-08,0
300S,Canada,Mar-08,0
300S,Canada,Apr-08,0
300S,Canada,May-08,0
300S,Canada,Jun-08,0
300S,Canada,Jul-08,0
300S,Canada,Aug-08,0
300S,Canada,Sep-08,0
300S,Canada,Oct-08,0
300S,Canada,Nov-08,0
300S,Canada,Dec-08,0
300S,Brazil,Jan-07,25
300S,Brazil,Feb-07,6
300S,Brazil,Mar-07,1
300S,Brazil,Apr-07,0
300S,Brazil,May-07,0
300S,Brazil,Jun-07,0
300S,Brazil,Jul-07,0
300S,Brazil,Aug-07,0
300S,Brazil,Sep-07,0
300S,Brazil,Oct-07,0
300S,Brazil,Nov-07,0
300S,Brazil,Dec-07,0
300S,Brazil,Jan-08,0
300S,Brazil,Feb-08,0
300S,Brazil,Mar-08,0
300S,Brazil,Apr-08,0
300S,Brazil,May-08,0
300S,Brazil,Jun-08,0
300S,Brazil,Jul-08,0
300S,Brazil,Aug-08,0
300S,Brazil,Sep-08,0
300S,Brazil,Oct-08,0
300S,Brazil,Nov-08,0
300S,Brazil,Dec-08,0
300S,Argentina,Jan-07,18
300S,Argentina,Feb-07,4
300S,Argentina,Mar-07,1
300S,Argentina,Apr-07,0
300S,Argentina,May-07,0
300S,Argentina,Jun-07,0
300S,Argentina,Jul-07,0
300S,Argentina,Aug-07,0
300S,Argentina,Sep-07,0
300S,Argentina,Oct-07,0
300S,Argentina,Nov-07,0
300S,Argentina,Dec-07,0
300S,Argentina,Jan-08,0
300S,Argentina,Feb-08,0
300S,Argentina,Mar-08,0
300S,Argentina,Apr-08,0
300S,Argentina,May-08,0
300S,Argentina,Jun-08,0
300S,Argentina,Jul-08,0
300S,Argentina,Aug-08,0
300S,Argentina,Sep-08,0
300S,Argentina,Oct-08,0
300S,Argentina,Nov-08,0
300S,Argentina,Dec-08,0
300S,UK,Jan-07,11
300S,UK,Feb-07,3
300S,UK,Mar-07,1
300S,UK,Apr-07,0
300S,UK,May-07,0
300S,UK,Jun-07,0
300S,UK,Jul-07,0
300S,UK,Aug-07,0
300S,UK,Sep-07,0
300S,UK,Oct-07,0
300S,UK,Nov-07,0
300S,UK,Dec-07,0
300S,UK,Jan-08,0
300S,UK,Feb-08,0
300S,UK,Mar-08,0
300S,UK,Apr-08,0
300S,UK,May-08,0
300S,UK,Jun-08,0
300S,UK,Jul-08,0
300S,UK,Aug-08,0
300S,UK,Sep-08,0
300S,UK,Oct-08,0
300S,UK,Nov-08,0
300S,UK,Dec-08,0
300S,France,Jan-07,43
300S,France,Feb-07,11
300S,France,Mar-07,2
300S,France,Apr-07,0
300S,France,May-07,0
300S,France,Jun-07,0
300S,France,Jul-07,0
300S,France,Aug-07,0
300S,France,Sep-07,0
300S,France,Oct-07,0
300S,France,Nov-07,0
300S,France,Dec-07,0
300S,France,Jan-08,0
300S,France,Feb-08,0
300S,France,Mar-08,0
300S,France,Apr-08,0
300S,France,May-08,0
300S,France,Jun-08,0
300S,France,Jul-08,0
300S,France,Aug-08,0
300S,France,Sep-08,0
300S,France,Oct-08,0
300S,France,Nov-08,0
300S,France,Dec-08,0
300S,Germany,Jan-07,14
300S,Germany,Feb-07,5
300S,Germany,Mar-07,1
300S,Germany,Apr-07,0
300S,Germany,May-07,0
300S,Germany,Jun-07,0
300S,Germany,Jul-07,0
300S,Germany,Aug-07,0
300S,Germany,Sep-07,0
300S,Germany,Oct-07,0
300S,Germany,Nov-07,0
300S,Germany,Dec-07,0
300S,Germany,Jan-08,0
300S,Germany,Feb-08,0
300S,Germany,Mar-08,0
300S,Germany,Apr-08,0
300S,Germany,May-08,0
300S,Germany,Jun-08,0
300S,Germany,Jul-08,0
300S,Germany,Aug-08,0
300S,Germany,Sep-08,0
300S,Germany,Oct-08,0
300S,Germany,Nov-08,0
300S,Germany,Dec-08,0
300S,Spain,Jan-07,8
300S,Spain,Feb-07,2
300S,Spain,Mar-07,0
300S,Spain,Apr-07,0
300S,Spain,May-07,0
300S,Spain,Jun-07,0
300S,Spain,Jul-07,0
300S,Spain,Aug-07,0
300S,Spain,Sep-07,0
300S,Spain,Oct-07,0
300S,Spain,Nov-07,0
300S,Spain,Dec-07,0
300S,Spain,Jan-08,0
300S,Spain,Feb-08,0
300S,Spain,Mar-08,0
300S,Spain,Apr-08,0
300S,Spain,May-08,0
300S,Spain,Jun-08,0
300S,Spain,Jul-08,0
300S,Spain,Aug-08,0
300S,Spain,Sep-08,0
300S,Spain,Oct-08,0
300S,Spain,Nov-08,0
300S,Spain,Dec-08,0
300S,Italy,Jan-07,3
300S,Italy,Feb-07,1
300S,Italy,Mar-07,0
300S,Italy,Apr-07,0
300S,Italy,May-07,0
300S,Italy,Jun-07,0
300S,Italy,Jul-07,0
300S,Italy,Aug-07,0
300S,Italy,Sep-07,0
300S,Italy,Oct-07,0
300S,Italy,Nov-07,0
300S,Italy,Dec-07,0
300S,Italy,Jan-08,0
300S,Italy,Feb-08,0
300S,Italy,Mar-08,0
300S,Italy,Apr-08,0
300S,Italy,May-08,0
300S,Italy,Jun-08,0
300S,Italy,Jul-08,0
300S,Italy,Aug-08,0
300S,Italy,Sep-08,0
300S,Italy,Oct-08,0
300S,Italy,Nov-08,0
300S,Italy,Dec-08,0
300S,China,Jan-07,13
300S,China,Feb-07,4
300S,China,Mar-07,1
300S,China,Apr-07,0
300S,China,May-07,0
300S,China,Jun-07,0
300S,China,Jul-07,0
300S,China,Aug-07,0
300S,China,Sep-07,0
300S,China,Oct-07,0
300S,China,Nov-07,0
300S,China,Dec-07,0
300S,China,Jan-08,0
300S,China,Feb-08,0
300S,China,Mar-08,0
300S,China,Apr-08,0
300S,China,May-08,0
300S,China,Jun-08,0
300S,China,Jul-08,0
300S,China,Aug-08,0
300S,China,Sep-08,0
300S,China,Oct-08,0
300S,China,Nov-08,0
300S,China,Dec-08,0
300S,Japan,Jan-07,4
300S,Japan,Feb-07,1
300S,Japan,Mar-07,0
300S,Japan,Apr-07,0
300S,Japan,May-07,0
300S,Japan,Jun-07,0
300S,Japan,Jul-07,0
300S,Japan,Aug-07,0
300S,Japan,Sep-07,0
300S,Japan,Oct-07,0
300S,Japan,Nov-07,0
300S,Japan,Dec-07,0
300S,Japan,Jan-08,0
300S,Japan,Feb-08,0
300S,Japan,Mar-08,0
300S,Japan,Apr-08,0
300S,Japan,May-08,0
300S,Japan,Jun-08,0
300S,Japan,Jul-08,0
300S,Japan,Aug-08,0
300S,Japan,Sep-08,0
300S,Japan,Oct-08,0
300S,Japan,Nov-08,0
300S,Japan,Dec-08,0
600S,US,Jan-07,2
600S,US,Feb-07,0
600S,US,Mar-07,0
600S,US,Apr-07,0
600S,US,May-07,0
600S,US,Jun-07,0
600S,US,Jul-07,0
600S,US,Aug-07,0
600S,US,Sep-07,0
600S,US,Oct-07,0
600S,US,Nov-07,0
600S,US,Dec-07,0
600S,US,Jan-08,0
600S,US,Feb-08,0
600S,US,Mar-08,0
600S,US,Apr-08,0
600S,US,May-08,0
600S,US,Jun-08,0
600S,US,Jul-08,0
600S,US,Aug-08,0
600S,US,Sep-08,0
600S,US,Oct-08,0
600S,US,Nov-08,0
600S,US,Dec-08,0
600S,Canada,Jan-07,30
600S,Canada,Feb-07,7
600S,Canada,Mar-07,2
600S,Canada,Apr-07,0
600S,Canada,May-07,0
600S,Canada,Jun-07,0
600S,Canada,Jul-07,0
600S,Canada,Aug-07,0
600S,Canada,Sep-07,0
600S,Canada,Oct-07,0
600S,Canada,Nov-07,0
600S,Canada,Dec-07,0
600S,Canada,Jan-08,0
600S,Canada,Feb-08,0
600S,Canada,Mar-08,0
600S,Canada,Apr-08,0
600S,Canada,May-08,0
600S,Canada,Jun-08,0
600S,Canada,Jul-08,0
600S,Canada,Aug-08,0
600S,Canada,Sep-08,0
600S,Canada,Oct-08,0
600S,Canada,Nov-08,0
600S,Canada,Dec-08,0
600S,Brazil,Jan-07,29
600S,Brazil,Feb-07,7
600S,Brazil,Mar-07,1
600S,Brazil,Apr-07,0
600S,Brazil,May-07,0
600S,Brazil,Jun-07,0
600S,Brazil,Jul-07,0
600S,Brazil,Aug-07,0
600S,Brazil,Sep-07,0
600S,Brazil,Oct-07,0
600S,Brazil,Nov-07,0
600S,Brazil,Dec-07,0
600S,Brazil,Jan-08,0
600S,Brazil,Feb-08,0
600S,Brazil,Mar-08,0
600S,Brazil,Apr-08,0
600S,Brazil,May-08,0
600S,Brazil,Jun-08,0
600S,Brazil,Jul-08,0
600S,Brazil,Aug-08,0
600S,Brazil,Sep-08,0
600S,Brazil,Oct-08,0
600S,Brazil,Nov-08,0
600S,Brazil,Dec-08,0
600S,Argentina,Jan-07,30
600S,Argentina,Feb-07,8
600S,Argentina,Mar-07,2
600S,Argentina,Apr-07,0
600S,Argentina,May-07,0
600S,Argentina,Jun-07,0
600S,Argentina,Jul-07,0
600S,Argentina,Aug-07,0
600S,Argentina,Sep-07,0
600S,Argentina,Oct-07,0
600S,Argentina,Nov-07,0
600S,Argentina,Dec-07,0
600S,Argentina,Jan-08,0
600S,Argentina,Feb-08,0
600S,Argentina,Mar-08,0
600S,Argentina,Apr-08,0
600S,Argentina,May-08,0
600S,Argentina,Jun-08,0
600S,Argentina,Jul-08,0
600S,Argentina,Aug-08,0
600S,Argentina,Sep-08,0
600S,Argentina,Oct-08,0
600S,Argentina,Nov-08,0
600S,Argentina,Dec-08,0
600S,UK,Jan-07,10
600S,UK,Feb-07,3
600S,UK,Mar-07,1
600S,UK,Apr-07,0
600S,UK,May-07,0
600S,UK,Jun-07,0
600S,UK,Jul-07,0
600S,UK,Aug-07,0
600S,UK,Sep-07,0
600S,UK,Oct-07,0
600S,UK,Nov-07,0
600S,UK,Dec-07,0
600S,UK,Jan-08,0
600S,UK,Feb-08,0
600S,UK,Mar-08,0
600S,UK,Apr-08,0
600S,UK,May-08,0
600S,UK,Jun-08,0
600S,UK,Jul-08,0
600S,UK,Aug-08,0
600S,UK,Sep-08,0
600S,UK,Oct-08,0
600S,UK,Nov-08,0
600S,UK,Dec-08,0
600S,France,Jan-07,47
600S,France,Feb-07,12
600S,France,Mar-07,2
600S,France,Apr-07,0
600S,France,May-07,0
600S,France,Jun-07,0
600S,France,Jul-07,0
600S,France,Aug-07,0
600S,France,Sep-07,0
600S,France,Oct-07,0
600S,France,Nov-07,0
600S,France,Dec-07,0
600S,France,Jan-08,0
600S,France,Feb-08,0
600S,France,Mar-08,0
600S,France,Apr-08,0
600S,France,May-08,0
600S,France,Jun-08,0
600S,France,Jul-08,0
600S,France,Aug-08,0
600S,France,Sep-08,0
600S,France,Oct-08,0
600S,France,Nov-08,0
600S,France,Dec-08,0
600S,Germany,Jan-07,43
600S,Germany,Feb-07,11
600S,Germany,Mar-07,2
600S,Germany,Apr-07,0
600S,Germany,May-07,0
600S,Germany,Jun-07,0
600S,Germany,Jul-07,0
600S,Germany,Aug-07,0
600S,Germany,Sep-07,0
600S,Germany,Oct-07,0
600S,Germany,Nov-07,0
600S,Germany,Dec-07,0
600S,Germany,Jan-08,0
600S,Germany,Feb-08,0
600S,Germany,Mar-08,0
600S,Germany,Apr-08,0
600S,Germany,May-08,0
600S,Germany,Jun-08,0
600S,Germany,Jul-08,0
600S,Germany,Aug-08,0
600S,Germany,Sep-08,0
600S,Germany,Oct-08,0
600S,Germany,Nov-08,0
600S,Germany,Dec-08,0
600S,Spain,Jan-07,28
600S,Spain,Feb-07,7
600S,Spain,Mar-07,2
600S,Spain,Apr-07,0
600S,Spain,May-07,0
600S,Spain,Jun-07,0
600S,Spain,Jul-07,0
600S,Spain,Aug-07,0
600S,Spain,Sep-07,0
600S,Spain,Oct-07,0
600S,Spain,Nov-07,0
600S,Spain,Dec-07,0
600S,Spain,Jan-08,0
600S,Spain,Feb-08,0
600S,Spain,Mar-08,0
600S,Spain,Apr-08,0
600S,Spain,May-08,0
600S,Spain,Jun-08,0
600S,Spain,Jul-08,0
600S,Spain,Aug-08,0
600S,Spain,Sep-08,0
600S,Spain,Oct-08,0
600S,Spain,Nov-08,0
600S,Spain,Dec-08,0
600S,Italy,Jan-07,32
600S,Italy,Feb-07,8
600S,Italy,Mar-07,2
600S,Italy,Apr-07,0
600S,Italy,May-07,0
600S,Italy,Jun-07,0
600S,Italy,Jul-07,0
600S,Italy,Aug-07,0
600S,Italy,Sep-07,0
600S,Italy,Oct-07,0
600S,Italy,Nov-07,0
600S,Italy,Dec-07,0
600S,Italy,Jan-08,0
600S,Italy,Feb-08,0
600S,Italy,Mar-08,0
600S,Italy,Apr-08,0
600S,Italy,May-08,0
600S,Italy,Jun-08,0
600S,Italy,Jul-08,0
600S,Italy,Aug-08,0
600S,Italy,Sep-08,0
600S,Italy,Oct-08,0
600S,Italy,Nov-08,0
600S,Italy,Dec-08,0
600S,China,Jan-07,40
600S,China,Feb-07,10
600S,China,Mar-07,2
600S,China,Apr-07,0
600S,China,May-07,0
600S,China,Jun-07,0
600S,China,Jul-07,0
600S,China,Aug-07,0
600S,China,Sep-07,0
600S,China,Oct-07,0
600S,China,Nov-07,0
600S,China,Dec-07,0
600S,China,Jan-08,0
600S,China,Feb-08,0
600S,China,Mar-08,0
600S,China,Apr-08,0
600S,China,May-08,0
600S,China,Jun-08,0
600S,China,Jul-08,0
600S,China,Aug-08,0
600S,China,Sep-08,0
600S,China,Oct-08,0
600S,China,Nov-08,0
600S,China,Dec-08,0
600S,Japan,Jan-07,9
600S,Japan,Feb-07,2
600S,Japan,Mar-07,0
600S,Japan,Apr-07,0
600S,Japan,May-07,0
600S,Japan,Jun-07,0
600S,Japan,Jul-07,0
600S,Japan,Aug-07,0
600S,Japan,Sep-07,0
600S,Japan,Oct-07,0
600S,Japan,Nov-07,0
600S,Japan,Dec-07,0
600S,Japan,Jan-08,0
600S,Japan,Feb-08,0
600S,Japan,Mar-08,0
600S,Japan,Apr-08,0
600S,Japan,May-08,0
600S,Japan,Jun-08,0
600S,Japan,Jul-08,0
600S,Japan,Aug-08,0
600S,Japan,Sep-08,0
600S,Japan,Oct-08,0
600S,Japan,Nov-08,0
600S,Japan,Dec-08,0
626S,US,Jan-07,29
626S,US,Feb-07,8
626S,US,Mar-07,2
626S,US,Apr-07,0
626S,US,May-07,0
626S,US,Jun-07,0
626S,US,Jul-07,0
626S,US,Aug-07,0
626S,US,Sep-07,0
626S,US,Oct-07,0
626S,US,Nov-07,0
626S,US,Dec-07,0
626S,US,Jan-08,0
626S,US,Feb-08,0
626S,US,Mar-08,0
626S,US,Apr-08,0
626S,US,May-08,0
626S,US,Jun-08,0
626S,US,Jul-08,0
626S,US,Aug-08,0
626S,US,Sep-08,0
626S,US,Oct-08,0
626S,US,Nov-08,0
626S,US,Dec-08,0
626S,Canada,Jan-07,21
626S,Canada,Feb-07,5
626S,Canada,Mar-07,1
626S,Canada,Apr-07,0
626S,Canada,May-07,0
626S,Canada,Jun-07,0
626S,Canada,Jul-07,0
626S,Canada,Aug-07,0
626S,Canada,Sep-07,0
626S,Canada,Oct-07,0
626S,Canada,Nov-07,0
626S,Canada,Dec-07,0
626S,Canada,Jan-08,0
626S,Canada,Feb-08,0
626S,Canada,Mar-08,0
626S,Canada,Apr-08,0
626S,Canada,May-08,0
626S,Canada,Jun-08,0
626S,Canada,Jul-08,0
626S,Canada,Aug-08,0
626S,Canada,Sep-08,0
626S,Canada,Oct-08,0
626S,Canada,Nov-08,0
626S,Canada,Dec-08,0
626S,Brazil,Jan-07,10
626S,Brazil,Feb-07,3
626S,Brazil,Mar-07,0
626S,Brazil,Apr-07,0
626S,Brazil,May-07,0
626S,Brazil,Jun-07,0
626S,Brazil,Jul-07,0
626S,Brazil,Aug-07,0
626S,Brazil,Sep-07,0
626S,Brazil,Oct-07,0
626S,Brazil,Nov-07,0
626S,Brazil,Dec-07,0
626S,Brazil,Jan-08,0
626S,Brazil,Feb-08,0
626S,Brazil,Mar-08,0
626S,Brazil,Apr-08,0
626S,Brazil,May-08,0
626S,Brazil,Jun-08,0
626S,Brazil,Jul-08,0
626S,Brazil,Aug-08,0
626S,Brazil,Sep-08,0
626S,Brazil,Oct-08,0
626S,Brazil,Nov-08,0
626S,Brazil,Dec-08,0
626S,Argentina,Jan-07,44
626S,Argentina,Feb-07,10
626S,Argentina,Mar-07,2
626S,Argentina,Apr-07,0
626S,Argentina,May-07,0
626S,Argentina,Jun-07,0
626S,Argentina,Jul-07,0
626S,Argentina,Aug-07,0
626S,Argentina,Sep-07,0
626S,Argentina,Oct-07,0
626S,Argentina,Nov-07,0
626S,Argentina,Dec-07,0
626S,Argentina,Jan-08,0
626S,Argentina,Feb-08,0
626S,Argentina,Mar-08,0
626S,Argentina,Apr-08,0
626S,Argentina,May-08,0
626S,Argentina,Jun-08,0
626S,Argentina,Jul-08,0
626S,Argentina,Aug-08,0
626S,Argentina,Sep-08,0
626S,Argentina,Oct-08,0
626S,Argentina,Nov-08,0
626S,Argentina,Dec-08,0
626S,UK,Jan-07,12
626S,UK,Feb-07,3
626S,UK,Mar-07,1
626S,UK,Apr-07,0
626S,UK,May-07,0
626S,UK,Jun-07,0
626S,UK,Jul-07,0
626S,UK,Aug-07,0
626S,UK,Sep-07,0
626S,UK,Oct-07,0
626S,UK,Nov-07,0
626S,UK,Dec-07,0
626S,UK,Jan-08,0
626S,UK,Feb-08,0
626S,UK,Mar-08,0
626S,UK,Apr-08,0
626S,UK,May-08,0
626S,UK,Jun-08,0
626S,UK,Jul-08,0
626S,UK,Aug-08,0
626S,UK,Sep-08,0
626S,UK,Oct-08,0
626S,UK,Nov-08,0
626S,UK,Dec-08,0
626S,France,Jan-07,9
626S,France,Feb-07,2
626S,France,Mar-07,1
626S,France,Apr-07,0
626S,France,May-07,0
626S,France,Jun-07,0
626S,France,Jul-07,0
626S,France,Aug-07,0
626S,France,Sep-07,0
626S,France,Oct-07,0
626S,France,Nov-07,0
626S,France,Dec-07,0
626S,France,Jan-08,0
626S,France,Feb-08,0
626S,France,Mar-08,0
626S,France,Apr-08,0
626S,France,May-08,0
626S,France,Jun-08,0
626S,France,Jul-08,0
626S,France,Aug-08,0
626S,France,Sep-08,0
626S,France,Oct-08,0
626S,France,Nov-08,0
626S,France,Dec-08,0
626S,Germany,Jan-07,9
626S,Germany,Feb-07,3
626S,Germany,Mar-07,0
626S,Germany,Apr-07,0
626S,Germany,May-07,0
626S,Germany,Jun-07,0
626S,Germany,Jul-07,0
626S,Germany,Aug-07,0
626S,Germany,Sep-07,0
626S,Germany,Oct-07,0
626S,Germany,Nov-07,0
626S,Germany,Dec-07,0
626S,Germany,Jan-08,0
626S,Germany,Feb-08,0
626S,Germany,Mar-08,0
626S,Germany,Apr-08,0
626S,Germany,May-08,0
626S,Germany,Jun-08,0
626S,Germany,Jul-08,0
626S,Germany,Aug-08,0
626S,Germany,Sep-08,0
626S,Germany,Oct-08,0
626S,Germany,Nov-08,0
626S,Germany,Dec-08,0
626S,Spain,Jan-07,8
626S,Spain,Feb-07,2
626S,Spain,Mar-07,0
626S,Spain,Apr-07,0
626S,Spain,May-07,0
626S,Spain,Jun-07,0
626S,Spain,Jul-07,0
626S,Spain,Aug-07,0
626S,Spain,Sep-07,0
626S,Spain,Oct-07,0
626S,Spain,Nov-07,0
