product,market,month,demand,allocation,absdiff,reldiff
300S,Germany,Mar-07,44,40,4,8.88888888889
300S,Spain,Jan-07,20,18,2,9.52380952381
300S,Spain,Feb-07,18,16,2,10.5263157895
300S,Spain,Mar-07,23,20,3,12.5
300S,Italy,Jan-07,7,6,1,12.5
300S,Italy,Feb-07,9,8,1,10.0
300S,Italy,Mar-07,6,5,1,14.2857142857
300S,China,Jan-07,33,29,4,11.7647058824
300S,China,Feb-07,37,33,4,10.5263157895
300S,China,Mar-07,29,25,4,13.3333333333
300S,Japan,Jan-07,11,10,1,8.33333333333
300S,Japan,Feb-07,7,6,1,12.5
300S,Japan,Mar-07,12,10,2,15.3846153846
600S,US,Jan-07,6,5,1,14.2857142857
600S,US,Feb-07,2,1,1,33.3333333333
600S,US,Mar-07,5,4,1,16.6666666667
600S,Canada,Jan-07,74,66,8,10.6666666667
600S,Canada,Feb-07,71,63,8,11.1111111111
600S,Canada,Mar-07,78,69,9,11.3924050633
600S,Brazil,Jan-07,72,64,8,10.9589041096
600S,Brazil,Feb-07,70,62,8,11.2676056338
600S,Brazil,Mar-07,72,64,8,10.9589041096
600S,Argentina,Jan-07,76,68,8,10.3896103896
600S,Argentina,Feb-07,79,71,8,10.0
600S,Argentina,Mar-07,77,68,9,11.5384615385
600S,UK,Jan-07,26,23,3,11.1111111111
600S,UK,Feb-07,30,27,3,9.67741935484
600S,UK,Mar-07,30,27,3,9.67741935484
600S,France,Jan-07,118,105,13,10.9243697479
600S,France,Feb-07,119,106,13,10.8333333333
600S,France,Mar-07,115,101,14,12.0689655172
600S,Germany,Jan-07,107,95,12,11.1111111111
600S,Germany,Feb-07,113,101,12,10.5263157895
600S,Germany,Mar-07,115,103,12,10.3448275862
600S,Spain,Jan-07,69,62,7,10.0
600S,Spain,Feb-07,73,65,8,10.8108108108
600S,Spain,Mar-07,78,70,8,10.1265822785
600S,Italy,Jan-07,81,72,9,10.9756097561
600S,Italy,Feb-07,83,74,9,10.7142857143
600S,Italy,Mar-07,82,73,9,10.843373494
600S,China,Jan-07,99,88,11,11.0
600S,China,Feb-07,102,91,11,10.6796116505
600S,China,Mar-07,104,92,12,11.4285714286
600S,Japan,Jan-07,22,20,2,8.69565217391
600S,Japan,Feb-07,20,18,2,9.52380952381
600S,Japan,Mar-07,16,13,3,17.6470588235
626S,US,Jan-07,73,65,8,10.8108108108
626S,US,Feb-07,79,71,8,10.0
626S,US,Mar-07,82,74,8,9.63855421687
626S,Canada,Jan-07,52,46,6,11.320754717
626S,Canada,Feb-07,52,46,6,11.320754717
626S,Canada,Mar-07,55,49,6,10.7142857143
626S,Brazil,Jan-07,26,23,3,11.1111111111
626S,Brazil,Feb-07,29,26,3,10.0
626S,Brazil,Mar-07,22,19,3,13.0434782609
626S,Argentina,Jan-07,110,98,12,10.8108108108
626S,Argentina,Feb-07,102,89,13,12.6213592233
626S,Argentina,Mar-07,106,94,12,11.214953271
626S,UK,Jan-07,31,28,3,9.375
626S,UK,Feb-07,29,26,3,10.0
626S,UK,Mar-07,28,24,4,13.7931034483
626S,France,Jan-07,22,20,2,8.69565217391
626S,France,Feb-07,22,20,2,8.69565217391
626S,France,Mar-07,25,23,2,7.69230769231
626S,Germany,Jan-07,22,20,2,8.69565217391
626S,Germany,Feb-07,27,25,2,7.14285714286
626S,Germany,Mar-07,24,22,2,8.0
626S,Spain,Jan-07,19,17,2,10.0
626S,Spain,Feb-07,21,19,2,9.09090909091
626S,Spain,Mar-07,12,10,2,15.3846153846
626S,Italy,Jan-07,24,21,3,12.0
626S,Italy,Feb-07,25,22,3,11.5384615385
626S,Italy,Mar-07,24,21,3,12.0
626S,China,Jan-07,79,70,9,11.25
626S,China,Feb-07,71,63,8,11.1111111111
626S,China,Mar-07,78,69,9,11.3924050633
626S,Japan,Jan-07,83,74,9,10.7142857143
626S,Japan,Feb-07,85,76,9,10.4651162791
626S,Japan,Mar-07,86,76,10,11.4942528736
676S,US,Jan-07,47,42,5,10.4166666667
676S,US,Feb-07,49,44,5,10.0
676S,US,Mar-07,56,50,6,10.5263157895
676S,Canada,Jan-07,20,18,2,9.52380952381
676S,Canada,Feb-07,20,18,2,9.52380952381
676S,Canada,Mar-07,25,22,3,11.5384615385
676S,Brazil,Jan-07,9,8,1,10.0
676S,Brazil,Feb-07,6,5,1,14.2857142857
676S,Brazil,Mar-07,11,10,1,8.33333333333
676S,Argentina,Jan-07,91,81,10,10.8695652174
676S,Argentina,Feb-07,94,84,10,10.5263157895
676S,Argentina,Mar-07,97,87,10,10.2040816327
676S,UK,Jan-07,28,25,3,10.3448275862
676S,UK,Feb-07,27,24,3,10.7142857143
676S,UK,Mar-07,31,28,3,9.375
676S,France,Jan-07,83,74,9,10.7142857143
676S,France,Feb-07,88,79,9,10.1123595506
676S,France,Mar-07,85,75,10,11.6279069767
676S,Germany,Jan-07,110,98,12,10.8108108108
676S,Germany,Feb-07,122,110,12,9.75609756098
676S,Germany,Mar-07,126,113,13,10.2362204724
676S,Spain,Jan-07,46,41,5,10.6382978723
676S,Spain,Feb-07,45,40,5,10.8695652174
676S,Spain,Mar-07,47,42,5,10.4166666667
676S,Italy,Jan-07,104,92,12,11.4285714286
676S,Italy,Feb-07,115,104,11,9.48275862069
676S,Italy,Mar-07,120,108,12,9.9173553719
676S,China,Jan-07,58,52,6,10.1694915254
676S,China,Feb-07,59,53,6,10.0
676S,China,Mar-07,68,61,7,10.1449275362
676S,Japan,Jan-07,47,42,5,10.4166666667
676S,Japan,Feb-07,56,51,5,8.77192982456
676S,Japan,Mar-07,59,53,6,10.0
676RS,US,Jan-07,101,90,11,10.7843137255
676RS,US,Feb-07,106,95,11,10.2803738318
676RS,US,Mar-07,116,104,12,10.2564102564
676RS,Canada,Jan-07,16,14,2,11.7647058824
676RS,Canada,Feb-07,16,14,2,11.7647058824
676RS,Canada,Mar-07,16,14,2,11.7647058824
676RS,Brazil,Jan-07,58,52,6,10.1694915254
676RS,Brazil,Feb-07,58,51,7,11.8644067797
676RS,Brazil,Mar-07,59,53,6,10.0
676RS,Argentina,Jan-07,85,76,9,10.4651162791
676RS,Argentina,Feb-07,92,82,10,10.752688172
676RS,Argentina,Mar-07,90,81,9,9.89010989011
676RS,UK,Jan-07,24,21,3,12.0
676RS,UK,Feb-07,32,29,3,9.09090909091
676RS,UK,Mar-07,33,30,3,8.82352941176
676RS,France,Jan-07,35,31,4,11.1111111111
676RS,France,Feb-07,39,35,4,10.0
676RS,France,Mar-07,36,32,4,10.8108108108
676RS,Germany,Jan-07,58,52,6,10.1694915254
676RS,Germany,Feb-07,54,48,6,10.9090909091
676RS,Germany,Mar-07,59,52,7,11.6666666667
676RS,Spain,Jan-07,64,57,7,10.7692307692
676RS,Spain,Feb-07,63,56,7,10.9375
676RS,Spain,Mar-07,59,52,7,11.6666666667
676RS,Italy,Jan-07,35,31,4,11.1111111111
676RS,Italy,Feb-07,39,35,4,10.0
676RS,Italy,Mar-07,34,30,4,11.4285714286
676RS,China,Jan-07,36,32,4,10.8108108108
676RS,China,Feb-07,37,33,4,10.5263157895
676RS,China,Mar-07,39,35,4,10.0
676RS,Japan,Jan-07,72,64,8,10.9589041096
676RS,Japan,Feb-07,68,60,8,11.5942028986
676RS,Japan,Mar-07,70,62,8,11.2676056338
900S,US,Jan-07,9,8,1,10.0
900S,US,Feb-07,14,13,1,6.66666666667
900S,US,Mar-07,6,5,1,14.2857142857
900S,Canada,Jan-07,105,94,11,10.3773584906
900S,Canada,Feb-07,97,85,12,12.2448979592
900S,Canada,Mar-07,102,90,12,11.6504854369
900S,Brazil,Jan-07,37,33,4,10.5263157895
900S,Brazil,Feb-07,40,36,4,9.75609756098
900S,Brazil,Mar-07,43,39,4,9.09090909091
900S,Argentina,Jan-07,35,31,4,11.1111111111
900S,Argentina,Feb-07,34,30,4,11.4285714286
900S,Argentina,Mar-07,35,31,4,11.1111111111
900S,UK,Jan-07,115,103,12,10.3448275862
900S,UK,Feb-07,107,94,13,12.037037037
900S,UK,Mar-07,111,98,13,11.6071428571
900S,France,Jan-07,41,36,5,11.9047619048
900S,France,Feb-07,37,33,4,10.5263157895
900S,France,Mar-07,44,39,5,11.1111111111
900S,Germany,Jan-07,43,39,4,9.09090909091
900S,Germany,Feb-07,35,30,5,13.8888888889
900S,Germany,Mar-07,39,34,5,12.5
900S,Spain,Jan-07,59,52,7,11.6666666667
900S,Spain,Feb-07,61,55,6,9.67741935484
900S,Spain,Mar-07,60,53,7,11.4754098361
900S,Italy,Jan-07,22,20,2,8.69565217391
900S,Italy,Feb-07,24,22,2,8.0
900S,Italy,Mar-07,22,19,3,13.0434782609
900S,China,Jan-07,13,12,1,7.14285714286
900S,China,Feb-07,12,11,1,7.69230769231
900S,China,Mar-07,16,14,2,11.7647058824
900S,Japan,Jan-07,39,35,4,10.0
900S,Japan,Feb-07,38,34,4,10.2564102564
900S,Japan,Mar-07,37,32,5,13.1578947368
929S,US,Jan-07,107,95,12,11.1111111111
929S,US,Feb-07,106,94,12,11.214953271
929S,US,Mar-07,107,95,12,11.1111111111
929S,Canada,Jan-07,42,38,4,9.3023255814
929S,Canada,Feb-07,40,35,5,12.1951219512
929S,Canada,Mar-07,45,40,5,10.8695652174
929S,Brazil,Jan-07,15,13,2,12.5
929S,Brazil,Feb-07,10,8,2,18.1818181818
929S,Brazil,Mar-07,8,6,2,22.2222222222
929S,Argentina,Jan-07,11,10,1,8.33333333333
929S,Argentina,Feb-07,6,5,1,14.2857142857
929S,Argentina,Mar-07,7,5,2,25.0
929S,UK,Jan-07,53,47,6,11.1111111111
929S,UK,Feb-07,52,46,6,11.320754717
929S,UK,Mar-07,54,48,6,10.9090909091
929S,France,Jan-07,116,103,13,11.1111111111
929S,France,Feb-07,113,100,13,11.4035087719
929S,France,Mar-07,110,97,13,11.7117117117
929S,Germany,Jan-07,15,13,2,12.5
929S,Germany,Feb-07,21,20,1,4.54545454545
929S,Germany,Mar-07,20,18,2,9.52380952381
929S,Spain,Jan-07,94,84,10,10.5263157895
929S,Spain,Feb-07,99,88,11,11.0
929S,Spain,Mar-07,92,82,10,10.752688172
929S,Italy,Jan-07,39,34,5,12.5
929S,Italy,Feb-07,45,41,4,8.69565217391
929S,Italy,Mar-07,46,42,4,8.51063829787
929S,China,Jan-07,67,60,7,10.2941176471
929S,China,Feb-07,67,59,8,11.7647058824
929S,China,Mar-07,71,64,7,9.72222222222
929S,Japan,Jan-07,22,20,2,8.69565217391
929S,Japan,Feb-07,23,21,2,8.33333333333
929S,Japan,Mar-07,23,21,2,8.33333333333
996S,US,Jan-07,70,63,7,9.85915492958
996S,US,Feb-07,68,60,8,11.5942028986
996S,US,Mar-07,68,60,8,11.5942028986
996S,Canada,Jan-07,87,77,10,11.3636363636
996S,Canada,Feb-07,91,82,9,9.78260869565
996S,Canada,Mar-07,90,80,10,10.989010989
996S,Brazil,Jan-07,10,9,1,9.09090909091
996S,Brazil,Feb-07,8,7,1,11.1111111111
996S,Brazil,Mar-07,12,11,1,7.69230769231
996S,Argentina,Jan-07,96,86,10,10.3092783505
996S,Argentina,Feb-07,95,84,11,11.4583333333
996S,Argentina,Mar-07,105,94,11,10.3773584906
996S,UK,Jan-07,47,42,5,10.4166666667
996S,UK,Feb-07,46,41,5,10.6382978723
996S,UK,Mar-07,55,49,6,10.7142857143
996S,France,Jan-07,52,47,5,9.43396226415
996S,France,Feb-07,54,48,6,10.9090909091
996S,France,Mar-07,60,54,6,9.83606557377
996S,Germany,Jan-07,47,42,5,10.4166666667
996S,Germany,Feb-07,44,39,5,11.1111111111
996S,Germany,Mar-07,49,43,6,12.0
996S,Spain,Jan-07,85,76,9,10.4651162791
996S,Spain,Feb-07,87,78,9,10.2272727273
996S,Spain,Mar-07,98,88,10,10.101010101
996S,Italy,Jan-07,25,22,3,11.5384615385
996S,Italy,Feb-07,28,26,2,6.89655172414
996S,Italy,Mar-07,28,25,3,10.3448275862
996S,China,Jan-07,98,87,11,11.1111111111
996S,China,Feb-07,101,90,11,10.7843137255
996S,China,Mar-07,98,87,11,11.1111111111
996S,Japan,Jan-07,50,45,5,9.80392156863
996S,Japan,Feb-07,51,45,6,11.5384615385
996S,Japan,Mar-07,55,49,6,10.7142857143
996RS,US,Jan-07,15,13,2,12.5
996RS,US,Feb-07,17,16,1,5.55555555556
996RS,US,Mar-07,15,13,2,12.5
996RS,Canada,Jan-07,73,65,8,10.8108108108
996RS,Canada,Feb-07,72,64,8,10.9589041096
996RS,Canada,Mar-07,70,62,8,11.2676056338
996RS,Brazil,Jan-07,97,87,10,10.2040816327
996RS,Brazil,Feb-07,98,87,11,11.1111111111
996RS,Brazil,Mar-07,99,88,11,11.0
996RS,Argentina,Jan-07,48,43,5,10.2040816327
996RS,Argentina,Feb-07,54,49,5,9.09090909091
996RS,Argentina,Mar-07,55,49,6,10.7142857143
996RS,UK,Jan-07,53,47,6,11.1111111111
996RS,UK,Feb-07,63,57,6,9.375
996RS,UK,Mar-07,63,57,6,9.375
996RS,France,Jan-07,25,23,2,7.69230769231
996RS,France,Feb-07,28,25,3,10.3448275862
996RS,France,Mar-07,34,31,3,8.57142857143
996RS,Germany,Jan-07,34,30,4,11.4285714286
996RS,Germany,Feb-07,29,26,3,10.0
996RS,Germany,Mar-07,28,24,4,13.7931034483
996RS,Spain,Jan-07,71,63,8,11.1111111111
996RS,Spain,Feb-07,75,67,8,10.5263157895
996RS,Spain,Mar-07,73,65,8,10.8108108108
996RS,Italy,Jan-07,71,63,8,11.1111111111
996RS,Italy,Feb-07,72,64,8,10.9589041096
996RS,Italy,Mar-07,76,68,8,10.3896103896
996RS,China,Jan-07,5,5,0,0.0
996RS,China,Feb-07,11,10,1,8.33333333333
996RS,China,Mar-07,3,2,1,25.0
996RS,Japan,Jan-07,24,22,2,8.0
996RS,Japan,Feb-07,23,20,3,12.5
996RS,Japan,Mar-07,23,20,3,12.5
RoadStar,US,Jan-07,86,65,21,24.1379310345
RoadStar,US,Feb-07,80,59,21,25.9259259259
RoadStar,US,Mar-07,77,56,21,26.9230769231
RoadStar,Canada,Jan-07,101,86,15,14.7058823529
RoadStar,Canada,Feb-07,98,82,16,16.1616161616
RoadStar,Canada,Mar-07,102,86,16,15.5339805825
RoadStar,Brazil,Jan-07,80,67,13,16.049382716
RoadStar,Brazil,Feb-07,75,61,14,18.4210526316
RoadStar,Brazil,Mar-07,79,56,23,28.75
RoadStar,Argentina,Jan-07,105,83,22,20.7547169811
RoadStar,Argentina,Feb-07,102,80,22,21.359223301
RoadStar,Argentina,Mar-07,105,82,23,21.6981132075
RoadStar,UK,Jan-07,36,24,12,32.4324324324
RoadStar,UK,Feb-07,37,21,16,42.1052631579
RoadStar,UK,Mar-07,42,25,17,39.5348837209
RoadStar,France,Jan-07,92,69,23,24.7311827957
RoadStar,France,Feb-07,89,66,23,25.5555555556
RoadStar,France,Mar-07,90,67,23,25.2747252747
RoadStar,Germany,Jan-07,89,72,17,18.8888888889
RoadStar,Germany,Feb-07,81,63,18,21.9512195122
RoadStar,Germany,Mar-07,87,69,18,20.4545454545
RoadStar,Spain,Jan-07,84,63,21,24.7058823529
RoadStar,Spain,Feb-07,79,57,22,27.5
RoadStar,Spain,Mar-07,85,63,22,25.5813953488
RoadStar,Italy,Jan-07,111,92,19,16.9642857143
RoadStar,Italy,Feb-07,113,94,19,16.6666666667
RoadStar,Italy,Mar-07,106,87,19,17.7570093458
RoadStar,China,Jan-07,34,23,11,31.4285714286
RoadStar,China,Feb-07,40,23,17,41.4634146341
RoadStar,China,Mar-07,38,13,25,64.1025641026
RoadStar,Japan,Jan-07,75,63,12,15.7894736842
RoadStar,Japan,Feb-07,74,61,13,17.3333333333
RoadStar,Japan,Mar-07,79,58,21,26.25
RoadLiner,US,Jan-07,16,14,2,11.7647058824
RoadLiner,US,Feb-07,20,18,2,9.52380952381
RoadLiner,US,Mar-07,17,15,2,11.1111111111
RoadLiner,Canada,Jan-07,83,74,9,10.7142857143
RoadLiner,Canada,Feb-07,86,77,9,10.3448275862
RoadLiner,Canada,Mar-07,79,69,10,12.5
RoadLiner,Brazil,Jan-07,105,93,12,11.320754717
RoadLiner,Brazil,Feb-07,104,93,11,10.4761904762
RoadLiner,Brazil,Mar-07,103,91,12,11.5384615385
RoadLiner,Argentina,Jan-07,62,55,7,11.1111111111
RoadLiner,Argentina,Feb-07,61,54,7,11.2903225806
RoadLiner,Argentina,Mar-07,63,56,7,10.9375
RoadLiner,UK,Jan-07,38,34,4,10.2564102564
RoadLiner,UK,Feb-07,44,40,4,8.88888888889
RoadLiner,UK,Mar-07,37,32,5,13.1578947368
RoadLiner,France,Jan-07,53,47,6,11.1111111111
RoadLiner,France,Feb-07,55,49,6,10.7142857143
RoadLiner,France,Mar-07,58,52,6,10.1694915254
RoadLiner,Germany,Jan-07,64,57,7,10.7692307692
RoadLiner,Germany,Feb-07,67,60,7,10.2941176471
RoadLiner,Germany,Mar-07,69,62,7,10.0
RoadLiner,Spain,Jan-07,81,72,9,10.9756097561
RoadLiner,Spain,Feb-07,72,63,9,12.3287671233
RoadLiner,Spain,Mar-07,76,67,9,11.6883116883
RoadLiner,Italy,Jan-07,43,39,4,9.09090909091
RoadLiner,Italy,Feb-07,45,40,5,10.8695652174
RoadLiner,Italy,Mar-07,45,40,5,10.8695652174
RoadLiner,China,Jan-07,64,57,7,10.7692307692
RoadLiner,China,Feb-07,60,53,7,11.4754098361
RoadLiner,China,Mar-07,64,57,7,10.7692307692
RoadLiner,Japan,Jan-07,28,25,3,10.3448275862
RoadLiner,Japan,Feb-07,24,21,3,12.0
RoadLiner,Japan,Mar-07,22,18,4,17.3913043478
Victory,US,Jan-07,97,65,32,32.6530612245
Victory,US,Feb-07,100,66,34,33.6633663366
Victory,US,Mar-07,95,60,35,36.4583333333
Victory,Canada,Jan-07,86,65,21,24.1379310345
Victory,Canada,Feb-07,87,66,21,23.8636363636
Victory,Canada,Mar-07,87,55,32,36.3636363636
Victory,Brazil,Jan-07,73,48,25,33.7837837838
Victory,Brazil,Feb-07,65,30,35,53.0303030303
Victory,Brazil,Mar-07,69,36,33,47.1428571429
Victory,Argentina,Jan-07,30,10,20,64.5161290323
Victory,Argentina,Feb-07,22,2,20,86.9565217391
Victory,Argentina,Mar-07,21,0,21,100.0
Victory,UK,Jan-07,36,18,18,48.6486486486
Victory,UK,Feb-07,42,13,29,67.4418604651
Victory,UK,Mar-07,38,2,36,92.3076923077
Victory,France,Jan-07,47,31,16,33.3333333333
Victory,France,Feb-07,53,27,26,48.1481481481
Victory,France,Mar-07,52,25,27,50.9433962264
Victory,Germany,Jan-07,75,50,25,32.8947368421
Victory,Germany,Feb-07,83,55,28,33.3333333333
Victory,Germany,Mar-07,77,49,28,35.8974358974
Victory,Spain,Jan-07,38,14,24,61.5384615385
Victory,Spain,Feb-07,40,16,24,58.5365853659
Victory,Spain,Mar-07,43,19,24,54.5454545455
Victory,Italy,Jan-07,87,60,27,30.6818181818
Victory,Italy,Feb-07,81,54,27,32.9268292683
Victory,Italy,Mar-07,88,61,27,30.3370786517
Victory,China,Jan-07,81,56,25,30.487804878
Victory,China,Feb-07,74,49,25,33.3333333333
Victory,China,Mar-07,77,51,26,33.3333333333
Victory,Japan,Jan-07,13,2,11,78.5714285714
Victory,Japan,Feb-07,10,0,10,100.0
Victory,Japan,Mar-07,18,0,18,100.0
Boulevard,US,Jan-07,84,75,9,10.5882352941
Boulevard,US,Feb-07,92,82,10,10.752688172
Boulevard,US,Mar-07,93,84,9,9.57446808511
Boulevard,Canada,Jan-07,50,44,6,11.7647058824
Boulevard,Canada,Feb-07,54,49,5,9.09090909091
Boulevard,Canada,Mar-07,53,47,6,11.1111111111
Boulevard,Brazil,Jan-07,10,9,1,9.09090909091
Boulevard,Brazil,Feb-07,5,4,1,16.6666666667
Boulevard,Brazil,Mar-07,9,8,1,10.0
Boulevard,Argentina,Jan-07,37,33,4,10.5263157895
Boulevard,Argentina,Feb-07,37,33,4,10.5263157895
Boulevard,Argentina,Mar-07,39,35,4,10.0
Boulevard,UK,Jan-07,38,33,5,12.8205128205
Boulevard,UK,Feb-07,38,34,4,10.2564102564
Boulevard,UK,Mar-07,40,36,4,9.75609756098
Boulevard,France,Jan-07,26,23,3,11.1111111111
Boulevard,France,Feb-07,28,25,3,10.3448275862
Boulevard,France,Mar-07,33,30,3,8.82352941176
Boulevard,Germany,Jan-07,4,4,0,0.0
Boulevard,Germany,Feb-07,12,12,0,0.0
Boulevard,Germany,Mar-07,12,11,1,7.69230769231
Boulevard,Spain,Jan-07,101,90,11,10.7843137255
Boulevard,Spain,Feb-07,95,83,12,12.5
Boulevard,Spain,Mar-07,102,91,11,10.6796116505
Boulevard,Italy,Jan-07,77,68,9,11.5384615385
Boulevard,Italy,Feb-07,83,75,8,9.52380952381
Boulevard,Italy,Mar-07,84,75,9,10.5882352941
Boulevard,China,Jan-07,100,89,11,10.8910891089
Boulevard,China,Feb-07,93,82,11,11.7021276596
Boulevard,China,Mar-07,98,87,11,11.1111111111
Boulevard,Japan,Jan-07,82,73,9,10.843373494
Boulevard,Japan,Feb-07,81,72,9,10.9756097561
Boulevard,Japan,Mar-07,74,65,9,12.0
KingTwin,US,Jan-07,36,24,12,32.4324324324
KingTwin,US,Feb-07,40,24,16,39.0243902439
KingTwin,US,Mar-07,40,24,16,39.0243902439
KingTwin,Canada,Jan-07,52,37,15,28.3018867925
KingTwin,Canada,Feb-07,58,43,15,25.4237288136
KingTwin,Canada,Mar-07,55,30,25,44.6428571429
KingTwin,Brazil,Jan-07,22,8,14,60.8695652174
KingTwin,Brazil,Feb-07,27,12,15,53.5714285714
KingTwin,Brazil,Mar-07,29,14,15,50.0
KingTwin,Argentina,Jan-07,83,71,12,14.2857142857
KingTwin,Argentina,Feb-07,92,80,12,12.9032258065
KingTwin,Argentina,Mar-07,92,80,12,12.9032258065
KingTwin,UK,Jan-07,81,67,14,17.0731707317
KingTwin,UK,Feb-07,87,74,13,14.7727272727
KingTwin,UK,Mar-07,94,74,20,21.0526315789
KingTwin,France,Jan-07,95,76,19,19.7916666667
KingTwin,France,Feb-07,101,82,19,18.6274509804
KingTwin,France,Mar-07,102,82,20,19.4174757282
KingTwin,Germany,Jan-07,118,93,25,21.0084033613
KingTwin,Germany,Feb-07,116,91,25,21.3675213675
KingTwin,Germany,Mar-07,118,92,26,21.8487394958
KingTwin,Spain,Jan-07,86,72,14,16.091954023
KingTwin,Spain,Feb-07,95,81,14,14.5833333333
KingTwin,Spain,Mar-07,95,81,14,14.5833333333
KingTwin,Italy,Jan-07,66,45,21,31.3432835821
KingTwin,Italy,Feb-07,65,44,21,31.8181818182
KingTwin,Italy,Mar-07,67,45,22,32.3529411765
KingTwin,China,Jan-07,77,63,14,17.9487179487
KingTwin,China,Feb-07,80,66,14,17.2839506173
KingTwin,China,Mar-07,81,66,15,18.2926829268
KingTwin,Japan,Jan-07,45,32,13,28.2608695652
KingTwin,Japan,Feb-07,49,36,13,26.0
KingTwin,Japan,Mar-07,54,32,22,40.0
MegaTwin,US,Jan-07,66,58,8,11.9402985075
MegaTwin,US,Feb-07,71,64,7,9.72222222222
MegaTwin,US,Mar-07,75,68,7,9.21052631579
MegaTwin,Canada,Jan-07,28,25,3,10.3448275862
MegaTwin,Canada,Feb-07,35,32,3,8.33333333333
MegaTwin,Canada,Mar-07,34,31,3,8.57142857143
MegaTwin,Brazil,Jan-07,80,71,9,11.1111111111
MegaTwin,Brazil,Feb-07,78,69,9,11.3924050633
MegaTwin,Brazil,Mar-07,77,68,9,11.5384615385
MegaTwin,Argentina,Jan-07,88,78,10,11.2359550562
MegaTwin,Argentina,Feb-07,89,80,9,10.0
MegaTwin,Argentina,Mar-07,97,87,10,10.2040816327
MegaTwin,UK,Jan-07,34,30,4,11.4285714286
MegaTwin,UK,Feb-07,38,35,3,7.69230769231
MegaTwin,UK,Mar-07,35,31,4,11.1111111111
MegaTwin,France,Jan-07,89,79,10,11.1111111111
MegaTwin,France,Feb-07,94,84,10,10.5263157895
MegaTwin,France,Mar-07,104,94,10,9.52380952381
MegaTwin,Germany,Jan-07,35,31,4,11.1111111111
MegaTwin,Germany,Feb-07,33,29,4,11.7647058824
MegaTwin,Germany,Mar-07,30,26,4,12.9032258065
MegaTwin,Spain,Jan-07,27,24,3,10.7142857143
MegaTwin,Spain,Feb-07,31,28,3,9.375
MegaTwin,Spain,Mar-07,32,29,3,9.09090909091
MegaTwin,Italy,Jan-07,88,78,10,11.2359550562
MegaTwin,Italy,Feb-07,92,83,9,9.67741935484
MegaTwin,Italy,Mar-07,90,80,10,10.989010989
MegaTwin,China,Jan-07,0,0,0,100.0
MegaTwin,China,Feb-07,9,9,0,0.0
MegaTwin,China,Mar-07,7,7,0,0.0
MegaTwin,Japan,Jan-07,57,51,6,10.3448275862
MegaTwin,Japan,Feb-07,61,55,6,9.67741935484
MegaTwin,Japan,Mar-07,56,49,7,12.2807017544
ST900,US,Jan-07,43,26,17,38.6363636364
ST900,US,Feb-07,40,6,34,82.9268292683
ST900,US,Mar-07,40,6,34,82.9268292683
ST900,Canada,Jan-07,9,2,7,70.0
