canal,period,minLimit,maxLimit,minInformedLimit,maxInformedLimit
8,11,0,6,0,6
8,12,0,6,0,6
8,13,0,6,0,6
8,14,0,6,0,6
8,15,0,6,0,6
8,16,0,6,0,6
8,17,0,6,0,6
8,18,0,6,0,6
8,19,0,6,0,6
8,20,0,6,0,6
8,21,0,6,0,6
8,22,0,6,0,6
8,23,0,6,0,6
8,24,0,6,0,6
9,1,0,6,0,6
9,2,0,6,0,6
9,3,0,6,0,6
9,4,0,6,0,6
9,5,0,6,0,6
9,6,0,6,0,6
9,7,0,6,0,6
9,8,0,6,0,6
9,9,0,6,0,6
9,10,0,6,0,6
9,11,0,6,0,6
9,12,0,6,0,6
9,13,0,6,0,6
9,14,0,6,0,6
9,15,0,6,0,6
9,16,0,6,0,6
9,17,0,6,0,6
9,18,0,6,0,6
9,19,0,6,0,6
9,20,0,6,0,6
9,21,0,6,0,6
9,22,0,6,0,6
9,23,0,6,0,6
9,24,0,6,0,6
10,1,0,6,0,6
10,2,0,6,0,6
10,3,0,6,0,6
10,4,0,6,0,6
10,5,0,6,0,6
10,6,0,6,0,6
10,7,0,6,0,6
10,8,0,6,0,6
10,9,0,6,0,6
10,10,0,6,0,6
10,11,0,6,0,6
10,12,0,6,0,6
10,13,0,6,0,6
10,14,0,6,0,6
10,15,0,6,0,6
10,16,0,6,0,6
10,17,0,6,0,6
10,18,0,6,0,6
10,19,0,6,0,6
10,20,0,6,0,6
10,21,0,6,0,6
10,22,0,6,0,6
10,23,0,6,0,6
10,24,0,6,0,6
11,1,0,6,0,6
11,2,0,6,0,6
11,3,0,6,0,6
11,4,0,6,0,6
11,5,0,6,0,6
11,6,0,6,0,6
11,7,0,6,0,6
11,8,0,6,0,6
11,9,0,6,0,6
11,10,0,6,0,6
11,11,0,6,0,6
11,12,0,6,0,6
11,13,0,6,0,6
11,14,0,6,0,6
11,15,0,6,0,6
11,16,0,6,0,6
11,17,0,6,0,6
11,18,0,6,0,6
11,19,0,6,0,6
11,20,0,6,0,6
11,21,0,6,0,6
11,22,0,6,0,6
11,23,0,6,0,6
11,24,0,6,0,6
12,1,0,6,0,6
12,2,0,6,0,6
12,3,0,6,0,6
12,4,0,6,0,6
12,5,0,6,0,6
12,6,0,6,0,6
12,7,0,6,0,6
12,8,0,6,0,6
12,9,0,6,0,6
12,10,0,6,0,6
12,11,0,6,0,6
12,12,0,6,0,6
12,13,0,6,0,6
12,14,0,6,0,6
12,15,0,6,0,6
12,16,0,6,0,6
12,17,0,6,0,6
12,18,0,6,0,6
12,19,0,6,0,6
12,20,0,6,0,6
12,21,0,6,0,6
12,22,0,6,0,6
12,23,0,6,0,6
12,24,0,6,0,6
