,id_of_Market,id_of_Month,id_of_Product,executedSalesVar
222,Canada,Jan-07,Enduro 450,28.0
223,Canada,Jan-07,Enduro 550,63.0
224,Canada,Jan-07,KingTwin,52.0
225,Canada,Jan-07,MegaTwin,28.0
226,Canada,Jan-07,RoadLiner,83.0
227,Canada,Jan-07,RoadStar,101.0
228,Canada,Jan-07,ST1200,13.0
229,Canada,Jan-07,ST1200R,67.0
230,Canada,Jan-07,ST900,9.0
231,Canada,Jan-07,Victory,86.0
232,Canada,Mar-07,200S,97.0
233,Canada,Mar-07,300S,22.0
234,Canada,Mar-07,600S,78.0
235,Canada,Mar-07,626S,55.0
236,Canada,Mar-07,676RS,16.0
237,Canada,Mar-07,676S,25.0
238,Canada,Mar-07,900S,102.0
239,Canada,Mar-07,929S,45.0
240,Canada,Mar-07,996RS,70.0
241,Canada,Mar-07,996S,90.0
242,Canada,Mar-07,Bandit 1200,67.0
243,Canada,Mar-07,Bandit 1200S,64.0
244,Canada,Mar-07,Bandit 900,64.0
245,Canada,Mar-07,Boulevard,53.0
246,Canada,Mar-07,CRS550,78.0
247,Canada,Mar-07,CRX500,22.0
248,Canada,Mar-07,CRX600,7.0
249,Canada,Mar-07,CRX650,70.0
250,Canada,Mar-07,Enduro 350,5.0
251,Canada,Mar-07,Enduro 450,28.0
252,Canada,Mar-07,Enduro 550,66.0
253,Canada,Mar-07,KingTwin,55.0
254,Canada,Mar-07,MegaTwin,34.0
255,Canada,Mar-07,RoadLiner,79.0
256,Canada,Mar-07,RoadStar,102.0
257,Canada,Mar-07,ST1200,10.0
258,Canada,Mar-07,ST1200R,77.0
259,Canada,Mar-07,ST900,5.0
260,Canada,Mar-07,Victory,87.0
261,China,Feb-07,200S,82.0
262,China,Feb-07,300S,37.0
263,China,Feb-07,600S,102.0
264,China,Feb-07,626S,71.0
265,China,Feb-07,676RS,37.0
266,China,Feb-07,676S,59.0
267,China,Feb-07,900S,12.0
268,China,Feb-07,929S,67.0
269,China,Feb-07,996RS,11.0
270,China,Feb-07,996S,101.0
271,China,Feb-07,Bandit 1200,104.0
272,China,Feb-07,Bandit 1200S,89.0
273,China,Feb-07,Bandit 900,51.0
274,China,Feb-07,Boulevard,93.0
275,China,Feb-07,CRS550,22.0
276,China,Feb-07,CRX500,43.0
277,China,Feb-07,CRX600,76.0
278,China,Feb-07,CRX650,41.0
279,China,Feb-07,Enduro 350,93.0
280,China,Feb-07,Enduro 450,56.0
281,China,Feb-07,Enduro 550,103.0
282,China,Feb-07,KingTwin,80.0
283,China,Feb-07,MegaTwin,9.0
284,China,Feb-07,RoadLiner,60.0
285,China,Feb-07,RoadStar,40.0
286,China,Feb-07,ST1200,100.0
287,China,Feb-07,ST1200R,88.0
288,China,Feb-07,ST900,49.0
289,China,Feb-07,Victory,74.0
290,China,Jan-07,200S,87.0
291,China,Jan-07,300S,33.0
292,China,Jan-07,600S,99.0
293,China,Jan-07,626S,79.0
294,China,Jan-07,676RS,36.0
295,China,Jan-07,676S,58.0
296,China,Jan-07,900S,13.0
297,China,Jan-07,929S,67.0
298,China,Jan-07,996RS,5.0
299,China,Jan-07,996S,98.0
300,China,Jan-07,Bandit 1200,101.0
301,China,Jan-07,Bandit 1200S,80.0
302,China,Jan-07,Bandit 900,55.0
303,China,Jan-07,Boulevard,100.0
304,China,Jan-07,CRS550,23.0
305,China,Jan-07,CRX500,50.0
306,China,Jan-07,CRX600,72.0
307,China,Jan-07,CRX650,41.0
308,China,Jan-07,Enduro 350,94.0
309,China,Jan-07,Enduro 450,52.0
310,China,Jan-07,Enduro 550,103.0
311,China,Jan-07,KingTwin,77.0
312,China,Jan-07,MegaTwin,0.0
313,China,Jan-07,RoadLiner,64.0
314,China,Jan-07,RoadStar,34.0
315,China,Jan-07,ST1200,99.0
316,China,Jan-07,ST1200R,86.0
317,China,Jan-07,ST900,55.0
318,China,Jan-07,Victory,81.0
319,China,Mar-07,200S,87.0
320,China,Mar-07,300S,29.0
321,China,Mar-07,600S,104.0
322,China,Mar-07,626S,78.0
323,China,Mar-07,676RS,39.0
324,China,Mar-07,676S,68.0
325,China,Mar-07,900S,16.0
326,China,Mar-07,929S,71.0
327,China,Mar-07,996RS,3.0
328,China,Mar-07,996S,98.0
329,China,Mar-07,Bandit 1200,102.0
330,China,Mar-07,Bandit 1200S,84.0
331,China,Mar-07,Bandit 900,55.0
332,China,Mar-07,Boulevard,98.0
333,China,Mar-07,CRS550,26.0
334,China,Mar-07,CRX500,50.0
335,China,Mar-07,CRX600,78.0
336,China,Mar-07,CRX650,50.0
337,China,Mar-07,Enduro 350,88.0
338,China,Mar-07,Enduro 450,55.0
339,China,Mar-07,Enduro 550,109.0
340,China,Mar-07,KingTwin,81.0
341,China,Mar-07,MegaTwin,7.0
342,China,Mar-07,RoadLiner,64.0
343,China,Mar-07,RoadStar,38.0
344,China,Mar-07,ST1200,100.0
345,China,Mar-07,ST1200R,85.0
346,China,Mar-07,ST900,45.0
347,China,Mar-07,Victory,77.0
348,France,Feb-07,200S,79.0
349,France,Feb-07,300S,108.0
350,France,Feb-07,600S,119.0
351,France,Feb-07,626S,22.0
352,France,Feb-07,676RS,39.0
353,France,Feb-07,676S,88.0
354,France,Feb-07,900S,37.0
355,France,Feb-07,929S,113.0
356,France,Feb-07,996RS,28.0
357,France,Feb-07,996S,54.0
358,France,Feb-07,Bandit 1200,20.0
359,France,Feb-07,Bandit 1200S,100.0
360,France,Feb-07,Bandit 900,103.0
361,France,Feb-07,Boulevard,28.0
362,France,Feb-07,CRS550,68.0
363,France,Feb-07,CRX500,63.0
364,France,Feb-07,CRX600,52.0
365,France,Feb-07,CRX650,55.0
366,France,Feb-07,Enduro 350,106.0
367,France,Feb-07,Enduro 450,69.0
368,France,Feb-07,Enduro 550,40.0
369,France,Feb-07,KingTwin,101.0
370,France,Feb-07,MegaTwin,94.0
371,France,Feb-07,RoadLiner,55.0
372,France,Feb-07,RoadStar,89.0
373,France,Feb-07,ST1200,81.0
374,France,Feb-07,ST1200R,68.0
375,France,Feb-07,ST900,59.0
376,France,Feb-07,Victory,53.0
377,France,Jan-07,200S,83.0
378,France,Jan-07,300S,108.0
379,France,Jan-07,600S,118.0
380,France,Jan-07,626S,22.0
381,France,Jan-07,676RS,35.0
382,France,Jan-07,676S,83.0
383,France,Jan-07,900S,41.0
384,France,Jan-07,929S,116.0
385,France,Jan-07,996RS,25.0
386,France,Jan-07,996S,52.0
387,France,Jan-07,Bandit 1200,22.0
388,France,Jan-07,Bandit 1200S,99.0
389,France,Jan-07,Bandit 900,101.0
390,France,Jan-07,Boulevard,26.0
391,France,Jan-07,CRS550,67.0
392,France,Jan-07,CRX500,64.0
393,France,Jan-07,CRX600,54.0
394,France,Jan-07,CRX650,52.0
395,France,Jan-07,Enduro 350,108.0
396,France,Jan-07,Enduro 450,71.0
397,France,Jan-07,Enduro 550,40.0
398,France,Jan-07,KingTwin,95.0
399,France,Jan-07,MegaTwin,89.0
400,France,Jan-07,RoadLiner,53.0
401,France,Jan-07,RoadStar,92.0
402,France,Jan-07,ST1200,81.0
403,France,Jan-07,ST1200R,69.0
404,France,Jan-07,ST900,64.0
405,France,Jan-07,Victory,47.0
406,France,Mar-07,200S,75.0
407,France,Mar-07,300S,105.0
408,France,Mar-07,600S,115.0
409,France,Mar-07,626S,25.0
410,France,Mar-07,676RS,36.0
411,France,Mar-07,676S,85.0
412,France,Mar-07,900S,44.0
413,France,Mar-07,929S,110.0
414,France,Mar-07,996RS,34.0
415,France,Mar-07,996S,60.0
416,France,Mar-07,Bandit 1200,26.0
417,France,Mar-07,Bandit 1200S,104.0
418,France,Mar-07,Bandit 900,109.0
419,France,Mar-07,Boulevard,33.0
420,France,Mar-07,CRS550,67.0
421,France,Mar-07,CRX500,64.0
422,France,Mar-07,CRX600,56.0
423,France,Mar-07,CRX650,61.0
424,France,Mar-07,Enduro 350,102.0
425,France,Mar-07,Enduro 450,73.0
426,France,Mar-07,Enduro 550,39.0
427,France,Mar-07,KingTwin,102.0
428,France,Mar-07,MegaTwin,104.0
429,France,Mar-07,RoadLiner,58.0
430,France,Mar-07,RoadStar,90.0
431,France,Mar-07,ST1200,82.0
432,France,Mar-07,ST1200R,69.0
433,France,Mar-07,ST900,58.0
434,France,Mar-07,Victory,52.0
435,Germany,Feb-07,200S,30.0
436,Germany,Feb-07,300S,45.0
437,Germany,Feb-07,600S,113.0
438,Germany,Feb-07,626S,27.0
439,Germany,Feb-07,676RS,54.0
440,Germany,Feb-07,676S,122.0
441,Germany,Feb-07,900S,35.0
442,Germany,Feb-07,929S,21.0
443,Germany,Feb-07,996RS,29.0
444,Germany,Feb-07,996S,44.0
445,Germany,Feb-07,Bandit 1200,58.0
446,Germany,Feb-07,Bandit 1200S,59.0
447,Germany,Feb-07,Bandit 900,28.0
448,Germany,Feb-07,Boulevard,12.0
449,Germany,Feb-07,CRS550,66.0
450,Germany,Feb-07,CRX500,57.0
451,Germany,Feb-07,CRX600,22.0
452,Germany,Feb-07,CRX650,42.0
453,Germany,Feb-07,Enduro 350,10.0
454,Germany,Feb-07,Enduro 450,103.0
455,Germany,Feb-07,Enduro 550,91.0
456,Germany,Feb-07,KingTwin,116.0
457,Germany,Feb-07,MegaTwin,33.0
458,Germany,Feb-07,RoadLiner,67.0
459,Germany,Feb-07,RoadStar,81.0
460,Germany,Feb-07,ST1200,23.0
461,Germany,Feb-07,ST1200R,27.0
462,Germany,Feb-07,ST900,46.0
463,Germany,Feb-07,Victory,83.0
464,Germany,Jan-07,200S,22.0
465,Germany,Jan-07,300S,36.0
466,Germany,Jan-07,600S,107.0
467,Germany,Jan-07,626S,22.0
468,Germany,Jan-07,676RS,58.0
469,Germany,Jan-07,676S,110.0
470,Germany,Jan-07,900S,43.0
471,Germany,Jan-07,929S,15.0
472,Germany,Jan-07,996RS,34.0
473,Germany,Jan-07,996S,47.0
474,Germany,Jan-07,Bandit 1200,56.0
475,Germany,Jan-07,Bandit 1200S,58.0
476,Germany,Jan-07,Bandit 900,27.0
477,Germany,Jan-07,Boulevard,4.0
478,Germany,Jan-07,CRS550,61.0
479,Germany,Jan-07,CRX500,60.0
480,Germany,Jan-07,CRX600,17.0
481,Germany,Jan-07,CRX650,37.0
482,Germany,Jan-07,Enduro 350,10.0
483,Germany,Jan-07,Enduro 450,102.0
484,Germany,Jan-07,Enduro 550,89.0
485,Germany,Jan-07,KingTwin,118.0
486,Germany,Jan-07,MegaTwin,35.0
487,Germany,Jan-07,RoadLiner,64.0
488,Germany,Jan-07,RoadStar,89.0
489,Germany,Jan-07,ST1200,27.0
490,Germany,Jan-07,ST1200R,32.0
491,Germany,Jan-07,ST900,39.0
492,Germany,Jan-07,Victory,75.0
493,Germany,Mar-07,200S,22.0
494,Germany,Mar-07,300S,44.0
495,Germany,Mar-07,600S,115.0
496,Germany,Mar-07,626S,24.0
497,Germany,Mar-07,676RS,59.0
498,Germany,Mar-07,676S,126.0
499,Germany,Mar-07,900S,39.0
500,Germany,Mar-07,929S,20.0
501,Germany,Mar-07,996RS,28.0
502,Germany,Mar-07,996S,49.0
503,Germany,Mar-07,Bandit 1200,58.0
504,Germany,Mar-07,Bandit 1200S,53.0
505,Germany,Mar-07,Bandit 900,27.0
506,Germany,Mar-07,Boulevard,12.0
507,Germany,Mar-07,CRS550,62.0
508,Germany,Mar-07,CRX500,54.0
509,Germany,Mar-07,CRX600,20.0
510,Germany,Mar-07,CRX650,37.0
511,Germany,Mar-07,Enduro 350,13.0
512,Germany,Mar-07,Enduro 450,108.0
513,Germany,Mar-07,Enduro 550,97.0
514,Germany,Mar-07,KingTwin,118.0
515,Germany,Mar-07,MegaTwin,30.0
516,Germany,Mar-07,RoadLiner,69.0
517,Germany,Mar-07,RoadStar,87.0
518,Germany,Mar-07,ST1200,22.0
519,Germany,Mar-07,ST1200R,27.0
520,Germany,Mar-07,ST900,43.0
521,Germany,Mar-07,Victory,77.0
522,Italy,Feb-07,200S,34.0
523,Italy,Feb-07,300S,9.0
524,Italy,Feb-07,600S,83.0
525,Italy,Feb-07,626S,25.0
526,Italy,Feb-07,676RS,39.0
527,Italy,Feb-07,676S,115.0
528,Italy,Feb-07,900S,24.0
529,Italy,Feb-07,929S,45.0
530,Italy,Feb-07,996RS,72.0
531,Italy,Feb-07,996S,28.0
532,Italy,Feb-07,Bandit 1200,34.0
533,Italy,Feb-07,Bandit 1200S,24.0
534,Italy,Feb-07,Bandit 900,104.0
535,Italy,Feb-07,Boulevard,83.0
536,Italy,Feb-07,CRS550,62.0
537,Italy,Feb-07,CRX500,107.0
538,Italy,Feb-07,CRX600,73.0
539,Italy,Feb-07,CRX650,71.0
540,Italy,Feb-07,Enduro 350,13.0
541,Italy,Feb-07,Enduro 450,41.0
542,Italy,Feb-07,Enduro 550,99.0
543,Italy,Feb-07,KingTwin,65.0
544,Italy,Feb-07,MegaTwin,92.0
545,Italy,Feb-07,RoadLiner,45.0
546,Italy,Feb-07,RoadStar,113.0
547,Italy,Feb-07,ST1200,66.0
548,Italy,Feb-07,ST1200R,7.0
549,Italy,Feb-07,ST900,52.0
550,Italy,Feb-07,Victory,81.0
551,Italy,Jan-07,200S,32.0
552,Italy,Jan-07,300S,7.0
553,Italy,Jan-07,600S,81.0
554,Italy,Jan-07,626S,24.0
555,Italy,Jan-07,676RS,35.0
556,Italy,Jan-07,676S,104.0
557,Italy,Jan-07,900S,22.0
558,Italy,Jan-07,929S,39.0
559,Italy,Jan-07,996RS,71.0
560,Italy,Jan-07,996S,25.0
561,Italy,Jan-07,Bandit 1200,36.0
562,Italy,Jan-07,Bandit 1200S,26.0
563,Italy,Jan-07,Bandit 900,109.0
564,Italy,Jan-07,Boulevard,77.0
565,Italy,Jan-07,CRS550,70.0
566,Italy,Jan-07,CRX500,104.0
567,Italy,Jan-07,CRX600,69.0
568,Italy,Jan-07,CRX650,69.0
569,Italy,Jan-07,Enduro 350,4.0
570,Italy,Jan-07,Enduro 450,36.0
571,Italy,Jan-07,Enduro 550,95.0
572,Italy,Jan-07,KingTwin,66.0
573,Italy,Jan-07,MegaTwin,88.0
574,Italy,Jan-07,RoadLiner,43.0
575,Italy,Jan-07,RoadStar,111.0
576,Italy,Jan-07,ST1200,67.0
577,Italy,Jan-07,ST1200R,9.0
578,Italy,Jan-07,ST900,53.0
579,Italy,Jan-07,Victory,87.0
580,Italy,Mar-07,200S,36.0
581,Italy,Mar-07,300S,6.0
582,Italy,Mar-07,600S,82.0
583,Italy,Mar-07,626S,24.0
584,Italy,Mar-07,676RS,34.0
585,Italy,Mar-07,676S,120.0
586,Italy,Mar-07,900S,22.0
587,Italy,Mar-07,929S,46.0
588,Italy,Mar-07,996RS,76.0
589,Italy,Mar-07,996S,28.0
590,Italy,Mar-07,Bandit 1200,34.0
591,Italy,Mar-07,Bandit 1200S,23.0
592,Italy,Mar-07,Bandit 900,107.0
593,Italy,Mar-07,Boulevard,84.0
594,Italy,Mar-07,CRS550,66.0
595,Italy,Mar-07,CRX500,100.0
596,Italy,Mar-07,CRX600,73.0
597,Italy,Mar-07,CRX650,69.0
598,Italy,Mar-07,Enduro 350,5.0
599,Italy,Mar-07,Enduro 450,41.0
600,Italy,Mar-07,Enduro 550,106.0
601,Italy,Mar-07,KingTwin,67.0
602,Italy,Mar-07,MegaTwin,90.0
603,Italy,Mar-07,RoadLiner,45.0
604,Italy,Mar-07,RoadStar,106.0
605,Italy,Mar-07,ST1200,68.0
606,Italy,Mar-07,ST1200R,6.0
607,Italy,Mar-07,ST900,56.0
608,Italy,Mar-07,Victory,88.0
609,Japan,Feb-07,200S,63.0
610,Japan,Feb-07,300S,7.0
611,Japan,Feb-07,600S,20.0
612,Japan,Feb-07,626S,85.0
613,Japan,Feb-07,676RS,68.0
614,Japan,Feb-07,676S,56.0
615,Japan,Feb-07,900S,38.0
616,Japan,Feb-07,929S,23.0
617,Japan,Feb-07,996RS,23.0
618,Japan,Feb-07,996S,51.0
619,Japan,Feb-07,Bandit 1200,28.0
620,Japan,Feb-07,Bandit 1200S,90.0
621,Japan,Feb-07,Bandit 900,61.0
622,Japan,Feb-07,Boulevard,81.0
623,Japan,Feb-07,CRS550,16.0
624,Japan,Feb-07,CRX500,87.0
625,Japan,Feb-07,CRX600,77.0
626,Japan,Feb-07,CRX650,92.0
627,Japan,Feb-07,Enduro 350,74.0
628,Japan,Feb-07,Enduro 450,71.0
629,Japan,Feb-07,Enduro 550,86.0
630,Japan,Feb-07,KingTwin,49.0
631,Japan,Feb-07,MegaTwin,61.0
632,Japan,Feb-07,RoadLiner,24.0
633,Japan,Feb-07,RoadStar,74.0
634,Japan,Feb-07,ST1200,99.0
635,Japan,Feb-07,ST1200R,47.0
636,Japan,Feb-07,ST900,48.0
637,Japan,Feb-07,Victory,10.0
638,Japan,Jan-07,200S,64.0
639,Japan,Jan-07,300S,11.0
640,Japan,Jan-07,600S,22.0
641,Japan,Jan-07,626S,83.0
642,Japan,Jan-07,676RS,72.0
643,Japan,Jan-07,676S,47.0
644,Japan,Jan-07,900S,39.0
645,Japan,Jan-07,929S,22.0
646,Japan,Jan-07,996RS,24.0
647,Japan,Jan-07,996S,50.0
648,Japan,Jan-07,Bandit 1200,32.0
649,Japan,Jan-07,Bandit 1200S,89.0
650,Japan,Jan-07,Bandit 900,52.0
651,Japan,Jan-07,Boulevard,82.0
652,Japan,Jan-07,CRS550,22.0
653,Japan,Jan-07,CRX500,87.0
654,Japan,Jan-07,CRX600,76.0
655,Japan,Jan-07,CRX650,85.0
656,Japan,Jan-07,Enduro 350,79.0
657,Japan,Jan-07,Enduro 450,75.0
658,Japan,Jan-07,Enduro 550,84.0
659,Japan,Jan-07,KingTwin,45.0
660,Japan,Jan-07,MegaTwin,57.0
661,Japan,Jan-07,RoadLiner,28.0
662,Japan,Jan-07,RoadStar,75.0
663,Japan,Jan-07,ST1200,98.0
664,Japan,Jan-07,ST1200R,53.0
665,Japan,Jan-07,ST900,45.0
666,Japan,Jan-07,Victory,13.0
667,Japan,Mar-07,200S,58.0
668,Japan,Mar-07,300S,12.0
