Products,Markets,Months,value
Boulevard,Spain,Feb-07,827
Boulevard,Spain,Mar-07,815
Boulevard,Italy,Jan-07,818
Boulevard,Italy,Feb-07,822
Boulevard,Italy,Mar-07,823
Boulevard,China,Jan-07,841
Boulevard,China,Feb-07,823
Boulevard,China,Mar-07,822
Boulevard,Japan,Jan-07,838
Boulevard,Japan,Feb-07,843
Boulevard,Japan,Mar-07,831
KingTwin,US,Jan-07,708
KingTwin,US,Feb-07,687
KingTwin,US,Mar-07,687
KingTwin,Canada,Jan-07,697
KingTwin,Canada,Feb-07,690
KingTwin,Canada,Mar-07,670
KingTwin,Brazil,Jan-07,677
KingTwin,Brazil,Feb-07,682
KingTwin,Brazil,Mar-07,690
KingTwin,Argentina,Jan-07,695
KingTwin,Argentina,Feb-07,700
KingTwin,Argentina,Mar-07,705
KingTwin,UK,Jan-07,694
KingTwin,UK,Feb-07,698
KingTwin,UK,Mar-07,679
KingTwin,France,Jan-07,701
KingTwin,France,Feb-07,680
KingTwin,France,Mar-07,681
KingTwin,Germany,Jan-07,677
KingTwin,Germany,Feb-07,668
KingTwin,Germany,Mar-07,682
KingTwin,Spain,Jan-07,698
KingTwin,Spain,Feb-07,712
KingTwin,Spain,Mar-07,691
KingTwin,Italy,Jan-07,673
KingTwin,Italy,Feb-07,700
KingTwin,Italy,Mar-07,677
KingTwin,China,Jan-07,691
KingTwin,China,Feb-07,702
KingTwin,China,Mar-07,690
KingTwin,Japan,Jan-07,693
KingTwin,Japan,Feb-07,703
KingTwin,Japan,Mar-07,676
MegaTwin,US,Jan-07,958
MegaTwin,US,Feb-07,942
MegaTwin,US,Mar-07,972
MegaTwin,Canada,Jan-07,965
MegaTwin,Canada,Feb-07,970
MegaTwin,Canada,Mar-07,941
MegaTwin,Brazil,Jan-07,945
MegaTwin,Brazil,Feb-07,975
MegaTwin,Brazil,Mar-07,967
MegaTwin,Argentina,Jan-07,939
MegaTwin,Argentina,Feb-07,953
MegaTwin,Argentina,Mar-07,940
MegaTwin,UK,Jan-07,957
MegaTwin,UK,Feb-07,953
MegaTwin,UK,Mar-07,971
MegaTwin,France,Jan-07,963
MegaTwin,France,Feb-07,959
MegaTwin,France,Mar-07,954
MegaTwin,Germany,Jan-07,968
MegaTwin,Germany,Feb-07,974
MegaTwin,Germany,Mar-07,971
MegaTwin,Spain,Jan-07,963
MegaTwin,Spain,Feb-07,962
MegaTwin,Spain,Mar-07,979
MegaTwin,Italy,Jan-07,936
MegaTwin,Italy,Feb-07,965
MegaTwin,Italy,Mar-07,960
MegaTwin,China,Jan-07,973
MegaTwin,China,Feb-07,938
MegaTwin,China,Mar-07,959
MegaTwin,Japan,Jan-07,935
MegaTwin,Japan,Feb-07,981
MegaTwin,Japan,Mar-07,959
ST900,US,Jan-07,693
ST900,US,Feb-07,652
ST900,US,Mar-07,662
ST900,Canada,Jan-07,677
ST900,Canada,Feb-07,651
ST900,Canada,Mar-07,669
ST900,Brazil,Jan-07,677
ST900,Brazil,Feb-07,694
ST900,Brazil,Mar-07,675
ST900,Argentina,Jan-07,694
ST900,Argentina,Feb-07,681
ST900,Argentina,Mar-07,693
ST900,UK,Jan-07,646
ST900,UK,Feb-07,653
ST900,UK,Mar-07,667
ST900,France,Jan-07,670
ST900,France,Feb-07,685
ST900,France,Mar-07,675
ST900,Germany,Jan-07,688
ST900,Germany,Feb-07,672
ST900,Germany,Mar-07,648
ST900,Spain,Jan-07,674
ST900,Spain,Feb-07,651
ST900,Spain,Mar-07,678
ST900,Italy,Jan-07,651
ST900,Italy,Feb-07,681
ST900,Italy,Mar-07,648
ST900,China,Jan-07,684
ST900,China,Feb-07,662
ST900,China,Mar-07,655
ST900,Japan,Jan-07,688
ST900,Japan,Feb-07,682
ST900,Japan,Mar-07,683
ST1200,US,Jan-07,816
ST1200,US,Feb-07,812
ST1200,US,Mar-07,792
ST1200,Canada,Jan-07,806
ST1200,Canada,Feb-07,831
ST1200,Canada,Mar-07,797
ST1200,Brazil,Jan-07,812
ST1200,Brazil,Feb-07,811
ST1200,Brazil,Mar-07,805
ST1200,Argentina,Jan-07,833
ST1200,Argentina,Feb-07,823
ST1200,Argentina,Mar-07,810
ST1200,UK,Jan-07,791
ST1200,UK,Feb-07,802
ST1200,UK,Mar-07,833
ST1200,France,Jan-07,790
ST1200,France,Feb-07,834
ST1200,France,Mar-07,807
ST1200,Germany,Jan-07,797
ST1200,Germany,Feb-07,835
ST1200,Germany,Mar-07,816
ST1200,Spain,Jan-07,821
ST1200,Spain,Feb-07,816
ST1200,Spain,Mar-07,802
ST1200,Italy,Jan-07,788
ST1200,Italy,Feb-07,810
ST1200,Italy,Mar-07,805
ST1200,China,Jan-07,826
ST1200,China,Feb-07,827
ST1200,China,Mar-07,808
ST1200,Japan,Jan-07,817
ST1200,Japan,Feb-07,822
ST1200,Japan,Mar-07,804
ST1200R,US,Jan-07,947
ST1200R,US,Feb-07,934
ST1200R,US,Mar-07,950
ST1200R,Canada,Jan-07,971
ST1200R,Canada,Feb-07,955
ST1200R,Canada,Mar-07,945
ST1200R,Brazil,Jan-07,956
ST1200R,Brazil,Feb-07,960
ST1200R,Brazil,Mar-07,960
ST1200R,Argentina,Jan-07,952
ST1200R,Argentina,Feb-07,959
ST1200R,Argentina,Mar-07,948
ST1200R,UK,Jan-07,964
ST1200R,UK,Feb-07,958
ST1200R,UK,Mar-07,930
ST1200R,France,Jan-07,929
ST1200R,France,Feb-07,942
ST1200R,France,Mar-07,950
ST1200R,Germany,Jan-07,970
ST1200R,Germany,Feb-07,925
ST1200R,Germany,Mar-07,932
ST1200R,Spain,Jan-07,926
ST1200R,Spain,Feb-07,933
ST1200R,Spain,Mar-07,959
ST1200R,Italy,Jan-07,957
ST1200R,Italy,Feb-07,961
ST1200R,Italy,Mar-07,963
ST1200R,China,Jan-07,948
ST1200R,China,Feb-07,942
ST1200R,China,Mar-07,944
ST1200R,Japan,Jan-07,962
ST1200R,Japan,Feb-07,926
ST1200R,Japan,Mar-07,942
Bandit 900,US,Jan-07,629
Bandit 900,US,Feb-07,649
Bandit 900,US,Mar-07,634
Bandit 900,Canada,Jan-07,641
Bandit 900,Canada,Feb-07,637
Bandit 900,Canada,Mar-07,652
Bandit 900,Brazil,Jan-07,669
Bandit 900,Brazil,Feb-07,645
Bandit 900,Brazil,Mar-07,668
Bandit 900,Argentina,Jan-07,631
Bandit 900,Argentina,Feb-07,668
Bandit 900,Argentina,Mar-07,668
Bandit 900,UK,Jan-07,641
Bandit 900,UK,Feb-07,634
Bandit 900,UK,Mar-07,668
Bandit 900,France,Jan-07,634
Bandit 900,France,Feb-07,654
Bandit 900,France,Mar-07,629
Bandit 900,Germany,Jan-07,672
Bandit 900,Germany,Feb-07,635
Bandit 900,Germany,Mar-07,657
Bandit 900,Spain,Jan-07,675
Bandit 900,Spain,Feb-07,637
Bandit 900,Spain,Mar-07,647
Bandit 900,Italy,Jan-07,661
Bandit 900,Italy,Feb-07,636
Bandit 900,Italy,Mar-07,644
Bandit 900,China,Jan-07,668
Bandit 900,China,Feb-07,643
Bandit 900,China,Mar-07,651
Bandit 900,Japan,Jan-07,659
Bandit 900,Japan,Feb-07,629
Bandit 900,Japan,Mar-07,660
Bandit 1200,US,Jan-07,740
Bandit 1200,US,Feb-07,708
Bandit 1200,US,Mar-07,696
Bandit 1200,Canada,Jan-07,739
Bandit 1200,Canada,Feb-07,737
Bandit 1200,Canada,Mar-07,697
Bandit 1200,Brazil,Jan-07,707
Bandit 1200,Brazil,Feb-07,741
Bandit 1200,Brazil,Mar-07,706
Bandit 1200,Argentina,Jan-07,699
Bandit 1200,Argentina,Feb-07,718
Bandit 1200,Argentina,Mar-07,745
Bandit 1200,UK,Jan-07,721
Bandit 1200,UK,Feb-07,717
Bandit 1200,UK,Mar-07,709
Bandit 1200,France,Jan-07,719
Bandit 1200,France,Feb-07,696
Bandit 1200,France,Mar-07,698
Bandit 1200,Germany,Jan-07,737
Bandit 1200,Germany,Feb-07,722
Bandit 1200,Germany,Mar-07,709
Bandit 1200,Spain,Jan-07,696
Bandit 1200,Spain,Feb-07,705
Bandit 1200,Spain,Mar-07,722
Bandit 1200,Italy,Jan-07,721
Bandit 1200,Italy,Feb-07,710
Bandit 1200,Italy,Mar-07,729
Bandit 1200,China,Jan-07,707
Bandit 1200,China,Feb-07,699
Bandit 1200,China,Mar-07,699
Bandit 1200,Japan,Jan-07,719
Bandit 1200,Japan,Feb-07,744
Bandit 1200,Japan,Mar-07,714
Bandit 1200S,US,Jan-07,1068
Bandit 1200S,US,Feb-07,1097
Bandit 1200S,US,Mar-07,1094
Bandit 1200S,Canada,Jan-07,1078
Bandit 1200S,Canada,Feb-07,1081
Bandit 1200S,Canada,Mar-07,1086
Bandit 1200S,Brazil,Jan-07,1052
Bandit 1200S,Brazil,Feb-07,1074
Bandit 1200S,Brazil,Mar-07,1087
Bandit 1200S,Argentina,Jan-07,1059
Bandit 1200S,Argentina,Feb-07,1060
Bandit 1200S,Argentina,Mar-07,1054
Bandit 1200S,UK,Jan-07,1080
Bandit 1200S,UK,Feb-07,1090
Bandit 1200S,UK,Mar-07,1100
Bandit 1200S,France,Jan-07,1066
Bandit 1200S,France,Feb-07,1068
Bandit 1200S,France,Mar-07,1062
Bandit 1200S,Germany,Jan-07,1066
Bandit 1200S,Germany,Feb-07,1065
Bandit 1200S,Germany,Mar-07,1071
Bandit 1200S,Spain,Jan-07,1057
Bandit 1200S,Spain,Feb-07,1078
Bandit 1200S,Spain,Mar-07,1097
Bandit 1200S,Italy,Jan-07,1067
Bandit 1200S,Italy,Feb-07,1069
Bandit 1200S,Italy,Mar-07,1094
Bandit 1200S,China,Jan-07,1082
Bandit 1200S,China,Feb-07,1096
Bandit 1200S,China,Mar-07,1068
Bandit 1200S,Japan,Jan-07,1069
Bandit 1200S,Japan,Feb-07,1089
Bandit 1200S,Japan,Mar-07,1084
Enduro 350,US,Jan-07,736
Enduro 350,US,Feb-07,692
Enduro 350,US,Mar-07,728
Enduro 350,Canada,Jan-07,705
Enduro 350,Canada,Feb-07,727
Enduro 350,Canada,Mar-07,740
Enduro 350,Brazil,Jan-07,736
Enduro 350,Brazil,Feb-07,708
Enduro 350,Brazil,Mar-07,734
Enduro 350,Argentina,Jan-07,737
Enduro 350,Argentina,Feb-07,717
Enduro 350,Argentina,Mar-07,722
Enduro 350,UK,Jan-07,722
Enduro 350,UK,Feb-07,734
Enduro 350,UK,Mar-07,712
Enduro 350,France,Jan-07,728
Enduro 350,France,Feb-07,698
Enduro 350,France,Mar-07,709
Enduro 350,Germany,Jan-07,706
Enduro 350,Germany,Feb-07,738
Enduro 350,Germany,Mar-07,741
Enduro 350,Spain,Jan-07,697
Enduro 350,Spain,Feb-07,741
Enduro 350,Spain,Mar-07,698
Enduro 350,Italy,Jan-07,728
Enduro 350,Italy,Feb-07,711
Enduro 350,Italy,Mar-07,741
Enduro 350,China,Jan-07,693
Enduro 350,China,Feb-07,726
Enduro 350,China,Mar-07,726
Enduro 350,Japan,Jan-07,700
Enduro 350,Japan,Feb-07,716
Enduro 350,Japan,Mar-07,711
Enduro 450,US,Jan-07,691
Enduro 450,US,Feb-07,668
Enduro 450,US,Mar-07,699
Enduro 450,Canada,Jan-07,679
Enduro 450,Canada,Feb-07,677
Enduro 450,Canada,Mar-07,704
Enduro 450,Brazil,Jan-07,715
Enduro 450,Brazil,Feb-07,680
Enduro 450,Brazil,Mar-07,717
Enduro 450,Argentina,Jan-07,675
Enduro 450,Argentina,Feb-07,694
Enduro 450,Argentina,Mar-07,696
Enduro 450,UK,Jan-07,689
Enduro 450,UK,Feb-07,715
Enduro 450,UK,Mar-07,677
Enduro 450,France,Jan-07,672
Enduro 450,France,Feb-07,693
Enduro 450,France,Mar-07,682
Enduro 450,Germany,Jan-07,686
Enduro 450,Germany,Feb-07,691
Enduro 450,Germany,Mar-07,700
Enduro 450,Spain,Jan-07,705
Enduro 450,Spain,Feb-07,668
Enduro 450,Spain,Mar-07,714
Enduro 450,Italy,Jan-07,713
Enduro 450,Italy,Feb-07,688
Enduro 450,Italy,Mar-07,677
Enduro 450,China,Jan-07,717
Enduro 450,China,Feb-07,704
Enduro 450,China,Mar-07,685
Enduro 450,Japan,Jan-07,705
Enduro 450,Japan,Feb-07,701
Enduro 450,Japan,Mar-07,690
Enduro 550,US,Jan-07,1047
Enduro 550,US,Feb-07,1048
Enduro 550,US,Mar-07,1084
Enduro 550,Canada,Jan-07,1068
Enduro 550,Canada,Feb-07,1067
Enduro 550,Canada,Mar-07,1046
Enduro 550,Brazil,Jan-07,1085
Enduro 550,Brazil,Feb-07,1089
Enduro 550,Brazil,Mar-07,1050
Enduro 550,Argentina,Jan-07,1070
Enduro 550,Argentina,Feb-07,1049
Enduro 550,Argentina,Mar-07,1061
Enduro 550,UK,Jan-07,1091
Enduro 550,UK,Feb-07,1065
Enduro 550,UK,Mar-07,1077
Enduro 550,France,Jan-07,1087
Enduro 550,France,Feb-07,1053
Enduro 550,France,Mar-07,1083
Enduro 550,Germany,Jan-07,1066
Enduro 550,Germany,Feb-07,1058
Enduro 550,Germany,Mar-07,1092
Enduro 550,Spain,Jan-07,1084
Enduro 550,Spain,Feb-07,1089
Enduro 550,Spain,Mar-07,1047
Enduro 550,Italy,Jan-07,1049
Enduro 550,Italy,Feb-07,1066
Enduro 550,Italy,Mar-07,1055
Enduro 550,China,Jan-07,1073
Enduro 550,China,Feb-07,1080
Enduro 550,China,Mar-07,1056
Enduro 550,Japan,Jan-07,1055
Enduro 550,Japan,Feb-07,1091
Enduro 550,Japan,Mar-07,1062
CRX500,US,Jan-07,600
CRX500,US,Feb-07,576
CRX500,US,Mar-07,609
CRX500,Canada,Jan-07,607
CRX500,Canada,Feb-07,587
