product,market,month,demand,allocation,absdiff,reldiff
600S,China,Mar-07,104,93,11,10.4761904762
600S,Japan,Jan-07,22,20,2,8.69565217391
600S,Japan,Feb-07,20,18,2,9.52380952381
600S,Japan,Mar-07,16,13,3,17.6470588235
626S,US,Jan-07,73,65,8,10.8108108108
626S,US,Feb-07,79,71,8,10.0
626S,US,Mar-07,82,74,8,9.63855421687
626S,Canada,Jan-07,52,46,6,11.320754717
626S,Canada,Feb-07,52,47,5,9.43396226415
626S,Canada,Mar-07,55,49,6,10.7142857143
626S,Brazil,Jan-07,26,23,3,11.1111111111
626S,Brazil,Feb-07,29,26,3,10.0
626S,Brazil,Mar-07,22,19,3,13.0434782609
626S,Argentina,Jan-07,110,98,12,10.8108108108
626S,Argentina,Feb-07,102,90,12,11.6504854369
626S,Argentina,Mar-07,106,93,13,12.1495327103
626S,UK,Jan-07,31,28,3,9.375
626S,UK,Feb-07,29,25,4,13.3333333333
626S,UK,Mar-07,28,25,3,10.3448275862
626S,France,Jan-07,22,20,2,8.69565217391
626S,France,Feb-07,22,20,2,8.69565217391
626S,France,Mar-07,25,22,3,11.5384615385
626S,Germany,Jan-07,22,20,2,8.69565217391
626S,Germany,Feb-07,27,25,2,7.14285714286
626S,Germany,Mar-07,24,21,3,12.0
626S,Spain,Jan-07,19,17,2,10.0
626S,Spain,Feb-07,21,19,2,9.09090909091
626S,Spain,Mar-07,12,10,2,15.3846153846
626S,Italy,Jan-07,24,22,2,8.0
626S,Italy,Feb-07,25,22,3,11.5384615385
626S,Italy,Mar-07,24,21,3,12.0
626S,China,Jan-07,79,70,9,11.25
626S,China,Feb-07,71,63,8,11.1111111111
626S,China,Mar-07,78,69,9,11.3924050633
626S,Japan,Jan-07,83,74,9,10.7142857143
626S,Japan,Feb-07,85,76,9,10.4651162791
626S,Japan,Mar-07,86,76,10,11.4942528736
676S,US,Jan-07,47,42,5,10.4166666667
676S,US,Feb-07,49,44,5,10.0
676S,US,Mar-07,56,50,6,10.5263157895
676S,Canada,Jan-07,20,18,2,9.52380952381
676S,Canada,Feb-07,20,18,2,9.52380952381
676S,Canada,Mar-07,25,22,3,11.5384615385
676S,Brazil,Jan-07,9,8,1,10.0
676S,Brazil,Feb-07,6,6,0,0.0
676S,Brazil,Mar-07,11,9,2,16.6666666667
676S,Argentina,Jan-07,91,82,9,9.78260869565
676S,Argentina,Feb-07,94,84,10,10.5263157895
676S,Argentina,Mar-07,97,86,11,11.2244897959
676S,UK,Jan-07,28,25,3,10.3448275862
676S,UK,Feb-07,27,25,2,7.14285714286
676S,UK,Mar-07,31,27,4,12.5
676S,France,Jan-07,83,74,9,10.7142857143
676S,France,Feb-07,88,79,9,10.1123595506
676S,France,Mar-07,85,75,10,11.6279069767
676S,Germany,Jan-07,110,99,11,9.90990990991
676S,Germany,Feb-07,122,109,13,10.5691056911
676S,Germany,Mar-07,126,113,13,10.2362204724
676S,Spain,Jan-07,46,41,5,10.6382978723
676S,Spain,Feb-07,45,41,4,8.69565217391
676S,Spain,Mar-07,47,41,6,12.5
676S,Italy,Jan-07,104,93,11,10.4761904762
676S,Italy,Feb-07,115,103,12,10.3448275862
676S,Italy,Mar-07,120,108,12,9.9173553719
676S,China,Jan-07,58,52,6,10.1694915254
676S,China,Feb-07,59,53,6,10.0
676S,China,Mar-07,68,61,7,10.1449275362
676S,Japan,Jan-07,47,42,5,10.4166666667
676S,Japan,Feb-07,56,51,5,8.77192982456
676S,Japan,Mar-07,59,53,6,10.0
676RS,US,Jan-07,101,90,11,10.7843137255
676RS,US,Feb-07,106,95,11,10.2803738318
676RS,US,Mar-07,116,104,12,10.2564102564
676RS,Canada,Jan-07,16,15,1,5.88235294118
676RS,Canada,Feb-07,16,14,2,11.7647058824
676RS,Canada,Mar-07,16,14,2,11.7647058824
676RS,Brazil,Jan-07,58,52,6,10.1694915254
676RS,Brazil,Feb-07,58,52,6,10.1694915254
676RS,Brazil,Mar-07,59,52,7,11.6666666667
676RS,Argentina,Jan-07,85,76,9,10.4651162791
676RS,Argentina,Feb-07,92,83,9,9.67741935484
676RS,Argentina,Mar-07,90,80,10,10.989010989
676RS,UK,Jan-07,24,22,2,8.0
676RS,UK,Feb-07,32,29,3,9.09090909091
676RS,UK,Mar-07,33,30,3,8.82352941176
676RS,France,Jan-07,35,32,3,8.33333333333
676RS,France,Feb-07,39,35,4,10.0
676RS,France,Mar-07,36,31,5,13.5135135135
676RS,Germany,Jan-07,58,52,6,10.1694915254
676RS,Germany,Feb-07,54,48,6,10.9090909091
676RS,Germany,Mar-07,59,52,7,11.6666666667
676RS,Spain,Jan-07,64,57,7,10.7692307692
676RS,Spain,Feb-07,63,56,7,10.9375
676RS,Spain,Mar-07,59,52,7,11.6666666667
676RS,Italy,Jan-07,35,31,4,11.1111111111
676RS,Italy,Feb-07,39,35,4,10.0
676RS,Italy,Mar-07,34,30,4,11.4285714286
676RS,China,Jan-07,36,32,4,10.8108108108
676RS,China,Feb-07,37,33,4,10.5263157895
676RS,China,Mar-07,39,35,4,10.0
676RS,Japan,Jan-07,72,64,8,10.9589041096
676RS,Japan,Feb-07,68,60,8,11.5942028986
676RS,Japan,Mar-07,70,62,8,11.2676056338
900S,US,Jan-07,9,9,0,0.0
900S,US,Feb-07,14,13,1,6.66666666667
900S,US,Mar-07,6,4,2,28.5714285714
900S,Canada,Jan-07,105,94,11,10.3773584906
900S,Canada,Feb-07,97,85,12,12.2448979592
900S,Canada,Mar-07,102,90,12,11.6504854369
900S,Brazil,Jan-07,37,33,4,10.5263157895
900S,Brazil,Feb-07,40,36,4,9.75609756098
900S,Brazil,Mar-07,43,39,4,9.09090909091
900S,Argentina,Jan-07,35,31,4,11.1111111111
900S,Argentina,Feb-07,34,30,4,11.4285714286
900S,Argentina,Mar-07,35,31,4,11.1111111111
900S,UK,Jan-07,115,103,12,10.3448275862
900S,UK,Feb-07,107,94,13,12.037037037
900S,UK,Mar-07,111,98,13,11.6071428571
900S,France,Jan-07,41,36,5,11.9047619048
900S,France,Feb-07,37,33,4,10.5263157895
900S,France,Mar-07,44,39,5,11.1111111111
900S,Germany,Jan-07,43,39,4,9.09090909091
900S,Germany,Feb-07,35,30,5,13.8888888889
900S,Germany,Mar-07,39,34,5,12.5
900S,Spain,Jan-07,59,52,7,11.6666666667
900S,Spain,Feb-07,61,55,6,9.67741935484
900S,Spain,Mar-07,60,53,7,11.4754098361
900S,Italy,Jan-07,22,20,2,8.69565217391
900S,Italy,Feb-07,24,22,2,8.0
900S,Italy,Mar-07,22,19,3,13.0434782609
900S,China,Jan-07,13,12,1,7.14285714286
900S,China,Feb-07,12,11,1,7.69230769231
900S,China,Mar-07,16,14,2,11.7647058824
900S,Japan,Jan-07,39,35,4,10.0
900S,Japan,Feb-07,38,34,4,10.2564102564
900S,Japan,Mar-07,37,32,5,13.1578947368
929S,US,Jan-07,107,95,12,11.1111111111
929S,US,Feb-07,106,94,12,11.214953271
929S,US,Mar-07,107,95,12,11.1111111111
929S,Canada,Jan-07,42,37,5,11.6279069767
929S,Canada,Feb-07,40,36,4,9.75609756098
929S,Canada,Mar-07,45,40,5,10.8695652174
929S,Brazil,Jan-07,15,13,2,12.5
929S,Brazil,Feb-07,10,9,1,9.09090909091
929S,Brazil,Mar-07,8,6,2,22.2222222222
929S,Argentina,Jan-07,11,10,1,8.33333333333
929S,Argentina,Feb-07,6,5,1,14.2857142857
929S,Argentina,Mar-07,7,5,2,25.0
929S,UK,Jan-07,53,47,6,11.1111111111
929S,UK,Feb-07,52,46,6,11.320754717
929S,UK,Mar-07,54,48,6,10.9090909091
929S,France,Jan-07,116,103,13,11.1111111111
929S,France,Feb-07,113,100,13,11.4035087719
929S,France,Mar-07,110,97,13,11.7117117117
929S,Germany,Jan-07,15,14,1,6.25
929S,Germany,Feb-07,21,19,2,9.09090909091
929S,Germany,Mar-07,20,18,2,9.52380952381
929S,Spain,Jan-07,94,84,10,10.5263157895
929S,Spain,Feb-07,99,89,10,10.0
929S,Spain,Mar-07,92,81,11,11.8279569892
929S,Italy,Jan-07,39,35,4,10.0
929S,Italy,Feb-07,45,41,4,8.69565217391
929S,Italy,Mar-07,46,41,5,10.6382978723
929S,China,Jan-07,67,60,7,10.2941176471
929S,China,Feb-07,67,60,7,10.2941176471
929S,China,Mar-07,71,63,8,11.1111111111
929S,Japan,Jan-07,22,20,2,8.69565217391
929S,Japan,Feb-07,23,21,2,8.33333333333
929S,Japan,Mar-07,23,20,3,12.5
996S,US,Jan-07,70,64,6,8.45070422535
996S,US,Feb-07,68,60,8,11.5942028986
996S,US,Mar-07,68,59,9,13.0434782609
996S,Canada,Jan-07,87,79,8,9.09090909091
996S,Canada,Feb-07,91,81,10,10.8695652174
996S,Canada,Mar-07,90,79,11,12.0879120879
996S,Brazil,Jan-07,10,10,0,0.0
996S,Brazil,Feb-07,8,7,1,11.1111111111
996S,Brazil,Mar-07,12,10,2,15.3846153846
996S,Argentina,Jan-07,96,87,9,9.27835051546
996S,Argentina,Feb-07,95,85,10,10.4166666667
996S,Argentina,Mar-07,105,92,13,12.2641509434
996S,UK,Jan-07,47,43,4,8.33333333333
996S,UK,Feb-07,46,41,5,10.6382978723
996S,UK,Mar-07,55,48,7,12.5
996S,France,Jan-07,52,47,5,9.43396226415
996S,France,Feb-07,54,49,5,9.09090909091
996S,France,Mar-07,60,53,7,11.4754098361
996S,Germany,Jan-07,47,42,5,10.4166666667
996S,Germany,Feb-07,44,40,4,8.88888888889
996S,Germany,Mar-07,49,42,7,14.0
996S,Spain,Jan-07,85,77,8,9.3023255814
996S,Spain,Feb-07,87,78,9,10.2272727273
996S,Spain,Mar-07,98,87,11,11.1111111111
996S,Italy,Jan-07,25,23,2,7.69230769231
996S,Italy,Feb-07,28,26,2,6.89655172414
996S,Italy,Mar-07,28,24,4,13.7931034483
996S,China,Jan-07,98,88,10,10.101010101
996S,China,Feb-07,101,91,10,9.80392156863
996S,China,Mar-07,98,85,13,13.1313131313
996S,Japan,Jan-07,50,45,5,9.80392156863
996S,Japan,Feb-07,51,46,5,9.61538461538
996S,Japan,Mar-07,55,48,7,12.5
996RS,US,Jan-07,15,13,2,12.5
996RS,US,Feb-07,17,16,1,5.55555555556
996RS,US,Mar-07,15,13,2,12.5
996RS,Canada,Jan-07,73,65,8,10.8108108108
996RS,Canada,Feb-07,72,64,8,10.9589041096
996RS,Canada,Mar-07,70,62,8,11.2676056338
996RS,Brazil,Jan-07,97,87,10,10.2040816327
996RS,Brazil,Feb-07,98,87,11,11.1111111111
996RS,Brazil,Mar-07,99,88,11,11.0
996RS,Argentina,Jan-07,48,43,5,10.2040816327
996RS,Argentina,Feb-07,54,49,5,9.09090909091
996RS,Argentina,Mar-07,55,49,6,10.7142857143
996RS,UK,Jan-07,53,47,6,11.1111111111
996RS,UK,Feb-07,63,57,6,9.375
996RS,UK,Mar-07,63,57,6,9.375
996RS,France,Jan-07,25,22,3,11.5384615385
996RS,France,Feb-07,28,26,2,6.89655172414
996RS,France,Mar-07,34,31,3,8.57142857143
996RS,Germany,Jan-07,34,30,4,11.4285714286
996RS,Germany,Feb-07,29,26,3,10.0
996RS,Germany,Mar-07,28,24,4,13.7931034483
996RS,Spain,Jan-07,71,63,8,11.1111111111
996RS,Spain,Feb-07,75,67,8,10.5263157895
996RS,Spain,Mar-07,73,65,8,10.8108108108
996RS,Italy,Jan-07,71,63,8,11.1111111111
996RS,Italy,Feb-07,72,64,8,10.9589041096
996RS,Italy,Mar-07,76,68,8,10.3896103896
996RS,China,Jan-07,5,4,1,16.6666666667
996RS,China,Feb-07,11,11,0,0.0
996RS,China,Mar-07,3,2,1,25.0
996RS,Japan,Jan-07,24,21,3,12.0
996RS,Japan,Feb-07,23,21,2,8.33333333333
996RS,Japan,Mar-07,23,20,3,12.5
RoadStar,US,Jan-07,86,66,20,22.9885057471
RoadStar,US,Feb-07,80,60,20,24.6913580247
RoadStar,US,Mar-07,77,56,21,26.9230769231
RoadStar,Canada,Jan-07,101,86,15,14.7058823529
RoadStar,Canada,Feb-07,98,83,15,15.1515151515
RoadStar,Canada,Mar-07,102,87,15,14.5631067961
RoadStar,Brazil,Jan-07,80,67,13,16.049382716
RoadStar,Brazil,Feb-07,75,61,14,18.4210526316
RoadStar,Brazil,Mar-07,79,55,24,30.0
RoadStar,Argentina,Jan-07,105,83,22,20.7547169811
RoadStar,Argentina,Feb-07,102,80,22,21.359223301
RoadStar,Argentina,Mar-07,105,83,22,20.7547169811
RoadStar,UK,Jan-07,36,24,12,32.4324324324
RoadStar,UK,Feb-07,37,21,16,42.1052631579
RoadStar,UK,Mar-07,42,25,17,39.5348837209
RoadStar,France,Jan-07,92,70,22,23.6559139785
RoadStar,France,Feb-07,89,67,22,24.4444444444
RoadStar,France,Mar-07,90,67,23,25.2747252747
RoadStar,Germany,Jan-07,89,72,17,18.8888888889
RoadStar,Germany,Feb-07,81,64,17,20.7317073171
RoadStar,Germany,Mar-07,87,70,17,19.3181818182
RoadStar,Spain,Jan-07,84,63,21,24.7058823529
RoadStar,Spain,Feb-07,79,58,21,26.25
RoadStar,Spain,Mar-07,85,64,21,24.4186046512
RoadStar,Italy,Jan-07,111,93,18,16.0714285714
RoadStar,Italy,Feb-07,113,95,18,15.7894736842
RoadStar,Italy,Mar-07,106,87,19,17.7570093458
RoadStar,China,Jan-07,34,23,11,31.4285714286
RoadStar,China,Feb-07,40,23,17,41.4634146341
RoadStar,China,Mar-07,38,16,22,56.4102564103
RoadStar,Japan,Jan-07,75,63,12,15.7894736842
RoadStar,Japan,Feb-07,74,61,13,17.3333333333
RoadStar,Japan,Mar-07,79,59,20,25.0
RoadLiner,US,Jan-07,16,14,2,11.7647058824
RoadLiner,US,Feb-07,20,19,1,4.7619047619
RoadLiner,US,Mar-07,17,15,2,11.1111111111
RoadLiner,Canada,Jan-07,83,74,9,10.7142857143
RoadLiner,Canada,Feb-07,86,77,9,10.3448275862
RoadLiner,Canada,Mar-07,79,69,10,12.5
RoadLiner,Brazil,Jan-07,105,94,11,10.3773584906
RoadLiner,Brazil,Feb-07,104,92,12,11.4285714286
RoadLiner,Brazil,Mar-07,103,91,12,11.5384615385
RoadLiner,Argentina,Jan-07,62,55,7,11.1111111111
RoadLiner,Argentina,Feb-07,61,54,7,11.2903225806
RoadLiner,Argentina,Mar-07,63,56,7,10.9375
RoadLiner,UK,Jan-07,38,34,4,10.2564102564
RoadLiner,UK,Feb-07,44,40,4,8.88888888889
RoadLiner,UK,Mar-07,37,32,5,13.1578947368
RoadLiner,France,Jan-07,53,47,6,11.1111111111
RoadLiner,France,Feb-07,55,49,6,10.7142857143
RoadLiner,France,Mar-07,58,52,6,10.1694915254
RoadLiner,Germany,Jan-07,64,57,7,10.7692307692
RoadLiner,Germany,Feb-07,67,60,7,10.2941176471
RoadLiner,Germany,Mar-07,69,62,7,10.0
RoadLiner,Spain,Jan-07,81,72,9,10.9756097561
RoadLiner,Spain,Feb-07,72,63,9,12.3287671233
RoadLiner,Spain,Mar-07,76,67,9,11.6883116883
RoadLiner,Italy,Jan-07,43,38,5,11.3636363636
RoadLiner,Italy,Feb-07,45,41,4,8.69565217391
RoadLiner,Italy,Mar-07,45,40,5,10.8695652174
RoadLiner,China,Jan-07,64,57,7,10.7692307692
RoadLiner,China,Feb-07,60,53,7,11.4754098361
RoadLiner,China,Mar-07,64,57,7,10.7692307692
RoadLiner,Japan,Jan-07,28,26,2,6.89655172414
RoadLiner,Japan,Feb-07,24,21,3,12.0
RoadLiner,Japan,Mar-07,22,18,4,17.3913043478
Victory,US,Jan-07,97,65,32,32.6530612245
Victory,US,Feb-07,100,66,34,33.6633663366
Victory,US,Mar-07,95,61,34,35.4166666667
Victory,Canada,Jan-07,86,66,20,22.9885057471
Victory,Canada,Feb-07,87,67,20,22.7272727273
Victory,Canada,Mar-07,87,55,32,36.3636363636
Victory,Brazil,Jan-07,73,49,24,32.4324324324
Victory,Brazil,Feb-07,65,31,34,51.5151515152
Victory,Brazil,Mar-07,69,34,35,50.0
Victory,Argentina,Jan-07,30,11,19,61.2903225806
Victory,Argentina,Feb-07,22,2,20,86.9565217391
Victory,Argentina,Mar-07,21,1,20,90.9090909091
Victory,UK,Jan-07,36,18,18,48.6486486486
Victory,UK,Feb-07,42,14,28,65.1162790698
Victory,UK,Mar-07,38,2,36,92.3076923077
Victory,France,Jan-07,47,31,16,33.3333333333
Victory,France,Feb-07,53,27,26,48.1481481481
Victory,France,Mar-07,52,26,26,49.0566037736
Victory,Germany,Jan-07,75,50,25,32.8947368421
Victory,Germany,Feb-07,83,56,27,32.1428571429
Victory,Germany,Mar-07,77,49,28,35.8974358974
Victory,Spain,Jan-07,38,15,23,58.9743589744
Victory,Spain,Feb-07,40,17,23,56.0975609756
Victory,Spain,Mar-07,43,19,24,54.5454545455
Victory,Italy,Jan-07,87,60,27,30.6818181818
Victory,Italy,Feb-07,81,54,27,32.9268292683
Victory,Italy,Mar-07,88,61,27,30.3370786517
Victory,China,Jan-07,81,56,25,30.487804878
Victory,China,Feb-07,74,49,25,33.3333333333
Victory,China,Mar-07,77,51,26,33.3333333333
Victory,Japan,Jan-07,13,2,11,78.5714285714
Victory,Japan,Feb-07,10,0,10,100.0
Victory,Japan,Mar-07,18,0,18,100.0
Boulevard,US,Jan-07,84,75,9,10.5882352941
Boulevard,US,Feb-07,92,83,9,9.67741935484
Boulevard,US,Mar-07,93,83,10,10.6382978723
Boulevard,Canada,Jan-07,50,45,5,9.80392156863
Boulevard,Canada,Feb-07,54,48,6,10.9090909091
Boulevard,Canada,Mar-07,53,47,6,11.1111111111
Boulevard,Brazil,Jan-07,10,9,1,9.09090909091
Boulevard,Brazil,Feb-07,5,4,1,16.6666666667
Boulevard,Brazil,Mar-07,9,8,1,10.0
Boulevard,Argentina,Jan-07,37,33,4,10.5263157895
Boulevard,Argentina,Feb-07,37,33,4,10.5263157895
Boulevard,Argentina,Mar-07,39,35,4,10.0
Boulevard,UK,Jan-07,38,34,4,10.2564102564
Boulevard,UK,Feb-07,38,34,4,10.2564102564
Boulevard,UK,Mar-07,40,35,5,12.1951219512
Boulevard,France,Jan-07,26,23,3,11.1111111111
Boulevard,France,Feb-07,28,25,3,10.3448275862
Boulevard,France,Mar-07,33,30,3,8.82352941176
Boulevard,Germany,Jan-07,4,4,0,0.0
Boulevard,Germany,Feb-07,12,12,0,0.0
Boulevard,Germany,Mar-07,12,11,1,7.69230769231
Boulevard,Spain,Jan-07,101,90,11,10.7843137255
Boulevard,Spain,Feb-07,95,84,11,11.4583333333
Boulevard,Spain,Mar-07,102,90,12,11.6504854369
Boulevard,Italy,Jan-07,77,69,8,10.2564102564
Boulevard,Italy,Feb-07,83,74,9,10.7142857143
Boulevard,Italy,Mar-07,84,75,9,10.5882352941
Boulevard,China,Jan-07,100,89,11,10.8910891089
Boulevard,China,Feb-07,93,82,11,11.7021276596
Boulevard,China,Mar-07,98,87,11,11.1111111111
Boulevard,Japan,Jan-07,82,73,9,10.843373494
Boulevard,Japan,Feb-07,81,72,9,10.9756097561
Boulevard,Japan,Mar-07,74,65,9,12.0
KingTwin,US,Jan-07,36,24,12,32.4324324324
KingTwin,US,Feb-07,40,25,15,36.5853658537
KingTwin,US,Mar-07,40,24,16,39.0243902439
KingTwin,Canada,Jan-07,52,39,13,24.5283018868
KingTwin,Canada,Feb-07,58,44,14,23.7288135593
KingTwin,Canada,Mar-07,55,31,24,42.8571428571
KingTwin,Brazil,Jan-07,22,8,14,60.8695652174
KingTwin,Brazil,Feb-07,27,12,15,53.5714285714
KingTwin,Brazil,Mar-07,29,14,15,50.0
KingTwin,Argentina,Jan-07,83,72,11,13.0952380952
KingTwin,Argentina,Feb-07,92,81,11,11.8279569892
KingTwin,Argentina,Mar-07,92,80,12,12.9032258065
KingTwin,UK,Jan-07,81,68,13,15.8536585366
KingTwin,UK,Feb-07,87,73,14,15.9090909091
KingTwin,UK,Mar-07,94,74,20,21.0526315789
KingTwin,France,Jan-07,95,77,18,18.75
KingTwin,France,Feb-07,101,83,18,17.6470588235
KingTwin,France,Mar-07,102,83,19,18.4466019417
KingTwin,Germany,Jan-07,118,94,24,20.1680672269
KingTwin,Germany,Feb-07,116,91,25,21.3675213675
KingTwin,Germany,Mar-07,118,93,25,21.0084033613
KingTwin,Spain,Jan-07,86,73,13,14.9425287356
KingTwin,Spain,Feb-07,95,82,13,13.5416666667
KingTwin,Spain,Mar-07,95,81,14,14.5833333333
KingTwin,Italy,Jan-07,66,45,21,31.3432835821
KingTwin,Italy,Feb-07,65,45,20,30.303030303
KingTwin,Italy,Mar-07,67,46,21,30.8823529412
KingTwin,China,Jan-07,77,64,13,16.6666666667
KingTwin,China,Feb-07,80,67,13,16.049382716
KingTwin,China,Mar-07,81,67,14,17.0731707317
KingTwin,Japan,Jan-07,45,33,12,26.0869565217
KingTwin,Japan,Feb-07,49,37,12,24.0
KingTwin,Japan,Mar-07,54,33,21,38.1818181818
MegaTwin,US,Jan-07,66,59,7,10.447761194
MegaTwin,US,Feb-07,71,64,7,9.72222222222
MegaTwin,US,Mar-07,75,67,8,10.5263157895
MegaTwin,Canada,Jan-07,28,25,3,10.3448275862
MegaTwin,Canada,Feb-07,35,32,3,8.33333333333
MegaTwin,Canada,Mar-07,34,31,3,8.57142857143
MegaTwin,Brazil,Jan-07,80,71,9,11.1111111111
MegaTwin,Brazil,Feb-07,78,69,9,11.3924050633
MegaTwin,Brazil,Mar-07,77,68,9,11.5384615385
MegaTwin,Argentina,Jan-07,88,79,9,10.1123595506
MegaTwin,Argentina,Feb-07,89,79,10,11.1111111111
MegaTwin,Argentina,Mar-07,97,87,10,10.2040816327
MegaTwin,UK,Jan-07,34,31,3,8.57142857143
MegaTwin,UK,Feb-07,38,34,4,10.2564102564
MegaTwin,UK,Mar-07,35,31,4,11.1111111111
MegaTwin,France,Jan-07,89,79,10,11.1111111111
MegaTwin,France,Feb-07,94,84,10,10.5263157895
MegaTwin,France,Mar-07,104,94,10,9.52380952381
MegaTwin,Germany,Jan-07,35,32,3,8.33333333333
MegaTwin,Germany,Feb-07,33,29,4,11.7647058824
MegaTwin,Germany,Mar-07,30,25,5,16.1290322581
MegaTwin,Spain,Jan-07,27,24,3,10.7142857143
MegaTwin,Spain,Feb-07,31,28,3,9.375
MegaTwin,Spain,Mar-07,32,29,3,9.09090909091
MegaTwin,Italy,Jan-07,88,79,9,10.1123595506
MegaTwin,Italy,Feb-07,92,82,10,10.752688172
MegaTwin,Italy,Mar-07,90,80,10,10.989010989
MegaTwin,China,Jan-07,0,0,0,100.0
MegaTwin,China,Feb-07,9,9,0,0.0
MegaTwin,China,Mar-07,7,7,0,0.0
MegaTwin,Japan,Jan-07,57,51,6,10.3448275862
MegaTwin,Japan,Feb-07,61,55,6,9.67741935484
MegaTwin,Japan,Mar-07,56,49,7,12.2807017544
ST900,US,Jan-07,43,26,17,38.6363636364
ST900,US,Feb-07,40,8,32,78.0487804878
