machine,day,failure
M-20,Day-04,0
M-20,Day-05,0
M-20,Day-06,0
M-20,Day-07,0
M-20,Day-08,1
M-20,Day-09,48
M-20,Day-10,46
M-20,Day-11,2
M-20,Day-12,0
M-20,Day-13,0
M-20,Day-14,0
M-20,Day-15,0
M-20,Day-16,0
M-20,Day-17,0
M-20,Day-18,0
M-20,Day-19,0
M-20,Day-20,0
M-21,Day-01,0
M-21,Day-02,1
M-21,Day-03,6
M-21,Day-04,16
M-21,Day-05,25
M-21,Day-06,24
M-21,Day-07,16
M-21,Day-08,6
M-21,Day-09,2
M-21,Day-10,0
M-21,Day-11,0
M-21,Day-12,0
M-21,Day-13,0
M-21,Day-14,0
M-21,Day-15,0
M-21,Day-16,0
M-21,Day-17,0
M-21,Day-18,0
M-21,Day-19,0
M-21,Day-20,0
M-22,Day-01,0
M-22,Day-02,0
M-22,Day-03,0
M-22,Day-04,0
M-22,Day-05,0
M-22,Day-06,0
M-22,Day-07,0
M-22,Day-08,2
M-22,Day-09,12
M-22,Day-10,33
M-22,Day-11,36
M-22,Day-12,13
M-22,Day-13,1
M-22,Day-14,0
M-22,Day-15,0
M-22,Day-16,0
M-22,Day-17,0
M-22,Day-18,0
M-22,Day-19,0
M-22,Day-20,0
M-23,Day-01,0
M-23,Day-02,0
M-23,Day-03,0
M-23,Day-04,0
M-23,Day-05,0
M-23,Day-06,0
M-23,Day-07,0
M-23,Day-08,0
M-23,Day-09,0
M-23,Day-10,0
M-23,Day-11,0
M-23,Day-12,0
M-23,Day-13,0
M-23,Day-14,0
M-23,Day-15,0
M-23,Day-16,0
M-23,Day-17,0
M-23,Day-18,8
M-23,Day-19,44
M-23,Day-20,37
M-24,Day-01,0
M-24,Day-02,0
M-24,Day-03,3
M-24,Day-04,12
M-24,Day-05,33
M-24,Day-06,34
M-24,Day-07,14
M-24,Day-08,2
M-24,Day-09,0
M-24,Day-10,0
M-24,Day-11,0
M-24,Day-12,0
M-24,Day-13,0
M-24,Day-14,0
M-24,Day-15,0
M-24,Day-16,0
M-24,Day-17,0
M-24,Day-18,0
M-24,Day-19,0
M-24,Day-20,0
M-25,Day-01,0
M-25,Day-02,0
M-25,Day-03,0
M-25,Day-04,0
M-25,Day-05,0
M-25,Day-06,0
M-25,Day-07,0
M-25,Day-08,0
M-25,Day-09,0
M-25,Day-10,0
M-25,Day-11,0
M-25,Day-12,2
M-25,Day-13,48
M-25,Day-14,46
M-25,Day-15,2
M-25,Day-16,0
M-25,Day-17,0
M-25,Day-18,0
M-25,Day-19,0
M-25,Day-20,0
M-26,Day-01,0
M-26,Day-02,0
M-26,Day-03,0
M-26,Day-04,0
M-26,Day-05,0
M-26,Day-06,0
M-26,Day-07,0
M-26,Day-08,0
M-26,Day-09,0
M-26,Day-10,0
M-26,Day-11,0
M-26,Day-12,2
M-26,Day-13,11
M-26,Day-14,35
M-26,Day-15,34
M-26,Day-16,13
M-26,Day-17,2
M-26,Day-18,0
M-26,Day-19,0
M-26,Day-20,0
M-27,Day-01,0
M-27,Day-02,0
M-27,Day-03,0
M-27,Day-04,0
M-27,Day-05,0
M-27,Day-06,0
M-27,Day-07,1
M-27,Day-08,6
M-27,Day-09,13
M-27,Day-10,26
M-27,Day-11,26
M-27,Day-12,16
M-27,Day-13,6
M-27,Day-14,2
M-27,Day-15,0
M-27,Day-16,0
M-27,Day-17,0
M-27,Day-18,0
M-27,Day-19,0
M-27,Day-20,0
M-28,Day-01,0
M-28,Day-02,0
M-28,Day-03,0
M-28,Day-04,0
M-28,Day-05,0
M-28,Day-06,0
M-28,Day-07,0
M-28,Day-08,0
M-28,Day-09,0
M-28,Day-10,0
M-28,Day-11,0
M-28,Day-12,0
M-28,Day-13,7
M-28,Day-14,39
M-28,Day-15,42
M-28,Day-16,9
M-28,Day-17,0
M-28,Day-18,0
M-28,Day-19,0
M-28,Day-20,0
M-29,Day-01,0
M-29,Day-02,0
M-29,Day-03,0
M-29,Day-04,0
M-29,Day-05,0
M-29,Day-06,0
M-29,Day-07,1
M-29,Day-08,6
M-29,Day-09,15
M-29,Day-10,25
M-29,Day-11,26
M-29,Day-12,14
M-29,Day-13,7
M-29,Day-14,1
M-29,Day-15,0
M-29,Day-16,0
M-29,Day-17,0
M-29,Day-18,0
M-29,Day-19,0
M-29,Day-20,0
M-30,Day-01,0
M-30,Day-02,0
M-30,Day-03,0
M-30,Day-04,0
M-30,Day-05,0
M-30,Day-06,0
M-30,Day-07,0
M-30,Day-08,8
M-30,Day-09,39
M-30,Day-10,42
M-30,Day-11,8
M-30,Day-12,0
M-30,Day-13,0
M-30,Day-14,0
M-30,Day-15,0
M-30,Day-16,0
M-30,Day-17,0
M-30,Day-18,0
M-30,Day-19,0
M-30,Day-20,0
M-31,Day-01,0
M-31,Day-02,0
M-31,Day-03,0
M-31,Day-04,0
M-31,Day-05,0
M-31,Day-06,0
M-31,Day-07,0
M-31,Day-08,0
M-31,Day-09,0
M-31,Day-10,0
M-31,Day-11,8
M-31,Day-12,39
M-31,Day-13,42
M-31,Day-14,9
M-31,Day-15,0
M-31,Day-16,0
M-31,Day-17,0
M-31,Day-18,0
M-31,Day-19,0
M-31,Day-20,0
M-32,Day-01,0
M-32,Day-02,0
M-32,Day-03,0
M-32,Day-04,0
M-32,Day-05,2
M-32,Day-06,12
M-32,Day-07,34
M-32,Day-08,34
M-32,Day-09,14
M-32,Day-10,2
M-32,Day-11,0
M-32,Day-12,0
M-32,Day-13,0
M-32,Day-14,0
M-32,Day-15,0
M-32,Day-16,0
M-32,Day-17,0
M-32,Day-18,0
M-32,Day-19,0
M-32,Day-20,0
M-33,Day-01,0
M-33,Day-02,0
M-33,Day-03,0
M-33,Day-04,0
M-33,Day-05,0
M-33,Day-06,0
M-33,Day-07,0
M-33,Day-08,0
M-33,Day-09,0
M-33,Day-10,0
M-33,Day-11,0
M-33,Day-12,0
M-33,Day-13,0
M-33,Day-14,0
M-33,Day-15,0
M-33,Day-16,0
M-33,Day-17,0
M-33,Day-18,1
M-33,Day-19,6
M-33,Day-20,15
M-34,Day-01,0
M-34,Day-02,2
M-34,Day-03,6
M-34,Day-04,17
M-34,Day-05,25
M-34,Day-06,22
M-34,Day-07,15
M-34,Day-08,7
M-34,Day-09,1
M-34,Day-10,0
M-34,Day-11,0
M-34,Day-12,0
M-34,Day-13,0
M-34,Day-14,0
M-34,Day-15,0
M-34,Day-16,0
M-34,Day-17,0
M-34,Day-18,0
M-34,Day-19,0
M-34,Day-20,0
M-35,Day-01,0
M-35,Day-02,0
M-35,Day-03,0
M-35,Day-04,8
M-35,Day-05,40
M-35,Day-06,40
M-35,Day-07,10
M-35,Day-08,0
M-35,Day-09,0
M-35,Day-10,0
M-35,Day-11,0
M-35,Day-12,0
M-35,Day-13,0
M-35,Day-14,0
M-35,Day-15,0
M-35,Day-16,0
M-35,Day-17,0
M-35,Day-18,0
M-35,Day-19,0
M-35,Day-20,0
M-36,Day-01,0
M-36,Day-02,0
M-36,Day-03,0
M-36,Day-04,0
M-36,Day-05,0
M-36,Day-06,0
M-36,Day-07,0
M-36,Day-08,0
M-36,Day-09,0
M-36,Day-10,1
M-36,Day-11,49
M-36,Day-12,46
M-36,Day-13,2
M-36,Day-14,0
M-36,Day-15,0
M-36,Day-16,0
M-36,Day-17,0
M-36,Day-18,0
M-36,Day-19,0
M-36,Day-20,0
M-37,Day-01,0
M-37,Day-02,0
M-37,Day-03,0
M-37,Day-04,0
M-37,Day-05,0
M-37,Day-06,0
M-37,Day-07,1
M-37,Day-08,10
M-37,Day-09,35
M-37,Day-10,34
M-37,Day-11,14
M-37,Day-12,2
M-37,Day-13,0
M-37,Day-14,0
M-37,Day-15,0
M-37,Day-16,0
M-37,Day-17,0
M-37,Day-18,0
M-37,Day-19,0
M-37,Day-20,0
M-38,Day-01,0
M-38,Day-02,0
M-38,Day-03,0
M-38,Day-04,0
M-38,Day-05,0
M-38,Day-06,0
M-38,Day-07,0
M-38,Day-08,0
M-38,Day-09,0
M-38,Day-10,0
M-38,Day-11,0
M-38,Day-12,0
M-38,Day-13,8
M-38,Day-14,41
M-38,Day-15,39
M-38,Day-16,9
M-38,Day-17,0
M-38,Day-18,0
M-38,Day-19,0
M-38,Day-20,0
M-39,Day-01,0
M-39,Day-02,0
M-39,Day-03,0
M-39,Day-04,0
M-39,Day-05,0
M-39,Day-06,1
M-39,Day-07,12
M-39,Day-08,35
M-39,Day-09,31
M-39,Day-10,18
M-39,Day-11,1
M-39,Day-12,0
M-39,Day-13,0
M-39,Day-14,0
M-39,Day-15,0
M-39,Day-16,0
M-39,Day-17,0
M-39,Day-18,0
M-39,Day-19,0
M-39,Day-20,0
M-40,Day-01,0
M-40,Day-02,0
M-40,Day-03,0
M-40,Day-04,0
M-40,Day-05,0
M-40,Day-06,1
M-40,Day-07,13
M-40,Day-08,33
M-40,Day-09,34
M-40,Day-10,14
M-40,Day-11,2
M-40,Day-12,0
M-40,Day-13,0
M-40,Day-14,0
M-40,Day-15,0
M-40,Day-16,0
M-40,Day-17,0
M-40,Day-18,0
M-40,Day-19,0
M-40,Day-20,0
M-41,Day-01,0
M-41,Day-02,0
M-41,Day-03,0
M-41,Day-04,0
M-41,Day-05,8
M-41,Day-06,37
M-41,Day-07,44
M-41,Day-08,8
M-41,Day-09,0
M-41,Day-10,0
M-41,Day-11,0
M-41,Day-12,0
M-41,Day-13,0
M-41,Day-14,0
M-41,Day-15,0
M-41,Day-16,0
M-41,Day-17,0
M-41,Day-18,0
M-41,Day-19,0
M-41,Day-20,0
M-42,Day-01,0
M-42,Day-02,2
M-42,Day-03,46
M-42,Day-04,48
M-42,Day-05,2
M-42,Day-06,0
M-42,Day-07,0
M-42,Day-08,0
M-42,Day-09,0
M-42,Day-10,0
M-42,Day-11,0
M-42,Day-12,0
M-42,Day-13,0
M-42,Day-14,0
M-42,Day-15,0
M-42,Day-16,0
M-42,Day-17,0
M-42,Day-18,0
M-42,Day-19,0
M-42,Day-20,0
M-43,Day-01,0
M-43,Day-02,0
M-43,Day-03,0
M-43,Day-04,0
M-43,Day-05,1
M-43,Day-06,46
M-43,Day-07,50
M-43,Day-08,1
M-43,Day-09,0
M-43,Day-10,0
M-43,Day-11,0
M-43,Day-12,0
M-43,Day-13,0
M-43,Day-14,0
M-43,Day-15,0
M-43,Day-16,0
M-43,Day-17,0
M-43,Day-18,0
M-43,Day-19,0
M-43,Day-20,0
M-44,Day-01,0
M-44,Day-02,0
M-44,Day-03,0
M-44,Day-04,0
M-44,Day-05,0
M-44,Day-06,0
M-44,Day-07,8
M-44,Day-08,42
M-44,Day-09,40
M-44,Day-10,8
M-44,Day-11,0
M-44,Day-12,0
M-44,Day-13,0
M-44,Day-14,0
M-44,Day-15,0
M-44,Day-16,0
M-44,Day-17,0
M-44,Day-18,0
M-44,Day-19,0
M-44,Day-20,0
M-45,Day-01,0
M-45,Day-02,0
M-45,Day-03,0
M-45,Day-04,0
M-45,Day-05,0
M-45,Day-06,0
M-45,Day-07,0
M-45,Day-08,0
M-45,Day-09,0
M-45,Day-10,0
M-45,Day-11,0
M-45,Day-12,0
M-45,Day-13,0
M-45,Day-14,2
M-45,Day-15,13
M-45,Day-16,33
M-45,Day-17,32
M-45,Day-18,15
M-45,Day-19,2
M-45,Day-20,0
M-46,Day-01,0
M-46,Day-02,0
M-46,Day-03,8
M-46,Day-04,44
M-46,Day-05,38
M-46,Day-06,7
M-46,Day-07,0
M-46,Day-08,0
M-46,Day-09,0
M-46,Day-10,0
M-46,Day-11,0
M-46,Day-12,0
M-46,Day-13,0
M-46,Day-14,0
M-46,Day-15,0
M-46,Day-16,0
M-46,Day-17,0
M-46,Day-18,0
M-46,Day-19,0
M-46,Day-20,0
M-47,Day-01,0
M-47,Day-02,0
M-47,Day-03,0
M-47,Day-04,2
M-47,Day-05,48
M-47,Day-06,47
M-47,Day-07,1
M-47,Day-08,0
M-47,Day-09,0
M-47,Day-10,0
M-47,Day-11,0
M-47,Day-12,0
M-47,Day-13,0
M-47,Day-14,0
M-47,Day-15,0
M-47,Day-16,0
M-47,Day-17,0
M-47,Day-18,0
M-47,Day-19,0
M-47,Day-20,0
M-48,Day-01,0
M-48,Day-02,0
M-48,Day-03,0
M-48,Day-04,0
M-48,Day-05,0
M-48,Day-06,0
M-48,Day-07,0
M-48,Day-08,0
M-48,Day-09,0
M-48,Day-10,0
M-48,Day-11,0
M-48,Day-12,0
M-48,Day-13,0
M-48,Day-14,0
M-48,Day-15,3
M-48,Day-16,14
M-48,Day-17,33
M-48,Day-18,32
M-48,Day-19,13
M-48,Day-20,2
M-49,Day-01,0
M-49,Day-02,0
M-49,Day-03,0
M-49,Day-04,0
M-49,Day-05,5
M-49,Day-06,15
M-49,Day-07,29
M-49,Day-08,28
M-49,Day-09,16
M-49,Day-10,4
M-49,Day-11,0
M-49,Day-12,0
M-49,Day-13,0
M-49,Day-14,0
M-49,Day-15,0
M-49,Day-16,0
M-49,Day-17,0
M-49,Day-18,0
M-49,Day-19,0
M-49,Day-20,0
M-50,Day-01,0
M-50,Day-02,0
M-50,Day-03,0
M-50,Day-04,0
M-50,Day-05,0
M-50,Day-06,8
M-50,Day-07,43
M-50,Day-08,36
M-50,Day-09,10
M-50,Day-10,0
M-50,Day-11,0
M-50,Day-12,0
M-50,Day-13,0
M-50,Day-14,0
M-50,Day-15,0
M-50,Day-16,0
M-50,Day-17,0
M-50,Day-18,0
M-50,Day-19,0
M-50,Day-20,0
M-51,Day-01,0
M-51,Day-02,0
M-51,Day-03,0
M-51,Day-04,0
M-51,Day-05,0
M-51,Day-06,0
M-51,Day-07,0
M-51,Day-08,10
M-51,Day-09,38
M-51,Day-10,42
M-51,Day-11,7
M-51,Day-12,0
M-51,Day-13,0
M-51,Day-14,0
M-51,Day-15,0
M-51,Day-16,0
M-51,Day-17,0
M-51,Day-18,0
M-51,Day-19,0
M-51,Day-20,0
M-52,Day-01,0
M-52,Day-02,0
M-52,Day-03,0
M-52,Day-04,0
M-52,Day-05,0
M-52,Day-06,0
M-52,Day-07,0
M-52,Day-08,0
M-52,Day-09,0
M-52,Day-10,0
M-52,Day-11,0
M-52,Day-12,0
M-52,Day-13,0
M-52,Day-14,0
M-52,Day-15,0
M-52,Day-16,8
M-52,Day-17,38
M-52,Day-18,42
M-52,Day-19,9
M-52,Day-20,0
M-53,Day-01,0
M-53,Day-02,0
M-53,Day-03,0
M-53,Day-04,0
M-53,Day-05,1
M-53,Day-06,7
M-53,Day-07,14
M-53,Day-08,25
M-53,Day-09,24
M-53,Day-10,15
M-53,Day-11,7
M-53,Day-12,2
M-53,Day-13,0
M-53,Day-14,0
M-53,Day-15,0
M-53,Day-16,0
M-53,Day-17,0
M-53,Day-18,0
M-53,Day-19,0
M-53,Day-20,0
M-54,Day-01,0
M-54,Day-02,0
M-54,Day-03,0
M-54,Day-04,0
M-54,Day-05,0
M-54,Day-06,2
M-54,Day-07,14
M-54,Day-08,35
M-54,Day-09,30
M-54,Day-10,14
M-54,Day-11,2
M-54,Day-12,0
M-54,Day-13,0
M-54,Day-14,0
M-54,Day-15,0
M-54,Day-16,0
M-54,Day-17,0
M-54,Day-18,0
M-54,Day-19,0
M-54,Day-20,0
M-55,Day-01,0
M-55,Day-02,0
M-55,Day-03,0
M-55,Day-04,0
M-55,Day-05,0
M-55,Day-06,0
M-55,Day-07,0
M-55,Day-08,0
M-55,Day-09,0
M-55,Day-10,0
M-55,Day-11,0
M-55,Day-12,0
M-55,Day-13,0
M-55,Day-14,0
M-55,Day-15,0
M-55,Day-16,0
M-55,Day-17,0
M-55,Day-18,2
M-55,Day-19,14
M-55,Day-20,33
M-56,Day-01,0
M-56,Day-02,0
M-56,Day-03,0
M-56,Day-04,2
M-56,Day-05,45
M-56,Day-06,48
M-56,Day-07,3
M-56,Day-08,0
M-56,Day-09,0
M-56,Day-10,0
M-56,Day-11,0
M-56,Day-12,0
M-56,Day-13,0
M-56,Day-14,0
M-56,Day-15,0
M-56,Day-16,0
M-56,Day-17,0
M-56,Day-18,0
M-56,Day-19,0
M-56,Day-20,0
M-57,Day-01,0
M-57,Day-02,0
M-57,Day-03,0
M-57,Day-04,0
M-57,Day-05,8
M-57,Day-06,39
M-57,Day-07,43
M-57,Day-08,8
M-57,Day-09,0
M-57,Day-10,0
M-57,Day-11,0
M-57,Day-12,0
M-57,Day-13,0
M-57,Day-14,0
M-57,Day-15,0
M-57,Day-16,0
M-57,Day-17,0
M-57,Day-18,0
M-57,Day-19,0
M-57,Day-20,0
M-58,Day-01,0
M-58,Day-02,2
M-58,Day-03,48
M-58,Day-04,47
M-58,Day-05,1
M-58,Day-06,0
M-58,Day-07,0
M-58,Day-08,0
M-58,Day-09,0
M-58,Day-10,0
M-58,Day-11,0
M-58,Day-12,0
M-58,Day-13,0
M-58,Day-14,0
M-58,Day-15,0
M-58,Day-16,0
M-58,Day-17,0
M-58,Day-18,0
M-58,Day-19,0
M-58,Day-20,0
M-59,Day-01,0
M-59,Day-02,0
M-59,Day-03,0
M-59,Day-04,0
M-59,Day-05,0
M-59,Day-06,7
M-59,Day-07,14
M-59,Day-08,25
M-59,Day-09,24
M-59,Day-10,17
M-59,Day-11,6
M-59,Day-12,2
M-59,Day-13,0
M-59,Day-14,0
M-59,Day-15,0
M-59,Day-16,0
M-59,Day-17,0
M-59,Day-18,0
M-59,Day-19,0
M-59,Day-20,0
M-60,Day-01,0
M-60,Day-02,8
M-60,Day-03,41
M-60,Day-04,40
M-60,Day-05,8
M-60,Day-06,0
M-60,Day-07,0
M-60,Day-08,0
M-60,Day-09,0
M-60,Day-10,0
M-60,Day-11,0
M-60,Day-12,0
M-60,Day-13,0
M-60,Day-14,0
M-60,Day-15,0
M-60,Day-16,0
M-60,Day-17,0
M-60,Day-18,0
M-60,Day-19,0
M-60,Day-20,0
M-61,Day-01,0
M-61,Day-02,0
M-61,Day-03,0
M-61,Day-04,0
M-61,Day-05,0
M-61,Day-06,0
M-61,Day-07,0
M-61,Day-08,0
M-61,Day-09,0
M-61,Day-10,0
M-61,Day-11,0
M-61,Day-12,6
M-61,Day-13,17
M-61,Day-14,24
M-61,Day-15,30
M-61,Day-16,15
M-61,Day-17,4
M-61,Day-18,1
M-61,Day-19,0
M-61,Day-20,0
M-62,Day-01,0
M-62,Day-02,0
M-62,Day-03,0
M-62,Day-04,0
M-62,Day-05,0
M-62,Day-06,1
M-62,Day-07,7
M-62,Day-08,16
M-62,Day-09,24
M-62,Day-10,25
M-62,Day-11,14
M-62,Day-12,5
M-62,Day-13,2
M-62,Day-14,0
M-62,Day-15,0
M-62,Day-16,0
M-62,Day-17,0
M-62,Day-18,0
M-62,Day-19,0
M-62,Day-20,0
M-63,Day-01,0
M-63,Day-02,0
M-63,Day-03,0
M-63,Day-04,0
M-63,Day-05,0
M-63,Day-06,0
M-63,Day-07,0
M-63,Day-08,0
M-63,Day-09,0
M-63,Day-10,0
M-63,Day-11,0
M-63,Day-12,0
M-63,Day-13,0
M-63,Day-14,0
M-63,Day-15,0
M-63,Day-16,0
M-63,Day-17,8
M-63,Day-18,41
M-63,Day-19,41
M-63,Day-20,7
M-64,Day-01,0
M-64,Day-02,1
M-64,Day-03,4
M-64,Day-04,14
M-64,Day-05,29
M-64,Day-06,29
M-64,Day-07,15
M-64,Day-08,5
M-64,Day-09,0
M-64,Day-10,0
M-64,Day-11,0
