id,capacity,remaining life,cost of maintenance,maintenance loss,cost of repair,repair loss,loss per life day,production value unit
M-230,100,18,50,50,100,100,20,10
M-231,80,11,50,50,100,100,20,10
M-232,120,15,50,50,100,100,20,10
M-233,130,15,50,50,100,100,20,10
M-234,140,19,50,50,100,100,20,10
M-235,110,12,50,50,100,100,20,10
M-236,90,9,50,50,100,100,20,10
M-237,80,15,50,50,100,100,20,10
M-238,120,18,50,50,100,100,20,10
M-239,80,8,50,50,100,100,20,10
M-240,90,12,50,50,100,100,20,10
M-241,110,16,50,50,100,100,20,10
M-242,130,10,50,50,100,100,20,10
M-243,130,18,50,50,100,100,20,10
M-244,140,8,50,50,100,100,20,10
M-245,80,18,50,50,100,100,20,10
M-246,130,8,50,50,100,100,20,10
M-247,100,12,50,50,100,100,20,10
M-248,120,16,50,50,100,100,20,10
M-249,110,13,50,50,100,100,20,10
M-250,130,18,50,50,100,100,20,10
M-251,100,14,50,50,100,100,20,10
M-252,110,6,50,50,100,100,20,10
M-253,140,18,50,50,100,100,20,10
M-254,110,5,50,50,100,100,20,10
M-255,90,15,50,50,100,100,20,10
M-256,110,14,50,50,100,100,20,10
M-257,80,5,50,50,100,100,20,10
M-258,130,9,50,50,100,100,20,10
M-259,130,19,50,50,100,100,20,10
M-260,110,7,50,50,100,100,20,10
M-261,140,11,50,50,100,100,20,10
M-262,90,14,50,50,100,100,20,10
M-263,140,8,50,50,100,100,20,10
M-264,140,17,50,50,100,100,20,10
M-265,130,20,50,50,100,100,20,10
M-266,100,14,50,50,100,100,20,10
M-267,110,10,50,50,100,100,20,10
M-268,140,8,50,50,100,100,20,10
M-269,100,5,50,50,100,100,20,10
M-270,90,20,50,50,100,100,20,10
M-271,100,8,50,50,100,100,20,10
M-272,110,13,50,50,100,100,20,10
M-273,100,14,50,50,100,100,20,10
M-274,90,8,50,50,100,100,20,10
M-275,120,12,50,50,100,100,20,10
M-276,120,13,50,50,100,100,20,10
M-277,140,15,50,50,100,100,20,10
M-278,100,7,50,50,100,100,20,10
M-279,110,18,50,50,100,100,20,10
M-280,140,12,50,50,100,100,20,10
M-281,90,11,50,50,100,100,20,10
M-282,140,6,50,50,100,100,20,10
M-283,140,19,50,50,100,100,20,10
M-284,100,11,50,50,100,100,20,10
M-285,90,20,50,50,100,100,20,10
M-286,90,18,50,50,100,100,20,10
M-287,130,11,50,50,100,100,20,10
M-288,140,10,50,50,100,100,20,10
M-289,90,19,50,50,100,100,20,10
M-290,80,10,50,50,100,100,20,10
M-291,80,14,50,50,100,100,20,10
M-292,140,19,50,50,100,100,20,10
M-293,130,8,50,50,100,100,20,10
M-294,90,17,50,50,100,100,20,10
M-295,110,16,50,50,100,100,20,10
M-296,150,9,50,50,100,100,20,10
M-297,130,5,50,50,100,100,20,10
M-298,130,5,50,50,100,100,20,10
M-299,80,7,50,50,100,100,20,10
M-300,100,14,50,50,100,100,20,10
M-301,140,16,50,50,100,100,20,10
M-302,80,10,50,50,100,100,20,10
M-303,120,5,50,50,100,100,20,10
M-304,130,14,50,50,100,100,20,10
M-305,100,10,50,50,100,100,20,10
M-306,80,20,50,50,100,100,20,10
M-307,100,20,50,50,100,100,20,10
M-308,120,5,50,50,100,100,20,10
M-309,140,20,50,50,100,100,20,10
M-310,80,20,50,50,100,100,20,10
M-311,90,14,50,50,100,100,20,10
M-312,80,12,50,50,100,100,20,10
M-313,100,12,50,50,100,100,20,10
M-314,100,17,50,50,100,100,20,10
M-315,120,17,50,50,100,100,20,10
M-316,130,20,50,50,100,100,20,10
M-317,110,17,50,50,100,100,20,10
M-318,100,13,50,50,100,100,20,10
M-319,90,7,50,50,100,100,20,10
M-320,130,8,50,50,100,100,20,10
M-321,100,16,50,50,100,100,20,10
M-322,80,8,50,50,100,100,20,10
M-323,130,15,50,50,100,100,20,10
M-324,90,15,50,50,100,100,20,10
M-325,110,7,50,50,100,100,20,10
M-326,150,13,50,50,100,100,20,10
M-327,90,13,50,50,100,100,20,10
M-328,130,15,50,50,100,100,20,10
M-329,100,12,50,50,100,100,20,10
M-330,110,9,50,50,100,100,20,10
M-331,90,17,50,50,100,100,20,10
M-332,120,20,50,50,100,100,20,10
M-333,140,11,50,50,100,100,20,10
M-334,110,16,50,50,100,100,20,10
M-335,120,11,50,50,100,100,20,10
M-336,120,18,50,50,100,100,20,10
M-337,120,9,50,50,100,100,20,10
M-338,140,8,50,50,100,100,20,10
M-339,140,5,50,50,100,100,20,10
M-340,120,8,50,50,100,100,20,10
M-341,130,11,50,50,100,100,20,10
M-342,150,12,50,50,100,100,20,10
M-343,130,16,50,50,100,100,20,10
M-344,80,9,50,50,100,100,20,10
M-345,90,5,50,50,100,100,20,10
M-346,90,14,50,50,100,100,20,10
M-347,120,5,50,50,100,100,20,10
M-348,90,6,50,50,100,100,20,10
M-349,100,11,50,50,100,100,20,10
M-350,80,17,50,50,100,100,20,10
M-351,100,9,50,50,100,100,20,10
M-352,80,8,50,50,100,100,20,10
M-353,130,12,50,50,100,100,20,10
M-354,120,6,50,50,100,100,20,10
M-355,120,18,50,50,100,100,20,10
M-356,100,19,50,50,100,100,20,10
M-357,130,5,50,50,100,100,20,10
M-358,130,18,50,50,100,100,20,10
M-359,80,6,50,50,100,100,20,10
M-360,140,14,50,50,100,100,20,10
M-361,80,10,50,50,100,100,20,10
M-362,140,14,50,50,100,100,20,10
M-363,140,18,50,50,100,100,20,10
M-364,130,18,50,50,100,100,20,10
M-365,140,7,50,50,100,100,20,10
M-366,120,14,50,50,100,100,20,10
M-367,80,7,50,50,100,100,20,10
M-368,110,20,50,50,100,100,20,10
M-369,130,7,50,50,100,100,20,10
M-370,130,5,50,50,100,100,20,10
M-371,130,15,50,50,100,100,20,10
M-372,100,8,50,50,100,100,20,10
M-373,130,5,50,50,100,100,20,10
M-374,130,10,50,50,100,100,20,10
M-375,90,5,50,50,100,100,20,10
M-376,130,7,50,50,100,100,20,10
M-377,80,16,50,50,100,100,20,10
M-378,90,19,50,50,100,100,20,10
M-379,100,14,50,50,100,100,20,10
M-380,100,13,50,50,100,100,20,10
M-381,110,12,50,50,100,100,20,10
M-382,130,12,50,50,100,100,20,10
M-383,150,16,50,50,100,100,20,10
M-384,100,12,50,50,100,100,20,10
M-385,110,17,50,50,100,100,20,10
M-386,120,15,50,50,100,100,20,10
M-387,120,18,50,50,100,100,20,10
M-388,130,17,50,50,100,100,20,10
M-389,90,8,50,50,100,100,20,10
M-390,130,18,50,50,100,100,20,10
M-391,90,18,50,50,100,100,20,10
M-392,140,20,50,50,100,100,20,10
M-393,140,17,50,50,100,100,20,10
M-394,130,13,50,50,100,100,20,10
M-395,110,14,50,50,100,100,20,10
M-396,140,10,50,50,100,100,20,10
M-397,90,12,50,50,100,100,20,10
M-398,110,6,50,50,100,100,20,10
M-399,110,13,50,50,100,100,20,10
M-400,140,12,50,50,100,100,20,10
M-401,80,9,50,50,100,100,20,10
M-402,100,11,50,50,100,100,20,10
M-403,90,5,50,50,100,100,20,10
M-404,90,19,50,50,100,100,20,10
M-405,130,11,50,50,100,100,20,10
M-406,130,10,50,50,100,100,20,10
M-407,80,7,50,50,100,100,20,10
M-408,130,10,50,50,100,100,20,10
M-409,110,13,50,50,100,100,20,10
M-410,120,7,50,50,100,100,20,10
M-411,140,9,50,50,100,100,20,10
M-412,140,7,50,50,100,100,20,10
M-413,80,15,50,50,100,100,20,10
M-414,110,16,50,50,100,100,20,10
M-415,90,18,50,50,100,100,20,10
M-416,130,20,50,50,100,100,20,10
M-417,110,18,50,50,100,100,20,10
M-418,120,12,50,50,100,100,20,10
M-419,140,19,50,50,100,100,20,10
M-420,100,12,50,50,100,100,20,10
M-421,90,20,50,50,100,100,20,10
M-422,120,16,50,50,100,100,20,10
M-423,130,8,50,50,100,100,20,10
M-424,130,11,50,50,100,100,20,10
M-425,90,8,50,50,100,100,20,10
M-426,90,13,50,50,100,100,20,10
M-427,100,11,50,50,100,100,20,10
M-428,110,10,50,50,100,100,20,10
M-429,90,16,50,50,100,100,20,10
M-430,150,7,50,50,100,100,20,10
M-431,90,7,50,50,100,100,20,10
M-432,110,10,50,50,100,100,20,10
M-433,80,18,50,50,100,100,20,10
M-434,140,8,50,50,100,100,20,10
M-435,80,18,50,50,100,100,20,10
M-436,110,14,50,50,100,100,20,10
M-437,140,8,50,50,100,100,20,10
M-438,140,12,50,50,100,100,20,10
M-439,100,9,50,50,100,100,20,10
M-440,110,15,50,50,100,100,20,10
M-441,110,18,50,50,100,100,20,10
M-442,110,10,50,50,100,100,20,10
M-443,90,8,50,50,100,100,20,10
M-444,130,18,50,50,100,100,20,10
M-445,110,6,50,50,100,100,20,10
M-446,80,15,50,50,100,100,20,10
M-447,100,15,50,50,100,100,20,10
M-448,90,10,50,50,100,100,20,10
M-449,140,7,50,50,100,100,20,10
M-450,140,11,50,50,100,100,20,10
M-451,90,7,50,50,100,100,20,10
M-452,130,5,50,50,100,100,20,10
M-453,120,20,50,50,100,100,20,10
M-454,100,14,50,50,100,100,20,10
M-455,130,16,50,50,100,100,20,10
M-456,150,18,50,50,100,100,20,10
M-457,100,6,50,50,100,100,20,10
M-458,120,18,50,50,100,100,20,10
M-459,140,7,50,50,100,100,20,10
M-460,80,5,50,50,100,100,20,10
M-461,80,13,50,50,100,100,20,10
M-462,120,13,50,50,100,100,20,10
M-463,130,20,50,50,100,100,20,10
M-464,130,6,50,50,100,100,20,10
M-465,90,11,50,50,100,100,20,10
M-466,110,10,50,50,100,100,20,10
M-467,110,17,50,50,100,100,20,10
M-468,140,16,50,50,100,100,20,10
M-469,130,15,50,50,100,100,20,10
M-470,130,18,50,50,100,100,20,10
M-471,90,8,50,50,100,100,20,10
M-472,90,9,50,50,100,100,20,10
M-473,140,7,50,50,100,100,20,10
M-474,80,12,50,50,100,100,20,10
M-475,140,19,50,50,100,100,20,10
M-476,100,16,50,50,100,100,20,10
M-477,120,12,50,50,100,100,20,10
M-478,100,14,50,50,100,100,20,10
M-479,140,8,50,50,100,100,20,10
M-480,140,18,50,50,100,100,20,10
M-481,80,13,50,50,100,100,20,10
M-482,90,17,50,50,100,100,20,10
M-483,100,8,50,50,100,100,20,10
M-484,80,11,50,50,100,100,20,10
M-485,90,5,50,50,100,100,20,10
M-486,100,15,50,50,100,100,20,10
M-487,120,8,50,50,100,100,20,10
M-488,150,13,50,50,100,100,20,10
M-489,100,7,50,50,100,100,20,10
M-490,110,5,50,50,100,100,20,10
M-491,120,7,50,50,100,100,20,10
M-492,130,10,50,50,100,100,20,10
M-493,90,18,50,50,100,100,20,10
M-494,140,9,50,50,100,100,20,10
M-495,120,14,50,50,100,100,20,10
M-496,110,7,50,50,100,100,20,10
M-497,120,15,50,50,100,100,20,10
M-498,90,14,50,50,100,100,20,10
M-499,150,19,50,50,100,100,20,10
M-500,90,11,50,50,100,100,20,10
M-501,90,18,50,50,100,100,20,10
M-502,100,18,50,50,100,100,20,10
M-503,120,10,50,50,100,100,20,10
M-504,90,18,50,50,100,100,20,10
M-505,100,9,50,50,100,100,20,10
M-506,120,16,50,50,100,100,20,10
M-507,90,19,50,50,100,100,20,10
M-508,80,8,50,50,100,100,20,10
M-509,80,6,50,50,100,100,20,10
M-510,120,6,50,50,100,100,20,10
M-511,100,8,50,50,100,100,20,10
M-512,140,20,50,50,100,100,20,10
M-513,110,7,50,50,100,100,20,10
M-514,130,20,50,50,100,100,20,10
M-515,110,16,50,50,100,100,20,10
M-516,90,11,50,50,100,100,20,10
M-517,140,14,50,50,100,100,20,10
M-518,120,12,50,50,100,100,20,10
M-519,80,5,50,50,100,100,20,10
M-520,100,7,50,50,100,100,20,10
M-521,110,14,50,50,100,100,20,10
M-522,90,14,50,50,100,100,20,10
M-523,140,12,50,50,100,100,20,10
M-524,120,13,50,50,100,100,20,10
M-525,120,11,50,50,100,100,20,10
M-526,100,16,50,50,100,100,20,10
M-527,100,20,50,50,100,100,20,10
M-528,120,7,50,50,100,100,20,10
M-529,110,19,50,50,100,100,20,10
M-530,140,5,50,50,100,100,20,10
M-531,90,10,50,50,100,100,20,10
M-532,90,6,50,50,100,100,20,10
M-533,100,8,50,50,100,100,20,10
M-534,120,10,50,50,100,100,20,10
M-535,90,5,50,50,100,100,20,10
M-536,110,6,50,50,100,100,20,10
M-537,80,12,50,50,100,100,20,10
M-538,140,6,50,50,100,100,20,10
M-539,140,6,50,50,100,100,20,10
M-540,150,19,50,50,100,100,20,10
M-541,100,18,50,50,100,100,20,10
M-542,80,8,50,50,100,100,20,10
M-543,90,8,50,50,100,100,20,10
M-544,90,14,50,50,100,100,20,10
M-545,80,7,50,50,100,100,20,10
M-546,90,9,50,50,100,100,20,10
M-547,90,18,50,50,100,100,20,10
M-548,100,15,50,50,100,100,20,10
M-549,80,9,50,50,100,100,20,10
M-550,140,12,50,50,100,100,20,10
M-551,140,13,50,50,100,100,20,10
M-552,90,7,50,50,100,100,20,10
M-553,100,19,50,50,100,100,20,10
M-554,80,15,50,50,100,100,20,10
M-555,90,13,50,50,100,100,20,10
M-556,120,12,50,50,100,100,20,10
M-557,130,15,50,50,100,100,20,10
M-558,100,14,50,50,100,100,20,10
M-559,80,15,50,50,100,100,20,10
M-560,100,14,50,50,100,100,20,10
M-561,140,8,50,50,100,100,20,10
M-562,120,8,50,50,100,100,20,10
M-563,110,11,50,50,100,100,20,10
M-564,140,14,50,50,100,100,20,10
M-565,110,18,50,50,100,100,20,10
M-566,130,19,50,50,100,100,20,10
M-567,130,14,50,50,100,100,20,10
M-568,140,5,50,50,100,100,20,10
M-569,90,11,50,50,100,100,20,10
M-570,120,6,50,50,100,100,20,10
M-571,110,15,50,50,100,100,20,10
M-572,110,6,50,50,100,100,20,10
M-573,110,11,50,50,100,100,20,10
M-574,140,14,50,50,100,100,20,10
M-575,80,5,50,50,100,100,20,10
M-576,130,5,50,50,100,100,20,10
M-577,140,18,50,50,100,100,20,10
M-578,130,13,50,50,100,100,20,10
M-579,130,11,50,50,100,100,20,10
M-580,110,19,50,50,100,100,20,10
M-581,130,20,50,50,100,100,20,10
M-582,110,20,50,50,100,100,20,10
M-583,80,17,50,50,100,100,20,10
M-584,100,11,50,50,100,100,20,10
M-585,110,13,50,50,100,100,20,10
M-586,140,18,50,50,100,100,20,10
M-587,90,12,50,50,100,100,20,10
M-588,130,17,50,50,100,100,20,10
M-589,110,10,50,50,100,100,20,10
M-590,80,18,50,50,100,100,20,10
M-591,130,5,50,50,100,100,20,10
M-592,120,7,50,50,100,100,20,10
M-593,90,13,50,50,100,100,20,10
M-594,130,8,50,50,100,100,20,10
M-595,80,19,50,50,100,100,20,10
M-596,140,10,50,50,100,100,20,10
M-597,90,13,50,50,100,100,20,10
M-598,130,16,50,50,100,100,20,10
M-599,130,9,50,50,100,100,20,10
M-600,140,17,50,50,100,100,20,10
M-601,80,19,50,50,100,100,20,10
M-602,110,11,50,50,100,100,20,10
M-603,80,7,50,50,100,100,20,10
M-604,90,19,50,50,100,100,20,10
M-605,110,13,50,50,100,100,20,10
M-606,80,5,50,50,100,100,20,10
M-607,100,5,50,50,100,100,20,10
M-608,120,5,50,50,100,100,20,10
M-609,120,16,50,50,100,100,20,10
M-610,80,11,50,50,100,100,20,10
M-611,90,5,50,50,100,100,20,10
M-612,130,18,50,50,100,100,20,10
M-613,110,16,50,50,100,100,20,10
M-614,120,20,50,50,100,100,20,10
M-615,110,11,50,50,100,100,20,10
M-616,80,16,50,50,100,100,20,10
M-617,110,20,50,50,100,100,20,10
M-618,130,15,50,50,100,100,20,10
M-619,140,9,50,50,100,100,20,10
M-620,80,11,50,50,100,100,20,10
M-621,130,13,50,50,100,100,20,10
M-622,90,20,50,50,100,100,20,10
M-623,120,8,50,50,100,100,20,10
M-624,80,14,50,50,100,100,20,10
M-625,120,9,50,50,100,100,20,10
M-626,130,18,50,50,100,100,20,10
M-627,110,12,50,50,100,100,20,10
M-628,140,19,50,50,100,100,20,10
M-629,120,12,50,50,100,100,20,10
M-630,130,13,50,50,100,100,20,10
M-631,100,15,50,50,100,100,20,10
M-632,100,6,50,50,100,100,20,10
M-633,140,18,50,50,100,100,20,10
M-634,80,14,50,50,100,100,20,10
M-635,120,6,50,50,100,100,20,10
M-636,140,13,50,50,100,100,20,10
M-637,80,14,50,50,100,100,20,10
M-638,110,16,50,50,100,100,20,10
M-639,130,9,50,50,100,100,20,10
M-640,130,20,50,50,100,100,20,10
M-641,120,10,50,50,100,100,20,10
M-642,140,17,50,50,100,100,20,10
M-643,90,16,50,50,100,100,20,10
M-644,130,20,50,50,100,100,20,10
M-645,100,7,50,50,100,100,20,10
M-646,110,14,50,50,100,100,20,10
M-647,90,10,50,50,100,100,20,10
M-648,80,19,50,50,100,100,20,10
M-649,130,13,50,50,100,100,20,10
M-650,90,12,50,50,100,100,20,10
M-651,130,15,50,50,100,100,20,10
M-652,110,6,50,50,100,100,20,10
M-653,100,12,50,50,100,100,20,10
M-654,130,7,50,50,100,100,20,10
M-655,140,17,50,50,100,100,20,10
M-656,100,14,50,50,100,100,20,10
M-657,120,13,50,50,100,100,20,10
M-658,90,11,50,50,100,100,20,10
M-659,100,10,50,50,100,100,20,10
M-660,130,6,50,50,100,100,20,10
M-661,110,15,50,50,100,100,20,10
M-662,90,13,50,50,100,100,20,10
M-663,130,20,50,50,100,100,20,10
M-664,120,15,50,50,100,100,20,10
M-665,110,10,50,50,100,100,20,10
M-666,120,6,50,50,100,100,20,10
M-667,130,13,50,50,100,100,20,10
M-668,110,5,50,50,100,100,20,10
M-669,100,18,50,50,100,100,20,10
M-670,90,5,50,50,100,100,20,10
M-671,130,20,50,50,100,100,20,10
M-672,140,11,50,50,100,100,20,10
M-673,100,20,50,50,100,100,20,10
M-674,90,17,50,50,100,100,20,10
M-675,140,11,50,50,100,100,20,10
M-676,130,9,50,50,100,100,20,10
M-677,140,9,50,50,100,100,20,10
M-678,100,14,50,50,100,100,20,10
M-679,80,18,50,50,100,100,20,10
M-680,90,20,50,50,100,100,20,10
M-681,150,5,50,50,100,100,20,10
M-682,100,15,50,50,100,100,20,10
M-683,90,16,50,50,100,100,20,10
M-684,140,15,50,50,100,100,20,10
M-685,120,14,50,50,100,100,20,10
M-686,80,10,50,50,100,100,20,10
M-687,110,20,50,50,100,100,20,10
M-688,130,10,50,50,100,100,20,10
M-689,120,10,50,50,100,100,20,10
M-690,110,17,50,50,100,100,20,10
M-691,100,11,50,50,100,100,20,10
M-692,90,17,50,50,100,100,20,10
M-693,110,8,50,50,100,100,20,10
M-694,110,9,50,50,100,100,20,10
M-695,140,8,50,50,100,100,20,10
