id_of_Plant,id_of_Market,id_of_Month,id_of_Product,deliveryVar
Bucarest,Brazil,Feb-07,900S,0.0
Bucarest,Brazil,Feb-07,929S,0.0
Bucarest,Brazil,Feb-07,996RS,0.0
Bucarest,Brazil,Feb-07,996S,0.0
Bucarest,Brazil,Feb-07,Bandit 1200,0.0
Bucarest,Brazil,Feb-07,Bandit 1200S,0.0
Bucarest,Brazil,Feb-07,Bandit 900,0.0
Bucarest,Brazil,Feb-07,Boulevard,0.0
Bucarest,Brazil,Feb-07,CRS550,0.0
Bucarest,Brazil,Feb-07,CRX500,0.0
Bucarest,Brazil,Feb-07,CRX600,0.0
Bucarest,Brazil,Feb-07,CRX650,0.0
Bucarest,Brazil,Feb-07,Enduro 350,0.0
Bucarest,Brazil,Feb-07,Enduro 450,0.0
Bucarest,Brazil,Feb-07,Enduro 550,0.0
Bucarest,Brazil,Feb-07,KingTwin,27.0
Bucarest,Brazil,Feb-07,MegaTwin,0.0
Bucarest,Brazil,Feb-07,RoadLiner,0.0
Bucarest,Brazil,Feb-07,RoadStar,0.0
Bucarest,Brazil,Feb-07,ST1200,0.0
Bucarest,Brazil,Feb-07,ST1200R,0.0
Bucarest,Brazil,Feb-07,ST900,0.0
Bucarest,Brazil,Feb-07,Victory,0.0
Bucarest,Brazil,Jan-07,200S,0.0
Bucarest,Brazil,Jan-07,300S,0.0
Bucarest,Brazil,Jan-07,600S,0.0
Bucarest,Brazil,Jan-07,626S,0.0
Bucarest,Brazil,Jan-07,676RS,0.0
Bucarest,Brazil,Jan-07,676S,0.0
Bucarest,Brazil,Jan-07,900S,0.0
Bucarest,Brazil,Jan-07,929S,0.0
Bucarest,Brazil,Jan-07,996RS,0.0
Bucarest,Brazil,Jan-07,996S,0.0
Bucarest,Brazil,Jan-07,Bandit 1200,0.0
Bucarest,Brazil,Jan-07,Bandit 1200S,0.0
Bucarest,Brazil,Jan-07,Bandit 900,0.0
Bucarest,Brazil,Jan-07,Boulevard,0.0
Bucarest,Brazil,Jan-07,CRS550,0.0
Bucarest,Brazil,Jan-07,CRX500,0.0
Bucarest,Brazil,Jan-07,CRX600,0.0
Bucarest,Brazil,Jan-07,CRX650,0.0
Bucarest,Brazil,Jan-07,Enduro 350,55.0
Bucarest,Brazil,Jan-07,Enduro 450,0.0
Bucarest,Brazil,Jan-07,Enduro 550,0.0
Bucarest,Brazil,Jan-07,KingTwin,22.0
Bucarest,Brazil,Jan-07,MegaTwin,158.0
Bucarest,Brazil,Jan-07,RoadLiner,0.0
Bucarest,Brazil,Jan-07,RoadStar,0.0
Bucarest,Brazil,Jan-07,ST1200,0.0
Bucarest,Brazil,Jan-07,ST1200R,0.0
Bucarest,Brazil,Jan-07,ST900,0.0
Bucarest,Brazil,Jan-07,Victory,0.0
Bucarest,Brazil,Mar-07,200S,0.0
Bucarest,Brazil,Mar-07,300S,0.0
Bucarest,Brazil,Mar-07,600S,0.0
Bucarest,Brazil,Mar-07,626S,0.0
Bucarest,Brazil,Mar-07,676RS,0.0
Bucarest,Brazil,Mar-07,676S,0.0
Bucarest,Brazil,Mar-07,900S,0.0
Bucarest,Brazil,Mar-07,929S,0.0
Bucarest,Brazil,Mar-07,996RS,0.0
Bucarest,Brazil,Mar-07,996S,0.0
Bucarest,Brazil,Mar-07,Bandit 1200,0.0
Bucarest,Brazil,Mar-07,Bandit 1200S,0.0
Bucarest,Brazil,Mar-07,Bandit 900,0.0
Bucarest,Brazil,Mar-07,Boulevard,0.0
Bucarest,Brazil,Mar-07,CRS550,0.0
Bucarest,Brazil,Mar-07,CRX500,0.0
Bucarest,Brazil,Mar-07,CRX600,0.0
Bucarest,Brazil,Mar-07,CRX650,0.0
Bucarest,Brazil,Mar-07,Enduro 350,21.0
Bucarest,Brazil,Mar-07,Enduro 450,0.0
Bucarest,Brazil,Mar-07,Enduro 550,0.0
Bucarest,Brazil,Mar-07,KingTwin,29.0
Bucarest,Brazil,Mar-07,MegaTwin,77.0
Bucarest,Brazil,Mar-07,RoadLiner,0.0
Bucarest,Brazil,Mar-07,RoadStar,0.0
Bucarest,Brazil,Mar-07,ST1200,0.0
Bucarest,Brazil,Mar-07,ST1200R,0.0
Bucarest,Brazil,Mar-07,ST900,0.0
Bucarest,Brazil,Mar-07,Victory,0.0
Bucarest,Canada,Feb-07,200S,0.0
Bucarest,Canada,Feb-07,300S,0.0
Bucarest,Canada,Feb-07,600S,0.0
Bucarest,Canada,Feb-07,626S,0.0
Bucarest,Canada,Feb-07,676RS,0.0
Bucarest,Canada,Feb-07,676S,0.0
Bucarest,Canada,Feb-07,900S,0.0
Bucarest,Canada,Feb-07,929S,0.0
Bucarest,Canada,Feb-07,996RS,0.0
Bucarest,Canada,Feb-07,996S,0.0
Bucarest,Canada,Feb-07,Bandit 1200,0.0
Bucarest,Canada,Feb-07,Bandit 1200S,0.0
Bucarest,Canada,Feb-07,Bandit 900,0.0
Bucarest,Canada,Feb-07,Boulevard,0.0
Bucarest,Canada,Feb-07,CRS550,0.0
Bucarest,Canada,Feb-07,CRX500,0.0
Bucarest,Canada,Feb-07,CRX600,0.0
Bucarest,Canada,Feb-07,CRX650,0.0
Bucarest,Canada,Feb-07,Enduro 350,0.0
Bucarest,Canada,Feb-07,Enduro 450,0.0
Bucarest,Canada,Feb-07,Enduro 550,0.0
Bucarest,Canada,Feb-07,KingTwin,113.0
Bucarest,Canada,Feb-07,MegaTwin,0.0
Bucarest,Canada,Feb-07,RoadLiner,0.0
Bucarest,Canada,Feb-07,RoadStar,0.0
Bucarest,Canada,Feb-07,ST1200,0.0
Bucarest,Canada,Feb-07,ST1200R,0.0
Bucarest,Canada,Feb-07,ST900,0.0
Bucarest,Canada,Feb-07,Victory,0.0
Bucarest,Canada,Jan-07,200S,0.0
Bucarest,Canada,Jan-07,300S,0.0
Bucarest,Canada,Jan-07,600S,0.0
Bucarest,Canada,Jan-07,626S,0.0
Bucarest,Canada,Jan-07,676RS,0.0
Bucarest,Canada,Jan-07,676S,0.0
Bucarest,Canada,Jan-07,900S,0.0
Bucarest,Canada,Jan-07,929S,0.0
Bucarest,Canada,Jan-07,996RS,0.0
Bucarest,Canada,Jan-07,996S,0.0
Bucarest,Canada,Jan-07,Bandit 1200,0.0
Bucarest,Canada,Jan-07,Bandit 1200S,0.0
Bucarest,Canada,Jan-07,Bandit 900,0.0
Bucarest,Canada,Jan-07,Boulevard,0.0
Bucarest,Canada,Jan-07,CRS550,0.0
Bucarest,Canada,Jan-07,CRX500,0.0
Bucarest,Canada,Jan-07,CRX600,0.0
Bucarest,Canada,Jan-07,CRX650,0.0
Bucarest,Canada,Jan-07,Enduro 350,7.0
Bucarest,Canada,Jan-07,Enduro 450,0.0
Bucarest,Canada,Jan-07,Enduro 550,0.0
Bucarest,Canada,Jan-07,KingTwin,52.0
Bucarest,Canada,Jan-07,MegaTwin,63.0
Bucarest,Canada,Jan-07,RoadLiner,0.0
Bucarest,Canada,Jan-07,RoadStar,0.0
Bucarest,Canada,Jan-07,ST1200,0.0
Bucarest,Canada,Jan-07,ST1200R,0.0
Bucarest,Canada,Jan-07,ST900,0.0
Bucarest,Canada,Jan-07,Victory,0.0
Bucarest,Canada,Mar-07,200S,0.0
Bucarest,Canada,Mar-07,300S,0.0
Bucarest,Canada,Mar-07,600S,0.0
Bucarest,Canada,Mar-07,626S,0.0
Bucarest,Canada,Mar-07,676RS,0.0
Bucarest,Canada,Mar-07,676S,0.0
Bucarest,Canada,Mar-07,900S,0.0
Bucarest,Canada,Mar-07,929S,0.0
Bucarest,Canada,Mar-07,996RS,0.0
Bucarest,Canada,Mar-07,996S,0.0
Bucarest,Canada,Mar-07,Bandit 1200,0.0
Bucarest,Canada,Mar-07,Bandit 1200S,0.0
Bucarest,Canada,Mar-07,Bandit 900,0.0
Bucarest,Canada,Mar-07,Boulevard,0.0
Bucarest,Canada,Mar-07,CRS550,0.0
Bucarest,Canada,Mar-07,CRX500,0.0
Bucarest,Canada,Mar-07,CRX600,0.0
Bucarest,Canada,Mar-07,CRX650,0.0
Bucarest,Canada,Mar-07,Enduro 350,5.0
Bucarest,Canada,Mar-07,Enduro 450,0.0
Bucarest,Canada,Mar-07,Enduro 550,0.0
Bucarest,Canada,Mar-07,KingTwin,0.0
Bucarest,Canada,Mar-07,MegaTwin,34.0
Bucarest,Canada,Mar-07,RoadLiner,0.0
Bucarest,Canada,Mar-07,RoadStar,0.0
Bucarest,Canada,Mar-07,ST1200,0.0
Bucarest,Canada,Mar-07,ST1200R,0.0
Bucarest,Canada,Mar-07,ST900,0.0
Bucarest,Canada,Mar-07,Victory,0.0
Bucarest,China,Feb-07,200S,0.0
Bucarest,China,Feb-07,300S,0.0
Bucarest,China,Feb-07,600S,0.0
Bucarest,China,Feb-07,626S,0.0
Bucarest,China,Feb-07,676RS,0.0
Bucarest,China,Feb-07,676S,0.0
Bucarest,China,Feb-07,900S,0.0
Bucarest,China,Feb-07,929S,0.0
Bucarest,China,Feb-07,996RS,0.0
Bucarest,China,Feb-07,996S,0.0
Bucarest,China,Feb-07,Bandit 1200,0.0
Bucarest,China,Feb-07,Bandit 1200S,0.0
Bucarest,China,Feb-07,Bandit 900,0.0
Bucarest,China,Feb-07,Boulevard,0.0
Bucarest,China,Feb-07,CRS550,0.0
Bucarest,China,Feb-07,CRX500,0.0
Bucarest,China,Feb-07,CRX600,0.0
Bucarest,China,Feb-07,CRX650,0.0
Bucarest,China,Feb-07,Enduro 350,0.0
Bucarest,China,Feb-07,Enduro 450,0.0
Bucarest,China,Feb-07,Enduro 550,0.0
Bucarest,China,Feb-07,KingTwin,0.0
Bucarest,China,Feb-07,MegaTwin,9.0
Bucarest,China,Feb-07,RoadLiner,0.0
Bucarest,China,Feb-07,RoadStar,0.0
Bucarest,China,Feb-07,ST1200,0.0
Bucarest,China,Feb-07,ST1200R,0.0
Bucarest,China,Feb-07,ST900,0.0
Bucarest,China,Feb-07,Victory,0.0
Bucarest,China,Jan-07,200S,0.0
Bucarest,China,Jan-07,300S,0.0
Bucarest,China,Jan-07,600S,0.0
Bucarest,China,Jan-07,626S,0.0
Bucarest,China,Jan-07,676RS,0.0
Bucarest,China,Jan-07,676S,0.0
Bucarest,China,Jan-07,900S,0.0
Bucarest,China,Jan-07,929S,0.0
Bucarest,China,Jan-07,996RS,0.0
Bucarest,China,Jan-07,996S,0.0
Bucarest,China,Jan-07,Bandit 1200,0.0
Bucarest,China,Jan-07,Bandit 1200S,0.0
Bucarest,China,Jan-07,Bandit 900,0.0
Bucarest,China,Jan-07,Boulevard,0.0
Bucarest,China,Jan-07,CRS550,0.0
Bucarest,China,Jan-07,CRX500,0.0
Bucarest,China,Jan-07,CRX600,0.0
Bucarest,China,Jan-07,CRX650,0.0
Bucarest,China,Jan-07,Enduro 350,275.0
Bucarest,China,Jan-07,Enduro 450,0.0
Bucarest,China,Jan-07,Enduro 550,0.0
Bucarest,China,Jan-07,KingTwin,157.0
Bucarest,China,Jan-07,MegaTwin,0.0
Bucarest,China,Jan-07,RoadLiner,0.0
Bucarest,China,Jan-07,RoadStar,0.0
Bucarest,China,Jan-07,ST1200,0.0
Bucarest,China,Jan-07,ST1200R,0.0
Bucarest,China,Jan-07,ST900,0.0
Bucarest,China,Jan-07,Victory,0.0
Bucarest,China,Mar-07,200S,0.0
Bucarest,China,Mar-07,300S,0.0
Bucarest,China,Mar-07,600S,0.0
Bucarest,China,Mar-07,626S,0.0
Bucarest,China,Mar-07,676RS,0.0
Bucarest,China,Mar-07,676S,0.0
Bucarest,China,Mar-07,900S,0.0
Bucarest,China,Mar-07,929S,0.0
Bucarest,China,Mar-07,996RS,0.0
Bucarest,China,Mar-07,996S,0.0
Bucarest,China,Mar-07,Bandit 1200,0.0
Bucarest,China,Mar-07,Bandit 1200S,0.0
Bucarest,China,Mar-07,Bandit 900,0.0
Bucarest,China,Mar-07,Boulevard,0.0
Bucarest,China,Mar-07,CRS550,0.0
Bucarest,China,Mar-07,CRX500,0.0
Bucarest,China,Mar-07,CRX600,0.0
Bucarest,China,Mar-07,CRX650,0.0
Bucarest,China,Mar-07,Enduro 350,0.0
Bucarest,China,Mar-07,Enduro 450,0.0
Bucarest,China,Mar-07,Enduro 550,0.0
Bucarest,China,Mar-07,KingTwin,81.0
Bucarest,China,Mar-07,MegaTwin,7.0
Bucarest,China,Mar-07,RoadLiner,0.0
Bucarest,China,Mar-07,RoadStar,0.0
Bucarest,China,Mar-07,ST1200,0.0
Bucarest,China,Mar-07,ST1200R,0.0
Bucarest,China,Mar-07,ST900,0.0
Bucarest,China,Mar-07,Victory,0.0
Bucarest,France,Feb-07,200S,0.0
Bucarest,France,Feb-07,300S,0.0
Bucarest,France,Feb-07,600S,0.0
Bucarest,France,Feb-07,626S,0.0
Bucarest,France,Feb-07,676RS,0.0
Bucarest,France,Feb-07,676S,0.0
Bucarest,France,Feb-07,900S,0.0
Bucarest,France,Feb-07,929S,0.0
Bucarest,France,Feb-07,996RS,0.0
Bucarest,France,Feb-07,996S,0.0
Bucarest,France,Feb-07,Bandit 1200,0.0
Bucarest,France,Feb-07,Bandit 1200S,0.0
Bucarest,France,Feb-07,Bandit 900,0.0
Bucarest,France,Feb-07,Boulevard,0.0
Bucarest,France,Feb-07,CRS550,0.0
Bucarest,France,Feb-07,CRX500,0.0
Bucarest,France,Feb-07,CRX600,0.0
Bucarest,France,Feb-07,CRX650,0.0
Bucarest,France,Feb-07,Enduro 350,0.0
Bucarest,France,Feb-07,Enduro 450,0.0
Bucarest,France,Feb-07,Enduro 550,0.0
Bucarest,France,Feb-07,KingTwin,0.0
Bucarest,France,Feb-07,MegaTwin,198.0
Bucarest,France,Feb-07,RoadLiner,0.0
Bucarest,France,Feb-07,RoadStar,0.0
Bucarest,France,Feb-07,ST1200,0.0
Bucarest,France,Feb-07,ST1200R,0.0
Bucarest,France,Feb-07,ST900,0.0
Bucarest,France,Feb-07,Victory,0.0
Bucarest,France,Jan-07,200S,0.0
Bucarest,France,Jan-07,300S,0.0
Bucarest,France,Jan-07,600S,0.0
Bucarest,France,Jan-07,626S,0.0
Bucarest,France,Jan-07,676RS,0.0
Bucarest,France,Jan-07,676S,0.0
Bucarest,France,Jan-07,900S,0.0
Bucarest,France,Jan-07,929S,0.0
Bucarest,France,Jan-07,996RS,0.0
Bucarest,France,Jan-07,996S,0.0
Bucarest,France,Jan-07,Bandit 1200,0.0
Bucarest,France,Jan-07,Bandit 1200S,0.0
Bucarest,France,Jan-07,Bandit 900,0.0
Bucarest,France,Jan-07,Boulevard,0.0
Bucarest,France,Jan-07,CRS550,0.0
Bucarest,France,Jan-07,CRX500,0.0
Bucarest,France,Jan-07,CRX600,0.0
Bucarest,France,Jan-07,CRX650,0.0
Bucarest,France,Jan-07,Enduro 350,316.0
Bucarest,France,Jan-07,Enduro 450,0.0
Bucarest,France,Jan-07,Enduro 550,0.0
Bucarest,France,Jan-07,KingTwin,196.0
Bucarest,France,Jan-07,MegaTwin,89.0
Bucarest,France,Jan-07,RoadLiner,0.0
Bucarest,France,Jan-07,RoadStar,0.0
Bucarest,France,Jan-07,ST1200,0.0
Bucarest,France,Jan-07,ST1200R,0.0
Bucarest,France,Jan-07,ST900,0.0
Bucarest,France,Jan-07,Victory,0.0
Bucarest,France,Mar-07,200S,0.0
Bucarest,France,Mar-07,300S,0.0
Bucarest,France,Mar-07,600S,0.0
Bucarest,France,Mar-07,626S,0.0
Bucarest,France,Mar-07,676RS,0.0
Bucarest,France,Mar-07,676S,0.0
Bucarest,France,Mar-07,900S,0.0
Bucarest,France,Mar-07,929S,0.0
Bucarest,France,Mar-07,996RS,0.0
Bucarest,France,Mar-07,996S,0.0
Bucarest,France,Mar-07,Bandit 1200,0.0
Bucarest,France,Mar-07,Bandit 1200S,0.0
Bucarest,France,Mar-07,Bandit 900,0.0
Bucarest,France,Mar-07,Boulevard,0.0
Bucarest,France,Mar-07,CRS550,0.0
Bucarest,France,Mar-07,CRX500,0.0
Bucarest,France,Mar-07,CRX600,0.0
Bucarest,France,Mar-07,CRX650,0.0
Bucarest,France,Mar-07,Enduro 350,0.0
Bucarest,France,Mar-07,Enduro 450,0.0
Bucarest,France,Mar-07,Enduro 550,0.0
Bucarest,France,Mar-07,KingTwin,102.0
Bucarest,France,Mar-07,MegaTwin,0.0
Bucarest,France,Mar-07,RoadLiner,0.0
Bucarest,France,Mar-07,RoadStar,0.0
Bucarest,France,Mar-07,ST1200,0.0
Bucarest,France,Mar-07,ST1200R,0.0
Bucarest,France,Mar-07,ST900,0.0
Bucarest,France,Mar-07,Victory,0.0
Bucarest,Germany,Feb-07,200S,0.0
Bucarest,Germany,Feb-07,300S,0.0
Bucarest,Germany,Feb-07,600S,0.0
Bucarest,Germany,Feb-07,626S,0.0
Bucarest,Germany,Feb-07,676RS,0.0
Bucarest,Germany,Feb-07,676S,0.0
Bucarest,Germany,Feb-07,900S,0.0
Bucarest,Germany,Feb-07,929S,0.0
Bucarest,Germany,Feb-07,996RS,0.0
Bucarest,Germany,Feb-07,996S,0.0
Bucarest,Germany,Feb-07,Bandit 1200,0.0
Bucarest,Germany,Feb-07,Bandit 1200S,0.0
Bucarest,Germany,Feb-07,Bandit 900,0.0
Bucarest,Germany,Feb-07,Boulevard,0.0
Bucarest,Germany,Feb-07,CRS550,0.0
Bucarest,Germany,Feb-07,CRX500,0.0
Bucarest,Germany,Feb-07,CRX600,0.0
Bucarest,Germany,Feb-07,CRX650,0.0
Bucarest,Germany,Feb-07,Enduro 350,10.0
Bucarest,Germany,Feb-07,Enduro 450,0.0
Bucarest,Germany,Feb-07,Enduro 550,0.0
Bucarest,Germany,Feb-07,KingTwin,234.0
Bucarest,Germany,Feb-07,MegaTwin,33.0
Bucarest,Germany,Feb-07,RoadLiner,0.0
Bucarest,Germany,Feb-07,RoadStar,0.0
Bucarest,Germany,Feb-07,ST1200,0.0
Bucarest,Germany,Feb-07,ST1200R,0.0
Bucarest,Germany,Feb-07,ST900,0.0
Bucarest,Germany,Feb-07,Victory,0.0
Bucarest,Germany,Jan-07,200S,0.0
Bucarest,Germany,Jan-07,300S,0.0
Bucarest,Germany,Jan-07,600S,0.0
Bucarest,Germany,Jan-07,626S,0.0
Bucarest,Germany,Jan-07,676RS,0.0
Bucarest,Germany,Jan-07,676S,0.0
Bucarest,Germany,Jan-07,900S,0.0
Bucarest,Germany,Jan-07,929S,0.0
Bucarest,Germany,Jan-07,996RS,0.0
Bucarest,Germany,Jan-07,996S,0.0
Bucarest,Germany,Jan-07,Bandit 1200,0.0
Bucarest,Germany,Jan-07,Bandit 1200S,0.0
Bucarest,Germany,Jan-07,Bandit 900,0.0
Bucarest,Germany,Jan-07,Boulevard,0.0
Bucarest,Germany,Jan-07,CRS550,0.0
Bucarest,Germany,Jan-07,CRX500,0.0
Bucarest,Germany,Jan-07,CRX600,0.0
Bucarest,Germany,Jan-07,CRX650,0.0
Bucarest,Germany,Jan-07,Enduro 350,10.0
Bucarest,Germany,Jan-07,Enduro 450,0.0
Bucarest,Germany,Jan-07,Enduro 550,0.0
Bucarest,Germany,Jan-07,KingTwin,118.0
Bucarest,Germany,Jan-07,MegaTwin,35.0
Bucarest,Germany,Jan-07,RoadLiner,0.0
Bucarest,Germany,Jan-07,RoadStar,0.0
Bucarest,Germany,Jan-07,ST1200,0.0
Bucarest,Germany,Jan-07,ST1200R,0.0
Bucarest,Germany,Jan-07,ST900,0.0
Bucarest,Germany,Jan-07,Victory,0.0
Bucarest,Germany,Mar-07,200S,0.0
Bucarest,Germany,Mar-07,300S,0.0
Bucarest,Germany,Mar-07,600S,0.0
Bucarest,Germany,Mar-07,626S,0.0
Bucarest,Germany,Mar-07,676RS,0.0
Bucarest,Germany,Mar-07,676S,0.0
Bucarest,Germany,Mar-07,900S,0.0
Bucarest,Germany,Mar-07,929S,0.0
Bucarest,Germany,Mar-07,996RS,0.0
Bucarest,Germany,Mar-07,996S,0.0
Bucarest,Germany,Mar-07,Bandit 1200,0.0
Bucarest,Germany,Mar-07,Bandit 1200S,0.0
Bucarest,Germany,Mar-07,Bandit 900,0.0
Bucarest,Germany,Mar-07,Boulevard,0.0
Bucarest,Germany,Mar-07,CRS550,0.0
Bucarest,Germany,Mar-07,CRX500,0.0
Bucarest,Germany,Mar-07,CRX600,0.0
Bucarest,Germany,Mar-07,CRX650,0.0
Bucarest,Germany,Mar-07,Enduro 350,13.0
Bucarest,Germany,Mar-07,Enduro 450,0.0
Bucarest,Germany,Mar-07,Enduro 550,0.0
Bucarest,Germany,Mar-07,KingTwin,0.0
Bucarest,Germany,Mar-07,MegaTwin,30.0
Bucarest,Germany,Mar-07,RoadLiner,0.0
Bucarest,Germany,Mar-07,RoadStar,0.0
Bucarest,Germany,Mar-07,ST1200,0.0
Bucarest,Germany,Mar-07,ST1200R,0.0
Bucarest,Germany,Mar-07,ST900,0.0
Bucarest,Germany,Mar-07,Victory,0.0
Bucarest,Italy,Feb-07,200S,0.0
Bucarest,Italy,Feb-07,300S,0.0
Bucarest,Italy,Feb-07,600S,0.0
Bucarest,Italy,Feb-07,626S,0.0
Bucarest,Italy,Feb-07,676RS,0.0
Bucarest,Italy,Feb-07,676S,0.0
Bucarest,Italy,Feb-07,900S,0.0
Bucarest,Italy,Feb-07,929S,0.0
Bucarest,Italy,Feb-07,996RS,0.0
Bucarest,Italy,Feb-07,996S,0.0
Bucarest,Italy,Feb-07,Bandit 1200,0.0
Bucarest,Italy,Feb-07,Bandit 1200S,0.0
Bucarest,Italy,Feb-07,Bandit 900,0.0
Bucarest,Italy,Feb-07,Boulevard,0.0
Bucarest,Italy,Feb-07,CRS550,0.0
Bucarest,Italy,Feb-07,CRX500,0.0
Bucarest,Italy,Feb-07,CRX600,0.0
Bucarest,Italy,Feb-07,CRX650,0.0
Bucarest,Italy,Feb-07,Enduro 350,0.0
Bucarest,Italy,Feb-07,Enduro 450,0.0
Bucarest,Italy,Feb-07,Enduro 550,0.0
Bucarest,Italy,Feb-07,KingTwin,0.0
Bucarest,Italy,Feb-07,MegaTwin,0.0
Bucarest,Italy,Feb-07,RoadLiner,0.0
Bucarest,Italy,Feb-07,RoadStar,0.0
Bucarest,Italy,Feb-07,ST1200,0.0
Bucarest,Italy,Feb-07,ST1200R,0.0
Bucarest,Italy,Feb-07,ST900,0.0
Bucarest,Italy,Feb-07,Victory,0.0
Bucarest,Italy,Jan-07,200S,0.0
Bucarest,Italy,Jan-07,300S,0.0
Bucarest,Italy,Jan-07,600S,0.0
Bucarest,Italy,Jan-07,626S,0.0
Bucarest,Italy,Jan-07,676RS,0.0
Bucarest,Italy,Jan-07,676S,0.0
Bucarest,Italy,Jan-07,900S,0.0
Bucarest,Italy,Jan-07,929S,0.0
Bucarest,Italy,Jan-07,996RS,0.0
Bucarest,Italy,Jan-07,996S,0.0
Bucarest,Italy,Jan-07,Bandit 1200,0.0
