plant,product,month,capacity,production,absdiff,reldiff
Los Angeles,676S,Feb-07,48,0,48,97.9591836735
Los Angeles,676S,Mar-07,48,48,0,0.0
Los Angeles,676RS,Jan-07,0,0,0,0.0
Los Angeles,676RS,Feb-07,0,0,0,0.0
Los Angeles,676RS,Mar-07,0,0,0,0.0
Los Angeles,900S,Jan-07,156,156,0,0.0
Los Angeles,900S,Feb-07,156,130,26,16.5605095541
Los Angeles,900S,Mar-07,156,156,0,0.0
Los Angeles,929S,Jan-07,111,111,0,0.0
Los Angeles,929S,Feb-07,111,111,0,0.0
Los Angeles,929S,Mar-07,111,111,0,0.0
Los Angeles,996S,Jan-07,204,204,0,0.0
Los Angeles,996S,Feb-07,204,204,0,0.0
Los Angeles,996S,Mar-07,204,204,0,0.0
Los Angeles,996RS,Jan-07,36,36,0,0.0
Los Angeles,996RS,Feb-07,36,36,0,0.0
Los Angeles,996RS,Mar-07,36,36,0,0.0
Los Angeles,RoadStar,Jan-07,143,8,135,93.75
Los Angeles,RoadStar,Feb-07,143,0,143,99.3055555556
Los Angeles,RoadStar,Mar-07,143,0,143,99.3055555556
Los Angeles,RoadLiner,Jan-07,66,8,58,86.5671641791
Los Angeles,RoadLiner,Feb-07,66,57,9,13.4328358209
Los Angeles,RoadLiner,Mar-07,66,0,66,98.5074626866
Los Angeles,Victory,Jan-07,252,0,252,99.604743083
Los Angeles,Victory,Feb-07,252,0,252,99.604743083
Los Angeles,Victory,Mar-07,252,0,252,99.604743083
Los Angeles,Boulevard,Jan-07,145,0,145,99.3150684932
Los Angeles,Boulevard,Feb-07,145,0,145,99.3150684932
Los Angeles,Boulevard,Mar-07,145,0,145,99.3150684932
Los Angeles,KingTwin,Jan-07,169,0,169,99.4117647059
Los Angeles,KingTwin,Feb-07,169,0,169,99.4117647059
Los Angeles,KingTwin,Mar-07,169,0,169,99.4117647059
Los Angeles,MegaTwin,Jan-07,261,0,261,99.6183206107
Los Angeles,MegaTwin,Feb-07,261,0,261,99.6183206107
Los Angeles,MegaTwin,Mar-07,261,0,261,99.6183206107
Los Angeles,ST900,Jan-07,160,64,96,59.6273291925
Los Angeles,ST900,Feb-07,160,25,135,83.850931677
Los Angeles,ST900,Mar-07,160,0,160,99.3788819876
Los Angeles,ST1200,Jan-07,56,56,0,0.0
Los Angeles,ST1200,Feb-07,56,56,0,0.0
Los Angeles,ST1200,Mar-07,56,56,0,0.0
Los Angeles,ST1200R,Jan-07,175,175,0,0.0
Los Angeles,ST1200R,Feb-07,175,175,0,0.0
Los Angeles,ST1200R,Mar-07,175,175,0,0.0
Los Angeles,Bandit 900,Jan-07,111,0,111,99.1071428571
Los Angeles,Bandit 900,Feb-07,111,0,111,99.1071428571
Los Angeles,Bandit 900,Mar-07,111,0,111,99.1071428571
Los Angeles,Bandit 1200,Jan-07,272,16,256,93.7728937729
Los Angeles,Bandit 1200,Feb-07,272,31,241,88.2783882784
Los Angeles,Bandit 1200,Mar-07,272,0,272,99.6336996337
Los Angeles,Bandit 1200S,Jan-07,88,88,0,0.0
Los Angeles,Bandit 1200S,Feb-07,88,88,0,0.0
Los Angeles,Bandit 1200S,Mar-07,88,88,0,0.0
Los Angeles,Enduro 350,Jan-07,225,0,225,99.5575221239
Los Angeles,Enduro 350,Feb-07,225,0,225,99.5575221239
Los Angeles,Enduro 350,Mar-07,225,0,225,99.5575221239
Los Angeles,Enduro 450,Jan-07,168,3,165,97.6331360947
Los Angeles,Enduro 450,Feb-07,168,0,168,99.4082840237
Los Angeles,Enduro 450,Mar-07,168,0,168,99.4082840237
Los Angeles,Enduro 550,Jan-07,37,37,0,0.0
Los Angeles,Enduro 550,Feb-07,37,37,0,0.0
Los Angeles,Enduro 550,Mar-07,37,37,0,0.0
Los Angeles,CRX500,Jan-07,122,0,122,99.1869918699
Los Angeles,CRX500,Feb-07,122,0,122,99.1869918699
Los Angeles,CRX500,Mar-07,122,0,122,99.1869918699
Los Angeles,CRS550,Jan-07,147,147,0,0.0
Los Angeles,CRS550,Feb-07,147,147,0,0.0
Los Angeles,CRS550,Mar-07,147,147,0,0.0
Los Angeles,CRX600,Jan-07,126,126,0,0.0
Los Angeles,CRX600,Feb-07,126,126,0,0.0
Los Angeles,CRX600,Mar-07,126,126,0,0.0
Los Angeles,CRX650,Jan-07,274,274,0,0.0
Los Angeles,CRX650,Feb-07,274,274,0,0.0
Los Angeles,CRX650,Mar-07,274,274,0,0.0
Mexico,200S,Jan-07,53,53,0,0.0
Mexico,200S,Feb-07,53,31,22,40.7407407407
Mexico,200S,Mar-07,53,1,52,96.2962962963
Mexico,300S,Jan-07,259,0,259,99.6153846154
Mexico,300S,Feb-07,259,0,259,99.6153846154
Mexico,300S,Mar-07,259,0,259,99.6153846154
Mexico,600S,Jan-07,80,0,80,98.7654320988
Mexico,600S,Feb-07,80,0,80,98.7654320988
Mexico,600S,Mar-07,80,0,80,98.7654320988
Mexico,626S,Jan-07,345,269,76,21.9653179191
Mexico,626S,Feb-07,345,270,75,21.676300578
Mexico,626S,Mar-07,345,268,77,22.2543352601
Mexico,676S,Jan-07,76,0,76,98.7012987013
Mexico,676S,Feb-07,76,0,76,98.7012987013
Mexico,676S,Mar-07,76,0,76,98.7012987013
Mexico,676RS,Jan-07,33,33,0,0.0
Mexico,676RS,Feb-07,33,33,0,0.0
Mexico,676RS,Mar-07,33,33,0,0.0
Mexico,900S,Jan-07,80,0,80,98.7654320988
Mexico,900S,Feb-07,80,0,80,98.7654320988
Mexico,900S,Mar-07,80,0,80,98.7654320988
Mexico,929S,Jan-07,30,21,9,29.0322580645
Mexico,929S,Feb-07,30,21,9,29.0322580645
Mexico,929S,Mar-07,30,22,8,25.8064516129
Mexico,996S,Jan-07,61,61,0,0.0
Mexico,996S,Feb-07,61,61,0,0.0
Mexico,996S,Mar-07,61,61,0,0.0
Mexico,996RS,Jan-07,258,258,0,0.0
Mexico,996RS,Feb-07,258,258,0,0.0
Mexico,996RS,Mar-07,258,258,0,0.0
Mexico,RoadStar,Jan-07,176,163,13,7.34463276836
Mexico,RoadStar,Feb-07,176,129,47,26.5536723164
Mexico,RoadStar,Mar-07,176,127,49,27.6836158192
Mexico,RoadLiner,Jan-07,226,226,0,0.0
Mexico,RoadLiner,Feb-07,226,226,0,0.0
Mexico,RoadLiner,Mar-07,226,226,0,0.0
Mexico,Victory,Jan-07,168,0,168,99.4082840237
Mexico,Victory,Feb-07,168,0,168,99.4082840237
Mexico,Victory,Mar-07,168,0,168,99.4082840237
Mexico,Boulevard,Jan-07,159,0,159,99.375
Mexico,Boulevard,Feb-07,159,0,159,99.375
Mexico,Boulevard,Mar-07,159,0,159,99.375
Mexico,KingTwin,Jan-07,270,0,270,99.63099631
Mexico,KingTwin,Feb-07,270,0,270,99.63099631
Mexico,KingTwin,Mar-07,270,0,270,99.63099631
Mexico,MegaTwin,Jan-07,82,0,82,98.7951807229
Mexico,MegaTwin,Feb-07,82,0,82,98.7951807229
Mexico,MegaTwin,Mar-07,82,0,82,98.7951807229
Mexico,ST900,Jan-07,77,0,77,98.7179487179
Mexico,ST900,Feb-07,77,0,77,98.7179487179
Mexico,ST900,Mar-07,77,0,77,98.7179487179
Mexico,ST1200,Jan-07,164,164,0,0.0
Mexico,ST1200,Feb-07,164,164,0,0.0
Mexico,ST1200,Mar-07,164,164,0,0.0
Mexico,ST1200R,Jan-07,152,1,151,98.6928104575
Mexico,ST1200R,Feb-07,152,0,152,99.3464052288
Mexico,ST1200R,Mar-07,152,124,28,18.3006535948
Mexico,Bandit 900,Jan-07,140,0,140,99.2907801418
Mexico,Bandit 900,Feb-07,140,0,140,99.2907801418
Mexico,Bandit 900,Mar-07,140,0,140,99.2907801418
Mexico,Bandit 1200,Jan-07,271,0,271,99.6323529412
Mexico,Bandit 1200,Feb-07,271,0,271,99.6323529412
Mexico,Bandit 1200,Mar-07,271,0,271,99.6323529412
Mexico,Bandit 1200S,Jan-07,120,23,97,80.1652892562
Mexico,Bandit 1200S,Feb-07,120,96,24,19.8347107438
Mexico,Bandit 1200S,Mar-07,120,44,76,62.8099173554
Mexico,Enduro 350,Jan-07,48,0,48,97.9591836735
Mexico,Enduro 350,Feb-07,48,0,48,97.9591836735
Mexico,Enduro 350,Mar-07,48,0,48,97.9591836735
Mexico,Enduro 450,Jan-07,122,122,0,0.0
Mexico,Enduro 450,Feb-07,122,120,2,1.62601626016
Mexico,Enduro 450,Mar-07,122,91,31,25.2032520325
Mexico,Enduro 550,Jan-07,225,0,225,99.5575221239
Mexico,Enduro 550,Feb-07,225,0,225,99.5575221239
Mexico,Enduro 550,Mar-07,225,2,223,98.6725663717
Mexico,CRX500,Jan-07,186,0,186,99.4652406417
Mexico,CRX500,Feb-07,186,0,186,99.4652406417
Mexico,CRX500,Mar-07,186,0,186,99.4652406417
Mexico,CRS550,Jan-07,187,187,0,0.0
Mexico,CRS550,Feb-07,187,187,0,0.0
Mexico,CRS550,Mar-07,187,187,0,0.0
Mexico,CRX600,Jan-07,64,0,64,98.4615384615
Mexico,CRX600,Feb-07,64,0,64,98.4615384615
Mexico,CRX600,Mar-07,64,0,64,98.4615384615
Mexico,CRX650,Jan-07,111,111,0,0.0
Mexico,CRX650,Feb-07,111,111,0,0.0
Mexico,CRX650,Mar-07,111,111,0,0.0
Toledo,200S,Jan-07,42,42,0,0.0
Toledo,200S,Feb-07,42,0,42,97.6744186047
Toledo,200S,Mar-07,42,0,42,97.6744186047
Toledo,300S,Jan-07,121,108,13,10.6557377049
Toledo,300S,Feb-07,121,113,8,6.55737704918
Toledo,300S,Mar-07,121,99,22,18.0327868852
Toledo,600S,Jan-07,242,242,0,0.0
Toledo,600S,Feb-07,242,241,1,0.411522633745
Toledo,600S,Mar-07,242,242,0,0.0
Toledo,626S,Jan-07,216,0,216,99.5391705069
Toledo,626S,Feb-07,216,0,216,99.5391705069
Toledo,626S,Mar-07,216,0,216,99.5391705069
Toledo,676S,Jan-07,103,0,103,99.0384615385
Toledo,676S,Feb-07,103,0,103,99.0384615385
Toledo,676S,Mar-07,103,0,103,99.0384615385
Toledo,676RS,Jan-07,263,39,224,84.8484848485
Toledo,676RS,Feb-07,263,57,206,78.0303030303
Toledo,676RS,Mar-07,263,63,200,75.7575757576
Toledo,900S,Jan-07,68,68,0,0.0
Toledo,900S,Feb-07,68,68,0,0.0
Toledo,900S,Mar-07,68,68,0,0.0
Toledo,929S,Jan-07,74,0,74,98.6666666667
Toledo,929S,Feb-07,74,0,74,98.6666666667
Toledo,929S,Mar-07,74,0,74,98.6666666667
Toledo,996S,Jan-07,57,57,0,0.0
Toledo,996S,Feb-07,57,57,0,0.0
Toledo,996S,Mar-07,57,57,0,0.0
Toledo,996RS,Jan-07,255,0,255,99.609375
Toledo,996RS,Feb-07,255,0,255,99.609375
Toledo,996RS,Mar-07,255,0,255,99.609375
Toledo,RoadStar,Jan-07,173,0,173,99.4252873563
Toledo,RoadStar,Feb-07,173,0,173,99.4252873563
Toledo,RoadStar,Mar-07,173,0,173,99.4252873563
Toledo,RoadLiner,Jan-07,212,0,212,99.5305164319
Toledo,RoadLiner,Feb-07,212,0,212,99.5305164319
Toledo,RoadLiner,Mar-07,212,0,212,99.5305164319
Toledo,Victory,Jan-07,48,0,48,97.9591836735
Toledo,Victory,Feb-07,48,0,48,97.9591836735
Toledo,Victory,Mar-07,48,0,48,97.9591836735
Toledo,Boulevard,Jan-07,126,25,101,79.5275590551
Toledo,Boulevard,Feb-07,126,13,113,88.9763779528
Toledo,Boulevard,Mar-07,126,98,28,22.0472440945
Toledo,KingTwin,Jan-07,263,216,47,17.803030303
Toledo,KingTwin,Feb-07,263,263,0,0.0
Toledo,KingTwin,Mar-07,263,263,0,0.0
Toledo,MegaTwin,Jan-07,258,130,128,49.4208494208
Toledo,MegaTwin,Feb-07,258,173,85,32.8185328185
Toledo,MegaTwin,Mar-07,258,175,83,32.0463320463
Toledo,ST900,Jan-07,179,179,0,0.0
Toledo,ST900,Feb-07,179,179,0,0.0
Toledo,ST900,Mar-07,179,159,20,11.1111111111
Toledo,ST1200,Jan-07,95,95,0,0.0
Toledo,ST1200,Feb-07,95,95,0,0.0
Toledo,ST1200,Mar-07,95,95,0,0.0
Toledo,ST1200R,Jan-07,216,216,0,0.0
Toledo,ST1200R,Feb-07,216,167,49,22.5806451613
Toledo,ST1200R,Mar-07,216,163,53,24.4239631336
Toledo,Bandit 900,Jan-07,237,0,237,99.5798319328
Toledo,Bandit 900,Feb-07,237,0,237,99.5798319328
Toledo,Bandit 900,Mar-07,237,0,237,99.5798319328
Toledo,Bandit 1200,Jan-07,112,112,0,0.0
Toledo,Bandit 1200,Feb-07,112,112,0,0.0
Toledo,Bandit 1200,Mar-07,112,112,0,0.0
Toledo,Bandit 1200S,Jan-07,112,112,0,0.0
Toledo,Bandit 1200S,Feb-07,112,112,0,0.0
Toledo,Bandit 1200S,Mar-07,112,112,0,0.0
Toledo,Enduro 350,Jan-07,183,155,28,15.2173913043
Toledo,Enduro 350,Feb-07,183,138,45,24.4565217391
Toledo,Enduro 350,Mar-07,183,118,65,35.3260869565
Toledo,Enduro 450,Jan-07,118,0,118,99.1596638655
Toledo,Enduro 450,Feb-07,118,0,118,99.1596638655
Toledo,Enduro 450,Mar-07,118,0,118,99.1596638655
Toledo,Enduro 550,Jan-07,267,178,89,33.2089552239
Toledo,Enduro 550,Feb-07,267,200,67,25.0
Toledo,Enduro 550,Mar-07,267,222,45,16.7910447761
Toledo,CRX500,Jan-07,195,79,116,59.1836734694
Toledo,CRX500,Feb-07,195,72,123,62.7551020408
Toledo,CRX500,Mar-07,195,25,170,86.7346938776
Toledo,CRS550,Jan-07,129,0,129,99.2307692308
Toledo,CRS550,Feb-07,129,0,129,99.2307692308
Toledo,CRS550,Mar-07,129,0,129,99.2307692308
Toledo,CRX600,Jan-07,143,0,143,99.3055555556
Toledo,CRX600,Feb-07,143,0,143,99.3055555556
Toledo,CRX600,Mar-07,143,0,143,99.3055555556
Toledo,CRX650,Jan-07,104,104,0,0.0
Toledo,CRX650,Feb-07,104,104,0,0.0
Toledo,CRX650,Mar-07,104,104,0,0.0
Bucarest,200S,Jan-07,210,210,0,0.0
Bucarest,200S,Feb-07,210,210,0,0.0
Bucarest,200S,Mar-07,210,210,0,0.0
Bucarest,300S,Jan-07,84,84,0,0.0
Bucarest,300S,Feb-07,84,84,0,0.0
Bucarest,300S,Mar-07,84,84,0,0.0
Bucarest,600S,Jan-07,251,251,0,0.0
Bucarest,600S,Feb-07,251,251,0,0.0
Bucarest,600S,Mar-07,251,251,0,0.0
Bucarest,626S,Jan-07,195,0,195,99.4897959184
Bucarest,626S,Feb-07,195,0,195,99.4897959184
Bucarest,626S,Mar-07,195,0,195,99.4897959184
Bucarest,676S,Jan-07,97,0,97,98.9795918367
Bucarest,676S,Feb-07,97,0,97,98.9795918367
Bucarest,676S,Mar-07,97,0,97,98.9795918367
Bucarest,676RS,Jan-07,152,152,0,0.0
Bucarest,676RS,Feb-07,152,152,0,0.0
Bucarest,676RS,Mar-07,152,152,0,0.0
Bucarest,900S,Jan-07,214,12,202,93.9534883721
Bucarest,900S,Feb-07,214,18,196,91.1627906977
Bucarest,900S,Mar-07,214,3,211,98.1395348837
Bucarest,929S,Jan-07,267,267,0,0.0
Bucarest,929S,Feb-07,267,267,0,0.0
Bucarest,929S,Mar-07,267,267,0,0.0
Bucarest,996S,Jan-07,44,44,0,0.0
Bucarest,996S,Feb-07,44,44,0,0.0
Bucarest,996S,Mar-07,44,44,0,0.0
Bucarest,996RS,Jan-07,151,53,98,64.4736842105
Bucarest,996RS,Feb-07,151,77,74,48.6842105263
Bucarest,996RS,Mar-07,151,70,81,53.2894736842
Bucarest,RoadStar,Jan-07,150,0,150,99.3377483444
Bucarest,RoadStar,Feb-07,150,2,148,98.0132450331
Bucarest,RoadStar,Mar-07,150,0,150,99.3377483444
Bucarest,RoadLiner,Jan-07,65,0,65,98.4848484848
Bucarest,RoadLiner,Feb-07,65,0,65,98.4848484848
Bucarest,RoadLiner,Mar-07,65,0,65,98.4848484848
Bucarest,Victory,Jan-07,274,262,12,4.36363636364
Bucarest,Victory,Feb-07,274,217,57,20.7272727273
Bucarest,Victory,Mar-07,274,147,127,46.1818181818
Bucarest,Boulevard,Jan-07,173,172,1,0.574712643678
Bucarest,Boulevard,Feb-07,173,173,0,0.0
Bucarest,Boulevard,Mar-07,173,173,0,0.0
Bucarest,KingTwin,Jan-07,190,190,0,0.0
Bucarest,KingTwin,Feb-07,190,190,0,0.0
Bucarest,KingTwin,Mar-07,190,190,0,0.0
Bucarest,MegaTwin,Jan-07,163,163,0,0.0
Bucarest,MegaTwin,Feb-07,163,163,0,0.0
Bucarest,MegaTwin,Mar-07,163,163,0,0.0
Bucarest,ST900,Jan-07,216,0,216,99.5391705069
Bucarest,ST900,Feb-07,216,0,216,99.5391705069
Bucarest,ST900,Mar-07,216,0,216,99.5391705069
Bucarest,ST1200,Jan-07,204,204,0,0.0
Bucarest,ST1200,Feb-07,204,204,0,0.0
Bucarest,ST1200,Mar-07,204,204,0,0.0
Bucarest,ST1200R,Jan-07,207,0,207,99.5192307692
Bucarest,ST1200R,Feb-07,207,0,207,99.5192307692
Bucarest,ST1200R,Mar-07,207,0,207,99.5192307692
Bucarest,Bandit 900,Jan-07,268,0,268,99.6282527881
Bucarest,Bandit 900,Feb-07,268,0,268,99.6282527881
Bucarest,Bandit 900,Mar-07,268,0,268,99.6282527881
