machine,day,production
M-25,Day-17,125
M-25,Day-18,84
M-25,Day-19,98
M-25,Day-20,124
M-26,Day-01,90
M-26,Day-02,73
M-26,Day-03,68
M-26,Day-04,65
M-26,Day-05,66
M-26,Day-06,69
M-26,Day-07,90
M-26,Day-08,75
M-26,Day-09,84
M-26,Day-10,90
M-26,Day-11,83
M-26,Day-12,68
M-26,Day-13,67
M-26,Day-14,82
M-26,Day-15,89
M-26,Day-16,81
M-26,Day-17,66
M-26,Day-18,90
M-26,Day-19,71
M-26,Day-20,68
M-27,Day-01,83
M-27,Day-02,79
M-27,Day-03,67
M-27,Day-04,60
M-27,Day-05,65
M-27,Day-06,68
M-27,Day-07,62
M-27,Day-08,64
M-27,Day-09,78
M-27,Day-10,81
M-27,Day-11,64
M-27,Day-12,60
M-27,Day-13,66
M-27,Day-14,58
M-27,Day-15,74
M-27,Day-16,64
M-27,Day-17,67
M-27,Day-18,76
M-27,Day-19,81
M-27,Day-20,70
M-28,Day-01,60
M-28,Day-02,61
M-28,Day-03,75
M-28,Day-04,89
M-28,Day-05,85
M-28,Day-06,80
M-28,Day-07,68
M-28,Day-08,73
M-28,Day-09,75
M-28,Day-10,80
M-28,Day-11,72
M-28,Day-12,61
M-28,Day-13,71
M-28,Day-14,81
M-28,Day-15,83
M-28,Day-16,69
M-28,Day-17,64
M-28,Day-18,75
M-28,Day-19,85
M-28,Day-20,64
M-29,Day-01,70
M-29,Day-02,74
M-29,Day-03,94
M-29,Day-04,93
M-29,Day-05,94
M-29,Day-06,75
M-29,Day-07,78
M-29,Day-08,101
M-29,Day-09,94
M-29,Day-10,97
M-29,Day-11,88
M-29,Day-12,84
M-29,Day-13,71
M-29,Day-14,78
M-29,Day-15,86
M-29,Day-16,101
M-29,Day-17,70
M-29,Day-18,70
M-29,Day-19,70
M-29,Day-20,92
M-30,Day-01,120
M-30,Day-02,117
M-30,Day-03,96
M-30,Day-04,108
M-30,Day-05,89
M-30,Day-06,106
M-30,Day-07,114
M-30,Day-08,108
M-30,Day-09,93
M-30,Day-10,117
M-30,Day-11,117
M-30,Day-12,120
M-30,Day-13,120
M-30,Day-14,120
M-30,Day-15,120
M-30,Day-16,120
M-30,Day-17,117
M-30,Day-18,118
M-30,Day-19,108
M-30,Day-20,120
M-31,Day-01,94
M-31,Day-02,93
M-31,Day-03,114
M-31,Day-04,91
M-31,Day-05,94
M-31,Day-06,122
M-31,Day-07,89
M-31,Day-08,126
M-31,Day-09,110
M-31,Day-10,92
M-31,Day-11,125
M-31,Day-12,121
M-31,Day-13,112
M-31,Day-14,107
M-31,Day-15,89
M-31,Day-16,124
M-31,Day-17,101
M-31,Day-18,105
M-31,Day-19,111
M-31,Day-20,86
M-32,Day-01,88
M-32,Day-02,78
M-32,Day-03,83
M-32,Day-04,75
M-32,Day-05,71
M-32,Day-06,71
M-32,Day-07,70
M-32,Day-08,76
M-32,Day-09,93
M-32,Day-10,70
M-32,Day-11,85
M-32,Day-12,101
M-32,Day-13,91
M-32,Day-14,88
M-32,Day-15,74
M-32,Day-16,101
M-32,Day-17,83
M-32,Day-18,103
M-32,Day-19,88
M-32,Day-20,68
M-33,Day-01,89
M-33,Day-02,86
M-33,Day-03,74
M-33,Day-04,91
M-33,Day-05,76
M-33,Day-06,98
M-33,Day-07,92
M-33,Day-08,77
M-33,Day-09,82
M-33,Day-10,76
M-33,Day-11,97
M-33,Day-12,104
M-33,Day-13,81
M-33,Day-14,81
M-33,Day-15,76
M-33,Day-16,77
M-33,Day-17,109
M-33,Day-18,103
M-33,Day-19,77
M-33,Day-20,110
M-34,Day-01,75
M-34,Day-02,74
M-34,Day-03,82
M-34,Day-04,90
M-34,Day-05,79
M-34,Day-06,92
M-34,Day-07,98
M-34,Day-08,98
M-34,Day-09,65
M-34,Day-10,92
M-34,Day-11,76
M-34,Day-12,94
M-34,Day-13,75
M-34,Day-14,69
M-34,Day-15,68
M-34,Day-16,68
M-34,Day-17,67
M-34,Day-18,73
M-34,Day-19,85
M-34,Day-20,73
M-35,Day-01,76
M-35,Day-02,86
M-35,Day-03,73
M-35,Day-04,83
M-35,Day-05,85
M-35,Day-06,68
M-35,Day-07,83
M-35,Day-08,65
M-35,Day-09,65
M-35,Day-10,90
M-35,Day-11,75
M-35,Day-12,84
M-35,Day-13,88
M-35,Day-14,90
M-35,Day-15,73
M-35,Day-16,85
M-35,Day-17,85
M-35,Day-18,82
M-35,Day-19,90
M-35,Day-20,64
M-36,Day-01,100
M-36,Day-02,100
M-36,Day-03,100
M-36,Day-04,100
M-36,Day-05,92
M-36,Day-06,79
M-36,Day-07,75
M-36,Day-08,79
M-36,Day-09,86
M-36,Day-10,80
M-36,Day-11,100
M-36,Day-12,76
M-36,Day-13,79
M-36,Day-14,99
M-36,Day-15,100
M-36,Day-16,84
M-36,Day-17,100
M-36,Day-18,84
M-36,Day-19,77
M-36,Day-20,96
M-37,Day-01,111
M-37,Day-02,96
M-37,Day-03,109
M-37,Day-04,114
M-37,Day-05,130
M-37,Day-06,130
M-37,Day-07,123
M-37,Day-08,98
M-37,Day-09,101
M-37,Day-10,121
M-37,Day-11,115
M-37,Day-12,130
M-37,Day-13,127
M-37,Day-14,130
M-37,Day-15,97
M-37,Day-16,130
M-37,Day-17,128
M-37,Day-18,125
M-37,Day-19,124
M-37,Day-20,127
M-38,Day-01,100
M-38,Day-02,83
M-38,Day-03,79
M-38,Day-04,100
M-38,Day-05,100
M-38,Day-06,100
M-38,Day-07,100
M-38,Day-08,78
M-38,Day-09,80
M-38,Day-10,100
M-38,Day-11,97
M-38,Day-12,80
M-38,Day-13,100
M-38,Day-14,90
M-38,Day-15,85
M-38,Day-16,91
M-38,Day-17,79
M-38,Day-18,87
M-38,Day-19,78
M-38,Day-20,95
M-39,Day-01,74
M-39,Day-02,80
M-39,Day-03,80
M-39,Day-04,60
M-39,Day-05,61
M-39,Day-06,73
M-39,Day-07,66
M-39,Day-08,58
M-39,Day-09,72
M-39,Day-10,69
M-39,Day-11,57
M-39,Day-12,75
M-39,Day-13,63
M-39,Day-14,80
M-39,Day-15,65
M-39,Day-16,80
M-39,Day-17,72
M-39,Day-18,66
M-39,Day-19,79
M-39,Day-20,60
M-40,Day-01,103
M-40,Day-02,90
M-40,Day-03,110
M-40,Day-04,90
M-40,Day-05,101
M-40,Day-06,88
M-40,Day-07,92
M-40,Day-08,102
M-40,Day-09,110
M-40,Day-10,108
M-40,Day-11,110
M-40,Day-12,110
M-40,Day-13,92
M-40,Day-14,96
M-40,Day-15,110
M-40,Day-16,100
M-40,Day-17,110
M-40,Day-18,110
M-40,Day-19,96
M-40,Day-20,86
M-41,Day-01,86
M-41,Day-02,78
M-41,Day-03,73
M-41,Day-04,76
M-41,Day-05,73
M-41,Day-06,73
M-41,Day-07,108
M-41,Day-08,110
M-41,Day-09,83
M-41,Day-10,101
M-41,Day-11,97
M-41,Day-12,94
M-41,Day-13,110
M-41,Day-14,103
M-41,Day-15,97
M-41,Day-16,110
M-41,Day-17,91
M-41,Day-18,95
M-41,Day-19,81
M-41,Day-20,89
M-42,Day-01,140
M-42,Day-02,130
M-42,Day-03,137
M-42,Day-04,140
M-42,Day-05,140
M-42,Day-06,139
M-42,Day-07,121
M-42,Day-08,140
M-42,Day-09,140
M-42,Day-10,137
M-42,Day-11,127
M-42,Day-12,140
M-42,Day-13,140
M-42,Day-14,132
M-42,Day-15,109
M-42,Day-16,122
M-42,Day-17,126
M-42,Day-18,140
M-42,Day-19,140
M-42,Day-20,140
M-43,Day-01,96
M-43,Day-02,100
M-43,Day-03,90
M-43,Day-04,87
M-43,Day-05,100
M-43,Day-06,100
M-43,Day-07,88
M-43,Day-08,79
M-43,Day-09,94
M-43,Day-10,74
M-43,Day-11,100
M-43,Day-12,90
M-43,Day-13,80
M-43,Day-14,82
M-43,Day-15,100
M-43,Day-16,87
M-43,Day-17,83
M-43,Day-18,96
M-43,Day-19,74
M-43,Day-20,95
M-44,Day-01,80
M-44,Day-02,80
M-44,Day-03,80
M-44,Day-04,76
M-44,Day-05,80
M-44,Day-06,71
M-44,Day-07,69
M-44,Day-08,80
M-44,Day-09,70
M-44,Day-10,80
M-44,Day-11,69
M-44,Day-12,80
M-44,Day-13,75
M-44,Day-14,80
M-44,Day-15,80
M-44,Day-16,68
M-44,Day-17,68
M-44,Day-18,80
M-44,Day-19,79
M-44,Day-20,80
M-45,Day-01,113
M-45,Day-02,116
M-45,Day-03,133
M-45,Day-04,115
M-45,Day-05,140
M-45,Day-06,116
M-45,Day-07,104
M-45,Day-08,120
M-45,Day-09,138
M-45,Day-10,129
M-45,Day-11,118
M-45,Day-12,109
M-45,Day-13,122
M-45,Day-14,132
M-45,Day-15,128
M-45,Day-16,107
M-45,Day-17,112
M-45,Day-18,103
M-45,Day-19,140
M-45,Day-20,137
M-46,Day-01,83
M-46,Day-02,87
M-46,Day-03,65
M-46,Day-04,65
M-46,Day-05,64
M-46,Day-06,59
M-46,Day-07,68
M-46,Day-08,79
M-46,Day-09,88
M-46,Day-10,66
M-46,Day-11,74
M-46,Day-12,62
M-46,Day-13,81
M-46,Day-14,61
M-46,Day-15,76
M-46,Day-16,85
M-46,Day-17,85
M-46,Day-18,88
M-46,Day-19,65
M-46,Day-20,63
M-47,Day-01,90
M-47,Day-02,85
M-47,Day-03,81
M-47,Day-04,86
M-47,Day-05,81
M-47,Day-06,73
M-47,Day-07,84
M-47,Day-08,84
M-47,Day-09,71
M-47,Day-10,87
M-47,Day-11,90
M-47,Day-12,80
M-47,Day-13,66
M-47,Day-14,90
M-47,Day-15,65
M-47,Day-16,87
M-47,Day-17,71
M-47,Day-18,69
M-47,Day-19,88
M-47,Day-20,83
M-48,Day-01,109
M-48,Day-02,97
M-48,Day-03,88
M-48,Day-04,96
M-48,Day-05,100
M-48,Day-06,85
M-48,Day-07,85
M-48,Day-08,95
M-48,Day-09,78
M-48,Day-10,107
M-48,Day-11,82
M-48,Day-12,87
M-48,Day-13,73
M-48,Day-14,75
M-48,Day-15,78
M-48,Day-16,88
M-48,Day-17,99
M-48,Day-18,80
M-48,Day-19,108
M-48,Day-20,104
M-49,Day-01,88
M-49,Day-02,87
M-49,Day-03,89
M-49,Day-04,82
M-49,Day-05,96
M-49,Day-06,79
M-49,Day-07,81
M-49,Day-08,78
M-49,Day-09,90
M-49,Day-10,90
M-49,Day-11,78
M-49,Day-12,85
M-49,Day-13,107
M-49,Day-14,101
M-49,Day-15,74
M-49,Day-16,80
M-49,Day-17,82
M-49,Day-18,85
M-49,Day-19,110
M-49,Day-20,104
M-50,Day-01,97
M-50,Day-02,86
M-50,Day-03,98
M-50,Day-04,99
M-50,Day-05,106
M-50,Day-06,106
M-50,Day-07,115
M-50,Day-08,102
M-50,Day-09,106
M-50,Day-10,112
M-50,Day-11,112
M-50,Day-12,79
M-50,Day-13,96
M-50,Day-14,95
M-50,Day-15,102
M-50,Day-16,94
M-50,Day-17,100
M-50,Day-18,106
M-50,Day-19,110
M-50,Day-20,103
M-51,Day-01,99
M-51,Day-02,86
M-51,Day-03,100
M-51,Day-04,118
M-51,Day-05,106
M-51,Day-06,91
M-51,Day-07,94
M-51,Day-08,100
M-51,Day-09,113
M-51,Day-10,87
M-51,Day-11,84
M-51,Day-12,83
M-51,Day-13,105
M-51,Day-14,97
M-51,Day-15,89
M-51,Day-16,92
M-51,Day-17,100
M-51,Day-18,89
M-51,Day-19,97
M-51,Day-20,120
M-52,Day-01,110
M-52,Day-02,107
M-52,Day-03,106
M-52,Day-04,91
M-52,Day-05,90
M-52,Day-06,99
M-52,Day-07,84
M-52,Day-08,109
M-52,Day-09,88
M-52,Day-10,110
M-52,Day-11,105
M-52,Day-12,110
M-52,Day-13,89
M-52,Day-14,95
M-52,Day-15,91
M-52,Day-16,83
M-52,Day-17,110
M-52,Day-18,96
M-52,Day-19,89
M-52,Day-20,110
M-53,Day-01,68
M-53,Day-02,79
M-53,Day-03,70
M-53,Day-04,91
M-53,Day-05,77
M-53,Day-06,74
M-53,Day-07,88
M-53,Day-08,77
M-53,Day-09,74
M-53,Day-10,94
M-53,Day-11,86
M-53,Day-12,87
M-53,Day-13,92
M-53,Day-14,72
M-53,Day-15,90
M-53,Day-16,66
M-53,Day-17,95
M-53,Day-18,69
M-53,Day-19,69
M-53,Day-20,90
M-54,Day-01,80
M-54,Day-02,70
M-54,Day-03,71
M-54,Day-04,69
M-54,Day-05,80
M-54,Day-06,80
M-54,Day-07,62
M-54,Day-08,78
M-54,Day-09,60
M-54,Day-10,80
M-54,Day-11,80
M-54,Day-12,67
M-54,Day-13,80
M-54,Day-14,67
M-54,Day-15,75
M-54,Day-16,68
M-54,Day-17,66
M-54,Day-18,80
M-54,Day-19,72
M-54,Day-20,80
M-55,Day-01,119
M-55,Day-02,96
M-55,Day-03,104
M-55,Day-04,88
M-55,Day-05,117
M-55,Day-06,85
M-55,Day-07,116
M-55,Day-08,106
M-55,Day-09,117
M-55,Day-10,113
M-55,Day-11,116
M-55,Day-12,107
M-55,Day-13,96
M-55,Day-14,108
M-55,Day-15,88
M-55,Day-16,113
M-55,Day-17,104
M-55,Day-18,106
M-55,Day-19,123
M-55,Day-20,116
M-56,Day-01,99
M-56,Day-02,129
M-56,Day-03,104
M-56,Day-04,92
M-56,Day-05,108
M-56,Day-06,109
M-56,Day-07,123
M-56,Day-08,96
M-56,Day-09,95
M-56,Day-10,108
M-56,Day-11,112
M-56,Day-12,127
M-56,Day-13,96
M-56,Day-14,111
M-56,Day-15,99
M-56,Day-16,122
M-56,Day-17,98
M-56,Day-18,109
M-56,Day-19,117
M-56,Day-20,117
M-57,Day-01,54
M-57,Day-02,60
M-57,Day-03,64
M-57,Day-04,68
M-57,Day-05,72
M-57,Day-06,61
M-57,Day-07,60
M-57,Day-08,71
M-57,Day-09,60
M-57,Day-10,71
M-57,Day-11,72
M-57,Day-12,53
M-57,Day-13,59
M-57,Day-14,54
M-57,Day-15,57
M-57,Day-16,53
M-57,Day-17,59
M-57,Day-18,49
M-57,Day-19,71
M-57,Day-20,51
M-58,Day-01,110
M-58,Day-02,79
M-58,Day-03,95
M-58,Day-04,99
M-58,Day-05,107
M-58,Day-06,91
M-58,Day-07,103
M-58,Day-08,104
M-58,Day-09,110
M-58,Day-10,110
M-58,Day-11,103
M-58,Day-12,82
M-58,Day-13,108
M-58,Day-14,110
M-58,Day-15,110
M-58,Day-16,103
M-58,Day-17,90
M-58,Day-18,103
M-58,Day-19,90
M-58,Day-20,96
M-59,Day-01,80
M-59,Day-02,104
M-59,Day-03,98
M-59,Day-04,81
M-59,Day-05,75
M-59,Day-06,99
M-59,Day-07,77
M-59,Day-08,69
M-59,Day-09,84
M-59,Day-10,84
M-59,Day-11,95
M-59,Day-12,93
M-59,Day-13,83
M-59,Day-14,87
M-59,Day-15,82
M-59,Day-16,102
M-59,Day-17,81
M-59,Day-18,100
M-59,Day-19,104
M-59,Day-20,73
M-60,Day-01,68
M-60,Day-02,65
M-60,Day-03,71
M-60,Day-04,69
M-60,Day-05,90
M-60,Day-06,63
M-60,Day-07,83
M-60,Day-08,78
M-60,Day-09,73
M-60,Day-10,67
M-60,Day-11,89
M-60,Day-12,90
M-60,Day-13,86
M-60,Day-14,65
M-60,Day-15,63
M-60,Day-16,85
M-60,Day-17,72
M-60,Day-18,82
M-60,Day-19,79
M-60,Day-20,82
M-61,Day-01,140
M-61,Day-02,102
M-61,Day-03,132
M-61,Day-04,104
M-61,Day-05,139
M-61,Day-06,127
M-61,Day-07,150
M-61,Day-08,143
M-61,Day-09,134
M-61,Day-10,143
M-61,Day-11,102
M-61,Day-12,135
M-61,Day-13,124
M-61,Day-14,121
M-61,Day-15,142
M-61,Day-16,141
M-61,Day-17,122
M-61,Day-18,109
M-61,Day-19,147
M-61,Day-20,141
M-62,Day-01,66
M-62,Day-02,80
M-62,Day-03,71
M-62,Day-04,72
M-62,Day-05,59
M-62,Day-06,57
M-62,Day-07,66
M-62,Day-08,74
M-62,Day-09,57
M-62,Day-10,80
M-62,Day-11,75
M-62,Day-12,62
M-62,Day-13,71
M-62,Day-14,72
M-62,Day-15,57
M-62,Day-16,66
M-62,Day-17,78
M-62,Day-18,66
M-62,Day-19,80
M-62,Day-20,80
M-63,Day-01,80
M-63,Day-02,82
M-63,Day-03,88
M-63,Day-04,92
M-63,Day-05,77
M-63,Day-06,77
M-63,Day-07,73
M-63,Day-08,100
M-63,Day-09,73
M-63,Day-10,75
M-63,Day-11,92
M-63,Day-12,78
M-63,Day-13,88
M-63,Day-14,84
M-63,Day-15,92
M-63,Day-16,77
M-63,Day-17,95
M-63,Day-18,85
M-63,Day-19,95
M-63,Day-20,82
M-64,Day-01,48
M-64,Day-02,58
M-64,Day-03,58
M-64,Day-04,47
M-64,Day-05,56
M-64,Day-06,54
M-64,Day-07,47
M-64,Day-08,53
M-64,Day-09,59
M-64,Day-10,64
M-64,Day-11,67
