CustomerID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV
C-10210,F,Women's Sportwear,137.623,YES,Mobile,13762.3
C-10211,F,Women's Career,303.099,NO,Email,30309.9
C-10212,M,Women's Shoes,103.719,YES,Mobile,10371.9
C-10214,M,Men's Casual,291.748,YES,Direct Mail,29174.8
C-10219,M,Women's Shoes,468.983,YES,Mobile,46898.3
C-10220,F,Men's Sportswear,137.837,NO,Mobile,13783.7
C-10221,F,Men's Career,330.618,YES,Direct Mail,33061.8
C-10222,F,Home goods,385.113,YES,Direct Mail,38511.3
C-10225,M,Women's Sportwear,374.844,NO,Mobile,37484.4
C-10226,M,Women's Career,267.732,YES,Email,26773.2
C-10227,M,Women's Shoes,282.755,NO,Mobile,28275.5
C-10228,F,Men's Casual,416.178,NO,Mobile,41617.8
C-10229,M,Women's Shoes,118.442,YES,Email,11844.2
C-10235,M,Men's Sportswear,130.578,YES,Direct Mail,13057.8
C-10239,M,Men's Career,195.369,NO,Email,19536.9
C-10243,F,Home goods,388.062,YES,Mobile,38806.2
C-10244,F,Women's Sportwear,321.216,NO,Email,32121.6
C-10245,M,Women's Career,433.149,YES,Direct Mail,43314.9
C-10248,M,Women's Shoes,416.457,NO,Mobile,41645.7
C-10250,M,Men's Casual,392.378,NO,Email,39237.8
C-10252,F,Women's Shoes,106.201,NO,Mobile,10620.1
C-10253,M,Men's Sportswear,105.365,NO,Email,10536.5
C-10254,F,Men's Career,491.775,NO,Email,49177.5
C-10256,M,Home goods,484.029,YES,Mobile,48402.9
C-10257,F,Women's Sportwear,157.157,YES,Mobile,15715.7
C-10260,M,Women's Career,262.512,YES,Direct Mail,26251.2
C-10263,F,Women's Shoes,457.963,YES,Mobile,45796.3
C-10264,F,Men's Casual,247.919,NO,Mobile,24791.9
C-10265,F,Women's Shoes,263.483,NO,Mobile,26348.3
C-10266,M,Men's Sportswear,355.435,YES,Email,35543.5
C-10267,M,Men's Career,304.26,NO,Mobile,30426
C-10268,F,Home goods,427.131,NO,Email,42713.1
C-10277,M,Women's Sportwear,285.341,NO,Email,28534.1
C-10278,M,Women's Career,312.009,NO,Email,31200.9
C-10281,M,Women's Shoes,462.7,YES,Mobile,46270
C-10284,M,Men's Casual,178.948,YES,Direct Mail,17894.8
C-10286,F,Women's Shoes,370.252,YES,Email,37025.2
C-10289,F,Men's Sportswear,223.043,YES,Mobile,22304.3
C-10290,F,Men's Career,359.38,YES,Email,35938
C-10294,M,Home goods,243.263,NO,Email,24326.3
C-10295,M,Women's Sportwear,449.991,YES,Mobile,44999.1
C-10297,F,Women's Career,378.721,NO,Mobile,37872.1
C-10299,M,Women's Shoes,192.134,YES,Mobile,19213.4
C-10300,F,Men's Casual,379.016,NO,Email,37901.6
C-10303,M,Women's Shoes,476.595,NO,Direct Mail,47659.5
C-10311,M,Men's Sportswear,288.615,NO,Direct Mail,28861.5
C-10313,F,Men's Career,246.707,NO,Email,24670.7
C-10314,M,Home goods,280.024,YES,Direct Mail,28002.4
C-10315,F,Women's Sportwear,486.794,NO,Direct Mail,48679.4
C-10316,M,Women's Career,473.606,YES,Direct Mail,47360.6
C-10317,F,Women's Shoes,171.818,NO,Email,17181.8
C-10318,F,Men's Casual,254.945,NO,Direct Mail,25494.5
C-10319,F,Women's Shoes,282.63,NO,Mobile,28263
C-10321,M,Men's Sportswear,157.228,NO,Direct Mail,15722.8
C-10322,F,Men's Career,336.065,YES,Direct Mail,33606.5
C-10323,F,Home goods,135.32,YES,Direct Mail,13532
C-10330,F,Women's Sportwear,163.704,YES,Mobile,16370.4
C-10332,F,Women's Career,364.26,YES,Mobile,36426
C-10333,M,Women's Shoes,353.706,NO,Direct Mail,35370.6
C-10337,F,Men's Casual,250.55,YES,Email,25055
C-10338,F,Women's Shoes,395.248,NO,Email,39524.8
C-10339,F,Men's Sportswear,181.98,YES,Mobile,18198
C-10342,F,Men's Career,318.923,YES,Mobile,31892.3
C-10343,M,Home goods,352.808,YES,Email,35280.8
C-10346,F,Women's Sportwear,163.51,YES,Email,16351
C-10348,M,Women's Career,100.07,YES,Direct Mail,10007
C-10349,M,Women's Shoes,430.066,NO,Email,43006.6
C-10350,F,Men's Casual,126.214,NO,Direct Mail,12621.4
C-10351,F,Women's Shoes,295.62,YES,Email,29562
C-10359,M,Men's Sportswear,193.672,NO,Email,19367.2
C-10363,M,Men's Career,228.535,NO,Direct Mail,22853.5
C-10364,M,Home goods,320.161,YES,Mobile,32016.1
C-10367,F,Women's Sportwear,225.684,YES,Direct Mail,22568.4
C-10368,M,Women's Career,254.795,YES,Direct Mail,25479.5
C-10369,F,Women's Shoes,230.214,YES,Mobile,23021.4
C-10376,M,Men's Casual,385.314,NO,Email,38531.4
C-10380,M,Women's Shoes,235.058,NO,Direct Mail,23505.8
C-10381,F,Men's Sportswear,274.252,NO,Mobile,27425.2
C-10383,F,Men's Career,250.338,YES,Direct Mail,25033.8
C-10384,M,Home goods,189.589,YES,Email,18958.9
C-10387,M,Women's Sportwear,371.385,NO,Email,37138.5
C-10388,M,Women's Career,107.717,NO,Mobile,10771.7
C-10389,F,Women's Shoes,101.074,YES,Mobile,10107.4
C-10390,M,Men's Casual,201.004,YES,Email,20100.4
C-10391,F,Women's Shoes,427.908,YES,Mobile,42790.8
C-10398,F,Men's Sportswear,144.497,YES,Mobile,14449.7
C-10401,M,Men's Career,182.937,YES,Email,18293.7
C-10403,M,Home goods,248.16,YES,Mobile,24816
C-10404,M,Women's Sportwear,391.701,NO,Direct Mail,39170.1
C-10406,F,Women's Career,164.835,NO,Mobile,16483.5
C-10407,F,Women's Shoes,424.343,NO,Email,42434.3
C-10408,F,Men's Casual,134.218,YES,Mobile,13421.8
C-10410,M,Women's Shoes,189.591,YES,Mobile,18959.1
C-10411,M,Men's Sportswear,187.711,YES,Email,18771.1
C-10412,F,Men's Career,146.823,NO,Mobile,14682.3
C-10413,F,Home goods,100.455,NO,Mobile,10045.5
C-10415,M,Women's Sportwear,396.497,NO,Email,39649.7
C-10417,F,Women's Career,445.153,NO,Direct Mail,44515.3
C-10423,F,Women's Shoes,136.361,NO,Email,13636.1
C-10424,F,Men's Casual,121.84,NO,Mobile,12184
C-10426,F,Women's Shoes,297.785,NO,Mobile,29778.5
C-10427,F,Men's Sportswear,484.566,NO,Mobile,48456.6
C-10428,M,Men's Career,388.491,YES,Email,38849.1
C-10430,F,Home goods,139.176,NO,Direct Mail,13917.6
C-10435,M,Women's Sportwear,317.001,YES,Direct Mail,31700.1
C-10436,M,Women's Career,428.985,NO,Email,42898.5
C-10438,M,Women's Shoes,142.814,NO,Mobile,14281.4
C-10439,F,Men's Casual,269.282,YES,Mobile,26928.2
C-10440,F,Women's Shoes,394.489,YES,Mobile,39448.9
C-10442,F,Men's Sportswear,180.798,YES,Direct Mail,18079.8
C-10444,M,Men's Career,482.751,YES,Email,48275.1
C-10446,F,Home goods,208.812,YES,Mobile,20881.2
C-10452,M,Women's Sportwear,317.275,NO,Email,31727.5
C-10455,M,Women's Career,339.607,NO,Mobile,33960.7
C-10457,M,Women's Shoes,303.916,YES,Email,30391.6
C-10458,F,Men's Casual,274.881,YES,Email,27488.1
C-10459,M,Women's Shoes,318.011,NO,Email,31801.1
C-10460,M,Men's Sportswear,274.012,NO,Direct Mail,27401.2
C-10466,M,Men's Career,262.061,NO,Email,26206.1
C-10470,F,Home goods,183.878,YES,Mobile,18387.8
C-10471,M,Women's Sportwear,313.192,YES,Mobile,31319.2
C-10472,M,Women's Career,205.285,YES,Mobile,20528.5
C-10474,F,Women's Shoes,430.394,NO,Mobile,43039.4
C-10475,F,Men's Casual,266.378,YES,Mobile,26637.8
C-10476,F,Women's Shoes,107.127,YES,Email,10712.7
C-10477,M,Men's Sportswear,178.916,NO,Email,17891.6
C-10478,M,Men's Career,237.441,YES,Direct Mail,23744.1
C-10479,F,Home goods,113.005,YES,Mobile,11300.5
C-10481,M,Women's Sportwear,412.711,NO,Email,41271.1
C-10485,F,Women's Career,277.268,YES,Email,27726.8
C-10486,M,Women's Shoes,146.112,YES,Mobile,14611.2
C-10487,F,Men's Casual,134.513,YES,Email,13451.3
C-10488,M,Women's Shoes,312.737,NO,Email,31273.7
C-10490,F,Men's Sportswear,453.427,YES,Mobile,45342.7
C-10492,M,Men's Career,276.974,YES,Mobile,27697.4
C-10494,F,Home goods,409.303,YES,Mobile,40930.3
C-10495,M,Women's Sportwear,222.591,YES,Email,22259.1
C-10496,M,Women's Career,417.166,NO,Mobile,41716.6
C-10499,F,Women's Shoes,294.585,NO,Email,29458.5
C-10500,F,Men's Casual,223.157,NO,Email,22315.7
C-10505,M,Women's Shoes,498.459,YES,Email,49845.9
C-10506,F,Men's Sportswear,205.744,YES,Direct Mail,20574.4
C-10507,F,Men's Career,319.368,NO,Email,31936.8
C-10508,M,Home goods,431.964,NO,Email,43196.4
C-10511,F,Women's Sportwear,345.366,YES,Mobile,34536.6
C-10512,F,Women's Career,386.017,YES,Email,38601.7
C-10513,F,Women's Shoes,400.773,NO,Mobile,40077.3
C-10514,F,Men's Casual,375.233,NO,Email,37523.3
C-10516,M,Women's Shoes,446.294,YES,Email,44629.4
C-10517,F,Men's Sportswear,313.296,NO,Direct Mail,31329.6
C-10518,F,Men's Career,317.774,YES,Direct Mail,31777.4
C-10520,M,Home goods,360.631,NO,Mobile,36063.1
C-10522,M,Women's Sportwear,457.417,NO,Direct Mail,45741.7
C-10527,M,Women's Career,207.784,YES,Email,20778.4
C-10528,F,Women's Shoes,344.437,NO,Email,34443.7
C-10529,F,Men's Casual,369.448,NO,Mobile,36944.8
C-10531,M,Women's Shoes,300.67,NO,Email,30067
C-10533,F,Men's Sportswear,307.868,YES,Email,30786.8
C-10537,F,Men's Career,223.177,YES,Email,22317.7
C-10538,F,Home goods,115.144,NO,Email,11514.4
C-10541,F,Women's Sportwear,398.296,YES,Direct Mail,39829.6
C-10542,M,Women's Career,382.717,NO,Mobile,38271.7
C-10543,F,Women's Shoes,128.47,NO,Email,12847
C-10544,F,Men's Casual,348.497,NO,Mobile,34849.7
C-10545,F,Women's Shoes,289.163,YES,Mobile,28916.3
C-10548,F,Men's Sportswear,425.534,NO,Email,42553.4
C-10549,M,Men's Career,305.434,NO,Mobile,30543.4
C-10551,M,Home goods,201.812,NO,Direct Mail,20181.2
C-10555,M,Women's Sportwear,424.567,NO,Mobile,42456.7
C-10556,M,Women's Career,179.591,YES,Mobile,17959.1
C-10557,M,Women's Shoes,402.274,NO,Email,40227.4
C-10561,M,Men's Casual,170.993,NO,Email,17099.3
C-10562,M,Women's Shoes,448.107,NO,Email,44810.7
C-10564,M,Men's Sportswear,338.642,NO,Email,33864.2
C-10565,F,Men's Career,213.633,YES,Email,21363.3
C-10571,M,Home goods,157.681,NO,Mobile,15768.1
C-10572,F,Women's Sportwear,358.494,YES,Direct Mail,35849.4
C-10573,F,Women's Career,285.154,NO,Email,28515.4
C-10577,F,Women's Shoes,373.617,NO,Mobile,37361.7
C-10580,M,Men's Casual,364.166,NO,Mobile,36416.6
C-10591,F,Women's Shoes,402.677,YES,Direct Mail,40267.7
C-10592,F,Men's Sportswear,400.868,NO,Email,40086.8
C-10594,F,Men's Career,106.184,NO,Email,10618.4
C-10595,F,Home goods,111.224,YES,Mobile,11122.4
C-10596,F,Women's Sportwear,367.285,YES,Mobile,36728.5
C-10598,F,Women's Career,351.487,NO,Direct Mail,35148.7
C-10601,M,Women's Shoes,275.083,YES,Mobile,27508.3
C-10604,F,Men's Casual,233.31,NO,Direct Mail,23331
C-10605,F,Women's Shoes,107.267,NO,Email,10726.7
C-10609,M,Men's Sportswear,497.316,YES,Mobile,49731.6
C-10614,F,Men's Career,373.485,NO,Email,37348.5
C-10615,F,Home goods,113.294,NO,Direct Mail,11329.4
C-10616,F,Women's Sportwear,348.889,NO,Email,34888.9
C-10618,F,Women's Career,375.762,YES,Direct Mail,37576.2
C-10619,M,Women's Shoes,183.099,NO,Email,18309.9
C-10620,F,Men's Casual,356.757,YES,Email,35675.7
C-10621,F,Women's Shoes,376.838,YES,Mobile,37683.8
C-10624,F,Men's Sportswear,437.48,NO,Mobile,43748
C-10625,M,Men's Career,347.872,NO,Direct Mail,34787.2
C-10626,F,Home goods,356.562,NO,Direct Mail,35656.2
C-10627,M,Women's Sportwear,314.868,NO,Direct Mail,31486.8
C-10628,M,Women's Career,358.231,YES,Mobile,35823.1
C-10629,M,Women's Shoes,129.477,NO,Mobile,12947.7
C-10632,F,Men's Casual,338.303,YES,Mobile,33830.3
C-10636,F,Women's Shoes,451.901,YES,Mobile,45190.1
C-10640,M,Men's Sportswear,141.216,NO,Email,14121.6
C-10646,M,Men's Career,156.793,NO,Mobile,15679.3
C-10647,F,Home goods,132.005,YES,Email,13200.5
C-10650,F,Women's Sportwear,461.507,YES,Mobile,46150.7
C-10656,M,Women's Career,473.234,NO,Direct Mail,47323.4
C-10658,M,Women's Shoes,303.759,NO,Mobile,30375.9
C-10660,F,Men's Casual,382.559,YES,Email,38255.9
C-10664,F,Women's Shoes,153.726,NO,Direct Mail,15372.6
C-10673,M,Men's Sportswear,239.357,NO,Email,23935.7
C-10674,M,Men's Career,320.691,NO,Email,32069.1
C-10675,F,Home goods,453.239,NO,Mobile,45323.9
C-10676,M,Women's Sportwear,230.638,YES,Direct Mail,23063.8
C-10677,M,Women's Career,151.133,NO,Email,15113.3
C-10678,M,Women's Shoes,206.815,YES,Email,20681.5
C-10680,F,Men's Casual,428.159,YES,Email,42815.9
C-10683,F,Women's Shoes,350.157,YES,Email,35015.7
C-10686,F,Men's Sportswear,169.603,NO,Direct Mail,16960.3
C-10687,M,Men's Career,266.278,YES,Email,26627.8
C-10689,F,Home goods,191.927,YES,Mobile,19192.7
C-10692,F,Women's Sportwear,100.926,YES,Direct Mail,10092.6
C-10694,F,Women's Career,341.082,NO,Email,34108.2
C-10695,M,Women's Shoes,327.656,NO,Direct Mail,32765.6
C-10696,F,Men's Casual,152.704,YES,Mobile,15270.4
C-10698,F,Women's Shoes,466.323,YES,Mobile,46632.3
C-10699,F,Men's Sportswear,294.064,NO,Mobile,29406.4
C-10701,M,Men's Career,141.309,YES,Email,14130.9
C-10703,M,Home goods,430.372,NO,Email,43037.2
C-10704,M,Women's Sportwear,325.518,NO,Email,32551.8
C-10707,M,Women's Career,370.037,YES,Mobile,37003.7
C-10708,M,Women's Shoes,494.132,YES,Mobile,49413.2
C-10710,M,Men's Casual,378.611,YES,Direct Mail,37861.1
C-10711,M,Women's Shoes,205.95,YES,Mobile,20595
C-10716,M,Men's Sportswear,491.922,YES,Mobile,49192.2
C-10718,M,Men's Career,344.236,YES,Email,34423.6
C-10722,F,Home goods,308.872,YES,Mobile,30887.2
C-10723,F,Women's Sportwear,277.032,NO,Direct Mail,27703.2
C-10725,M,Women's Career,209.462,YES,Email,20946.2
C-10730,M,Women's Shoes,438.622,YES,Mobile,43862.2
C-10732,F,Men's Casual,342.67,NO,Mobile,34267
C-10734,F,Women's Shoes,326.446,YES,Mobile,32644.6
C-10735,M,Men's Sportswear,270.515,YES,Email,27051.5
C-10736,F,Men's Career,442.831,YES,Mobile,44283.1
C-10737,M,Home goods,219.871,YES,Email,21987.1
C-10740,F,Women's Sportwear,285.955,NO,Email,28595.5
C-10744,F,Women's Career,149.647,YES,Email,14964.7
C-10745,M,Women's Shoes,109.737,NO,Email,10973.7
C-10746,M,Men's Casual,322.963,NO,Mobile,32296.3
C-10747,F,Women's Shoes,104.506,NO,Mobile,10450.6
C-10748,F,Men's Sportswear,356.814,YES,Direct Mail,35681.4
C-10749,F,Men's Career,328.053,NO,Mobile,32805.3
C-10751,F,Home goods,346.651,YES,Mobile,34665.1
C-10752,F,Women's Sportwear,202.332,NO,Email,20233.2
C-10756,M,Women's Career,153.56,YES,Mobile,15356
C-10757,F,Women's Shoes,409.979,YES,Mobile,40997.9
C-10758,F,Men's Casual,123.639,NO,Mobile,12363.9
C-10760,F,Women's Shoes,319.965,NO,Email,31996.5
C-10768,F,Men's Sportswear,143.918,YES,Email,14391.8
C-10769,F,Men's Career,119.753,NO,Mobile,11975.3
C-10770,F,Home goods,374.582,NO,Mobile,37458.2
C-10773,M,Women's Sportwear,159.9,NO,Direct Mail,15990
C-10775,M,Women's Career,138.168,YES,Email,13816.8
C-10776,F,Women's Shoes,245.056,YES,Email,24505.6
C-10777,F,Men's Casual,142.389,NO,Direct Mail,14238.9
C-10780,F,Women's Shoes,168.793,NO,Mobile,16879.3
C-10782,M,Men's Sportswear,453.683,NO,Email,45368.3
C-10786,F,Men's Career,292.526,YES,Email,29252.6
C-10791,M,Home goods,391.559,YES,Direct Mail,39155.9
C-10792,M,Women's Sportwear,158.347,NO,Mobile,15834.7
C-10793,M,Women's Career,209.511,YES,Direct Mail,20951.1
C-10796,F,Women's Shoes,436.042,NO,Email,43604.2
C-10802,M,Men's Casual,154.964,YES,Mobile,15496.4
C-10803,F,Women's Shoes,156.822,YES,Mobile,15682.2
C-10804,M,Men's Sportswear,220.941,YES,Mobile,22094.1
C-10805,F,Men's Career,335.584,YES,Email,33558.4
C-10807,F,Home goods,183.91,NO,Email,18391
C-10810,M,Women's Sportwear,458.037,NO,Email,45803.7
C-10811,F,Women's Career,304.368,YES,Email,30436.8
C-10814,F,Women's Shoes,234.241,YES,Email,23424.1
C-10815,F,Men's Casual,150.004,NO,Direct Mail,15000.4
C-10816,F,Women's Shoes,156.86,NO,Email,15686
C-10818,F,Men's Sportswear,278.2,NO,Mobile,27820
C-10819,M,Men's Career,467.406,YES,Direct Mail,46740.6
C-10820,F,Home goods,274.529,YES,Mobile,27452.9
C-10822,F,Women's Sportwear,309.04,YES,Direct Mail,30904
C-10824,F,Women's Career,414.07,NO,Email,41407
C-10825,M,Women's Shoes,131.647,YES,Email,13164.7
C-10826,F,Men's Casual,219.036,NO,Mobile,21903.6
C-10827,M,Women's Shoes,407.025,YES,Mobile,40702.5
C-10828,M,Men's Sportswear,459.486,NO,Mobile,45948.6
C-10829,F,Men's Career,136.452,YES,Email,13645.2
C-10830,M,Home goods,319.765,NO,Mobile,31976.5
C-10835,F,Women's Sportwear,169.724,NO,Mobile,16972.4
C-10839,F,Women's Career,220.32,NO,Email,22032
C-10840,M,Women's Shoes,127.641,YES,Direct Mail,12764.1
C-10844,F,Men's Casual,111.86,NO,Email,11186
C-10845,F,Women's Shoes,375.651,YES,Email,37565.1
C-10846,M,Men's Sportswear,394.947,NO,Mobile,39494.7
C-10847,F,Men's Career,328.363,YES,Email,32836.3
C-10848,F,Home goods,276.713,NO,Mobile,27671.3
C-10849,M,Women's Sportwear,181.849,NO,Email,18184.9
C-10850,F,Women's Career,236.794,YES,Email,23679.4
C-10852,M,Women's Shoes,108.529,YES,Mobile,10852.9
C-10853,M,Men's Casual,298.836,YES,Email,29883.6
C-10855,M,Women's Shoes,219.204,YES,Direct Mail,21920.4
C-10856,M,Men's Sportswear,362.776,YES,Mobile,36277.6
C-10857,M,Men's Career,485.787,NO,Email,48578.7
C-10859,F,Home goods,295.925,NO,Direct Mail,29592.5
C-10860,M,Women's Sportwear,372.821,YES,Mobile,37282.1
C-10861,F,Women's Career,298.575,NO,Mobile,29857.5
C-10862,M,Women's Shoes,104.233,YES,Direct Mail,10423.3
C-10870,F,Men's Casual,491.579,NO,Mobile,49157.9
C-10872,F,Women's Shoes,442.289,NO,Mobile,44228.9
C-10873,F,Men's Sportswear,126.097,NO,Mobile,12609.7
C-10874,F,Men's Career,441.181,NO,Direct Mail,44118.1
C-10875,M,Home goods,102.25,YES,Email,10225
C-10876,F,Women's Sportwear,114.154,YES,Mobile,11415.4
C-10878,M,Women's Career,173.355,YES,Email,17335.5
C-10884,M,Women's Shoes,223.248,NO,Email,22324.8
C-10885,M,Men's Casual,225.392,YES,Mobile,22539.2
C-10895,M,Women's Shoes,293.125,YES,Email,29312.5
C-10899,M,Men's Sportswear,127.214,YES,Email,12721.4
C-10901,M,Men's Career,340.689,YES,Mobile,34068.9
C-10902,F,Home goods,168.537,NO,Mobile,16853.7
C-10903,M,Women's Sportwear,189.32,YES,Mobile,18932
C-10905,F,Women's Career,409.484,NO,Mobile,40948.4
C-10909,M,Women's Shoes,308.594,NO,Mobile,30859.4
C-10910,F,Men's Casual,434.371,YES,Email,43437.1
C-10911,F,Women's Shoes,347.134,NO,Mobile,34713.4
C-10913,M,Men's Sportswear,230.974,NO,Direct Mail,23097.4
C-10916,F,Men's Career,377.352,NO,Direct Mail,37735.2
C-10917,M,Home goods,304.099,YES,Direct Mail,30409.9
C-10919,M,Women's Sportwear,213.634,NO,Email,21363.4
C-10920,F,Women's Career,490.675,NO,Direct Mail,49067.5
C-10921,M,Women's Shoes,396.015,YES,Mobile,39601.5
C-10923,M,Men's Casual,472.341,NO,Mobile,47234.1
C-10924,M,Women's Shoes,416.462,YES,Mobile,41646.2
C-10925,F,Men's Sportswear,188.207,NO,Mobile,18820.7
C-10928,F,Men's Career,269.621,NO,Direct Mail,26962.1
C-10933,F,Home goods,360.742,NO,Email,36074.2
C-10935,M,Women's Sportwear,462.79,NO,Email,46279
C-10936,F,Women's Career,204.889,YES,Mobile,20488.9
C-10940,M,Women's Shoes,165.348,NO,Email,16534.8
C-10942,M,Men's Casual,104.971,NO,Mobile,10497.1
C-10943,F,Women's Shoes,100.844,NO,Direct Mail,10084.4
C-10948,F,Men's Sportswear,167.073,YES,Mobile,16707.3
C-10949,F,Men's Career,215.804,NO,Mobile,21580.4
C-10950,M,Home goods,329.521,NO,Direct Mail,32952.1
C-10952,F,Women's Sportwear,134.226,YES,Email,13422.6
C-10953,F,Women's Career,401.01,YES,Mobile,40101
C-10954,M,Women's Shoes,204.104,NO,Mobile,20410.4
C-10955,F,Men's Casual,498.863,NO,Email,49886.3
C-10957,F,Women's Shoes,124.227,YES,Mobile,12422.7
C-10959,M,Men's Sportswear,353.369,NO,Mobile,35336.9
C-10961,M,Men's Career,310.65,YES,Mobile,31065
C-10964,F,Home goods,171.837,YES,Direct Mail,17183.7
C-10965,M,Women's Sportwear,284.132,YES,Direct Mail,28413.2
C-10967,M,Women's Career,112.731,NO,Mobile,11273.1
C-10969,M,Women's Shoes,119.099,NO,Direct Mail,11909.9
C-10970,F,Men's Casual,148.697,NO,Email,14869.7
C-10971,F,Women's Shoes,364.736,YES,Email,36473.6
C-10976,M,Men's Sportswear,291.981,YES,Mobile,29198.1
C-10977,F,Men's Career,439.948,YES,Direct Mail,43994.8
C-10978,M,Home goods,139.759,NO,Direct Mail,13975.9
C-10979,M,Women's Sportwear,195.378,YES,Mobile,19537.8
C-10980,F,Women's Career,247.818,YES,Mobile,24781.8
C-10983,F,Women's Shoes,372.746,NO,Direct Mail,37274.6
C-10984,M,Men's Casual,460.621,NO,Email,46062.1
C-10988,M,Women's Shoes,139.726,NO,Email,13972.6
C-10990,M,Men's Sportswear,116.576,NO,Email,11657.6
C-10992,F,Men's Career,346.469,NO,Mobile,34646.9
C-10996,F,Home goods,187.964,YES,Email,18796.4
C-11002,F,Women's Sportwear,158.755,NO,Email,15875.5
C-11003,F,Women's Career,448.521,YES,Mobile,44852.1
C-11005,F,Women's Shoes,156.201,NO,Email,15620.1
C-11007,M,Men's Casual,246.1,NO,Mobile,24610
C-11009,M,Women's Shoes,184.421,YES,Direct Mail,18442.1
C-11010,F,Men's Sportswear,400.147,YES,Mobile,40014.7
C-11011,F,Men's Career,478.128,NO,Email,47812.8
C-11012,F,Home goods,209.057,YES,Mobile,20905.7
C-11014,M,Women's Sportwear,208.675,YES,Mobile,20867.5
C-11015,M,Women's Career,108.367,YES,Email,10836.7
C-11017,M,Women's Shoes,124.456,NO,Mobile,12445.6
C-11018,M,Men's Casual,112.921,NO,Direct Mail,11292.1
C-11021,M,Women's Shoes,108.645,YES,Mobile,10864.5
C-11023,M,Men's Sportswear,432.178,NO,Mobile,43217.8
C-11025,F,Men's Career,170.04,YES,Email,17004
C-11026,M,Home goods,427.334,YES,Mobile,42733.4
C-11028,F,Women's Sportwear,435.884,YES,Email,43588.4
C-11031,F,Women's Career,297.579,YES,Email,29757.9
C-11032,M,Women's Shoes,253.732,YES,Mobile,25373.2
C-11033,F,Men's Casual,186.381,NO,Direct Mail,18638.1
C-11034,F,Women's Shoes,334.975,YES,Mobile,33497.5
C-11035,M,Men's Sportswear,463.814,NO,Mobile,46381.4
C-11036,M,Men's Career,160.295,YES,Mobile,16029.5
C-11037,F,Home goods,165.846,YES,Email,16584.6
C-11038,M,Women's Sportwear,362.168,NO,Mobile,36216.8
C-11044,F,Women's Career,116.818,NO,Mobile,11681.8
C-11045,F,Women's Sportwear,231.67,NO,Email,23167
C-11046,F,Women's Career,184.412,NO,Direct Mail,18441.2
C-11047,M,Women's Shoes,421.336,YES,Email,42133.6
C-11049,M,Men's Casual,383.992,NO,Direct Mail,38399.2
C-11051,M,Women's Shoes,286.205,NO,Email,28620.5
C-11052,F,Men's Sportswear,247.427,NO,Email,24742.7
C-11054,M,Men's Career,223.741,NO,Mobile,22374.1
C-11056,M,Home goods,395.627,NO,Mobile,39562.7
C-11059,F,Women's Sportwear,304.335,YES,Mobile,30433.5
C-11061,M,Women's Career,267.182,NO,Mobile,26718.2
C-11063,F,Women's Shoes,258.123,NO,Mobile,25812.3
C-11064,M,Men's Casual,415.652,NO,Mobile,41565.2
C-11065,M,Women's Shoes,114.931,YES,Mobile,11493.1
C-11068,M,Men's Sportswear,256.66,YES,Email,25666
C-11069,F,Men's Career,242.569,NO,Mobile,24256.9
C-11071,F,Home goods,430.07,YES,Direct Mail,43007
C-11072,M,Women's Sportwear,474.76,NO,Mobile,47476
C-11075,F,Women's Career,214.266,NO,Email,21426.6
C-11076,M,Women's Shoes,208.234,NO,Direct Mail,20823.4
