Markets,Months,Products,value
Argentina,Mar-07,Bandit 1200S,99.0
Argentina,Mar-07,Bandit 900,71.0
Argentina,Mar-07,Boulevard,39.0
Argentina,Mar-07,CRS550,105.0
Argentina,Mar-07,CRX500,81.0
Argentina,Mar-07,CRX600,42.0
Argentina,Mar-07,CRX650,63.0
Argentina,Mar-07,Enduro 350,73.0
Argentina,Mar-07,Enduro 450,16.0
Argentina,Mar-07,Enduro 550,56.0
Argentina,Mar-07,KingTwin,92.0
Argentina,Mar-07,MegaTwin,97.0
Argentina,Mar-07,RoadLiner,63.0
Argentina,Mar-07,RoadStar,105.0
Argentina,Mar-07,ST1200,91.0
Argentina,Mar-07,ST1200R,54.0
Argentina,Mar-07,ST900,72.0
Argentina,Mar-07,Victory,21.0
Brazil,Feb-07,200S,0.0
Brazil,Feb-07,300S,0.0
Brazil,Feb-07,600S,142.0
Brazil,Feb-07,626S,51.0
Brazil,Feb-07,676RS,0.0
Brazil,Feb-07,676S,17.0
Brazil,Feb-07,900S,83.0
Brazil,Feb-07,929S,18.0
Brazil,Feb-07,996RS,197.0
Brazil,Feb-07,996S,20.0
Brazil,Feb-07,Bandit 1200,140.0
Brazil,Feb-07,Bandit 1200S,70.0
Brazil,Feb-07,Bandit 900,218.0
Brazil,Feb-07,Boulevard,14.0
Brazil,Feb-07,CRS550,222.0
Brazil,Feb-07,CRX500,143.0
Brazil,Feb-07,CRX600,215.0
Brazil,Feb-07,CRX650,212.0
Brazil,Feb-07,Enduro 350,50.0
Brazil,Feb-07,Enduro 450,139.0
Brazil,Feb-07,Enduro 550,36.0
Brazil,Feb-07,KingTwin,0.0
Brazil,Feb-07,MegaTwin,0.0
Brazil,Feb-07,RoadLiner,207.0
Brazil,Feb-07,RoadStar,0.0
Brazil,Feb-07,ST1200,113.0
Brazil,Feb-07,ST1200R,32.0
Brazil,Feb-07,ST900,37.0
Brazil,Feb-07,Victory,134.0
Brazil,Jan-07,200S,0.0
Brazil,Jan-07,300S,0.0
Brazil,Jan-07,600S,0.0
Brazil,Jan-07,626S,0.0
Brazil,Jan-07,676RS,0.0
Brazil,Jan-07,676S,0.0
Brazil,Jan-07,900S,0.0
Brazil,Jan-07,929S,0.0
Brazil,Jan-07,996RS,0.0
Brazil,Jan-07,996S,0.0
Brazil,Jan-07,Bandit 1200,0.0
Brazil,Jan-07,Bandit 1200S,0.0
Brazil,Jan-07,Bandit 900,0.0
Brazil,Jan-07,Boulevard,0.0
Brazil,Jan-07,CRS550,0.0
Brazil,Jan-07,CRX500,0.0
Brazil,Jan-07,CRX600,0.0
Brazil,Jan-07,CRX650,0.0
Brazil,Jan-07,Enduro 350,0.0
Brazil,Jan-07,Enduro 450,0.0
Brazil,Jan-07,Enduro 550,0.0
Brazil,Jan-07,KingTwin,0.0
Brazil,Jan-07,MegaTwin,0.0
Brazil,Jan-07,RoadLiner,0.0
Brazil,Jan-07,RoadStar,0.0
Brazil,Jan-07,ST1200,0.0
Brazil,Jan-07,ST1200R,0.0
Brazil,Jan-07,ST900,0.0
Brazil,Jan-07,Victory,0.0
Brazil,Mar-07,200S,90.0
Brazil,Mar-07,300S,55.0
Brazil,Mar-07,600S,72.0
Brazil,Mar-07,626S,22.0
Brazil,Mar-07,676RS,59.0
Brazil,Mar-07,676S,11.0
Brazil,Mar-07,900S,43.0
Brazil,Mar-07,929S,8.0
Brazil,Mar-07,996RS,99.0
Brazil,Mar-07,996S,12.0
Brazil,Mar-07,Bandit 1200,68.0
Brazil,Mar-07,Bandit 1200S,34.0
Brazil,Mar-07,Bandit 900,107.0
Brazil,Mar-07,Boulevard,9.0
Brazil,Mar-07,CRS550,110.0
Brazil,Mar-07,CRX500,73.0
Brazil,Mar-07,CRX600,105.0
Brazil,Mar-07,CRX650,105.0
Brazil,Mar-07,Enduro 350,21.0
Brazil,Mar-07,Enduro 450,70.0
Brazil,Mar-07,Enduro 550,18.0
Brazil,Mar-07,KingTwin,29.0
Brazil,Mar-07,MegaTwin,77.0
Brazil,Mar-07,RoadLiner,103.0
Brazil,Mar-07,RoadStar,79.0
Brazil,Mar-07,ST1200,53.0
Brazil,Mar-07,ST1200R,18.0
Brazil,Mar-07,ST900,20.0
Brazil,Mar-07,Victory,69.0
Canada,Feb-07,200S,0.0
Canada,Feb-07,300S,0.0
Canada,Feb-07,600S,149.0
Canada,Feb-07,626S,107.0
Canada,Feb-07,676RS,32.0
Canada,Feb-07,676S,45.0
Canada,Feb-07,900S,199.0
Canada,Feb-07,929S,85.0
Canada,Feb-07,996RS,142.0
Canada,Feb-07,996S,181.0
Canada,Feb-07,Bandit 1200,131.0
Canada,Feb-07,Bandit 1200S,130.0
Canada,Feb-07,Bandit 900,124.0
Canada,Feb-07,Boulevard,107.0
Canada,Feb-07,CRS550,148.0
Canada,Feb-07,CRX500,51.0
Canada,Feb-07,CRX600,10.0
Canada,Feb-07,CRX650,135.0
Canada,Feb-07,Enduro 350,9.0
Canada,Feb-07,Enduro 450,55.0
Canada,Feb-07,Enduro 550,134.0
Canada,Feb-07,KingTwin,0.0
Canada,Feb-07,MegaTwin,0.0
Canada,Feb-07,RoadLiner,165.0
Canada,Feb-07,RoadStar,0.0
Canada,Feb-07,ST1200,26.0
Canada,Feb-07,ST1200R,152.0
Canada,Feb-07,ST900,12.0
Canada,Feb-07,Victory,174.0
Canada,Jan-07,200S,0.0
Canada,Jan-07,300S,0.0
Canada,Jan-07,600S,0.0
Canada,Jan-07,626S,0.0
Canada,Jan-07,676RS,0.0
Canada,Jan-07,676S,0.0
Canada,Jan-07,900S,0.0
Canada,Jan-07,929S,0.0
Canada,Jan-07,996RS,0.0
Canada,Jan-07,996S,0.0
Canada,Jan-07,Bandit 1200,0.0
Canada,Jan-07,Bandit 1200S,0.0
Canada,Jan-07,Bandit 900,0.0
Canada,Jan-07,Boulevard,0.0
Canada,Jan-07,CRS550,0.0
Canada,Jan-07,CRX500,0.0
Canada,Jan-07,CRX600,0.0
Canada,Jan-07,CRX650,0.0
Canada,Jan-07,Enduro 350,0.0
Canada,Jan-07,Enduro 450,0.0
Canada,Jan-07,Enduro 550,0.0
Canada,Jan-07,KingTwin,0.0
Canada,Jan-07,MegaTwin,0.0
Canada,Jan-07,RoadLiner,0.0
Canada,Jan-07,RoadStar,0.0
Canada,Jan-07,ST1200,0.0
Canada,Jan-07,ST1200R,0.0
Canada,Jan-07,ST900,0.0
Canada,Jan-07,Victory,0.0
Canada,Mar-07,200S,0.0
Canada,Mar-07,300S,22.0
Canada,Mar-07,600S,78.0
Canada,Mar-07,626S,55.0
Canada,Mar-07,676RS,16.0
Canada,Mar-07,676S,25.0
Canada,Mar-07,900S,102.0
Canada,Mar-07,929S,45.0
Canada,Mar-07,996RS,70.0
Canada,Mar-07,996S,90.0
Canada,Mar-07,Bandit 1200,67.0
Canada,Mar-07,Bandit 1200S,64.0
Canada,Mar-07,Bandit 900,64.0
Canada,Mar-07,Boulevard,53.0
Canada,Mar-07,CRS550,78.0
Canada,Mar-07,CRX500,22.0
Canada,Mar-07,CRX600,7.0
Canada,Mar-07,CRX650,70.0
Canada,Mar-07,Enduro 350,5.0
Canada,Mar-07,Enduro 450,28.0
Canada,Mar-07,Enduro 550,66.0
Canada,Mar-07,KingTwin,55.0
Canada,Mar-07,MegaTwin,34.0
Canada,Mar-07,RoadLiner,79.0
Canada,Mar-07,RoadStar,102.0
Canada,Mar-07,ST1200,10.0
Canada,Mar-07,ST1200R,77.0
Canada,Mar-07,ST900,5.0
Canada,Mar-07,Victory,87.0
China,Feb-07,200S,0.0
China,Feb-07,300S,0.0
China,Feb-07,600S,206.0
China,Feb-07,626S,149.0
China,Feb-07,676RS,76.0
China,Feb-07,676S,127.0
China,Feb-07,900S,28.0
China,Feb-07,929S,138.0
China,Feb-07,996RS,14.0
China,Feb-07,996S,199.0
China,Feb-07,Bandit 1200,206.0
China,Feb-07,Bandit 1200S,173.0
China,Feb-07,Bandit 900,106.0
China,Feb-07,Boulevard,191.0
China,Feb-07,CRS550,48.0
China,Feb-07,CRX500,93.0
China,Feb-07,CRX600,154.0
China,Feb-07,CRX650,91.0
China,Feb-07,Enduro 350,181.0
China,Feb-07,Enduro 450,111.0
China,Feb-07,Enduro 550,212.0
China,Feb-07,KingTwin,0.0
China,Feb-07,MegaTwin,9.0
China,Feb-07,RoadLiner,124.0
China,Feb-07,RoadStar,0.0
China,Feb-07,ST1200,200.0
China,Feb-07,ST1200R,173.0
China,Feb-07,ST900,94.0
China,Feb-07,Victory,151.0
China,Jan-07,200S,0.0
China,Jan-07,300S,0.0
China,Jan-07,600S,0.0
China,Jan-07,626S,0.0
China,Jan-07,676RS,0.0
China,Jan-07,676S,0.0
China,Jan-07,900S,0.0
China,Jan-07,929S,0.0
China,Jan-07,996RS,0.0
China,Jan-07,996S,0.0
China,Jan-07,Bandit 1200,0.0
China,Jan-07,Bandit 1200S,0.0
China,Jan-07,Bandit 900,0.0
China,Jan-07,Boulevard,0.0
China,Jan-07,CRS550,0.0
China,Jan-07,CRX500,0.0
China,Jan-07,CRX600,0.0
China,Jan-07,CRX650,0.0
China,Jan-07,Enduro 350,0.0
China,Jan-07,Enduro 450,0.0
China,Jan-07,Enduro 550,0.0
China,Jan-07,KingTwin,0.0
China,Jan-07,MegaTwin,0.0
China,Jan-07,RoadLiner,0.0
China,Jan-07,RoadStar,0.0
China,Jan-07,ST1200,0.0
China,Jan-07,ST1200R,0.0
China,Jan-07,ST900,0.0
China,Jan-07,Victory,0.0
China,Mar-07,200S,0.0
China,Mar-07,300S,29.0
China,Mar-07,600S,104.0
China,Mar-07,626S,78.0
China,Mar-07,676RS,39.0
China,Mar-07,676S,68.0
China,Mar-07,900S,16.0
China,Mar-07,929S,71.0
China,Mar-07,996RS,3.0
China,Mar-07,996S,98.0
China,Mar-07,Bandit 1200,102.0
China,Mar-07,Bandit 1200S,84.0
China,Mar-07,Bandit 900,55.0
China,Mar-07,Boulevard,98.0
China,Mar-07,CRS550,26.0
China,Mar-07,CRX500,50.0
China,Mar-07,CRX600,78.0
China,Mar-07,CRX650,50.0
China,Mar-07,Enduro 350,88.0
China,Mar-07,Enduro 450,55.0
China,Mar-07,Enduro 550,109.0
China,Mar-07,KingTwin,81.0
China,Mar-07,MegaTwin,0.0
China,Mar-07,RoadLiner,64.0
China,Mar-07,RoadStar,38.0
China,Mar-07,ST1200,100.0
China,Mar-07,ST1200R,85.0
China,Mar-07,ST900,45.0
China,Mar-07,Victory,77.0
France,Feb-07,200S,0.0
France,Feb-07,300S,213.0
France,Feb-07,600S,234.0
France,Feb-07,626S,47.0
France,Feb-07,676RS,75.0
France,Feb-07,676S,173.0
France,Feb-07,900S,81.0
France,Feb-07,929S,223.0
France,Feb-07,996RS,62.0
France,Feb-07,996S,0.0
France,Feb-07,Bandit 1200,46.0
France,Feb-07,Bandit 1200S,204.0
France,Feb-07,Bandit 900,212.0
France,Feb-07,Boulevard,61.0
France,Feb-07,CRS550,135.0
France,Feb-07,CRX500,127.0
France,Feb-07,CRX600,108.0
France,Feb-07,CRX650,116.0
France,Feb-07,Enduro 350,208.0
France,Feb-07,Enduro 450,142.0
France,Feb-07,Enduro 550,79.0
France,Feb-07,KingTwin,0.0
France,Feb-07,MegaTwin,0.0
France,Feb-07,RoadLiner,113.0
France,Feb-07,RoadStar,0.0
France,Feb-07,ST1200,163.0
France,Feb-07,ST1200R,137.0
France,Feb-07,ST900,117.0
France,Feb-07,Victory,105.0
France,Jan-07,200S,0.0
France,Jan-07,300S,0.0
France,Jan-07,600S,0.0
France,Jan-07,626S,0.0
France,Jan-07,676RS,0.0
France,Jan-07,676S,0.0
France,Jan-07,900S,0.0
France,Jan-07,929S,0.0
France,Jan-07,996RS,0.0
France,Jan-07,996S,0.0
France,Jan-07,Bandit 1200,0.0
France,Jan-07,Bandit 1200S,0.0
France,Jan-07,Bandit 900,0.0
France,Jan-07,Boulevard,0.0
France,Jan-07,CRS550,0.0
France,Jan-07,CRX500,0.0
France,Jan-07,CRX600,0.0
France,Jan-07,CRX650,0.0
France,Jan-07,Enduro 350,0.0
France,Jan-07,Enduro 450,0.0
France,Jan-07,Enduro 550,0.0
France,Jan-07,KingTwin,0.0
France,Jan-07,MegaTwin,0.0
France,Jan-07,RoadLiner,0.0
France,Jan-07,RoadStar,0.0
France,Jan-07,ST1200,0.0
France,Jan-07,ST1200R,0.0
France,Jan-07,ST900,0.0
France,Jan-07,Victory,0.0
France,Mar-07,200S,0.0
France,Mar-07,300S,105.0
France,Mar-07,600S,115.0
France,Mar-07,626S,25.0
France,Mar-07,676RS,36.0
France,Mar-07,676S,85.0
France,Mar-07,900S,44.0
France,Mar-07,929S,110.0
France,Mar-07,996RS,34.0
France,Mar-07,996S,60.0
France,Mar-07,Bandit 1200,26.0
France,Mar-07,Bandit 1200S,104.0
France,Mar-07,Bandit 900,109.0
France,Mar-07,Boulevard,33.0
France,Mar-07,CRS550,67.0
France,Mar-07,CRX500,64.0
France,Mar-07,CRX600,56.0
France,Mar-07,CRX650,61.0
France,Mar-07,Enduro 350,102.0
France,Mar-07,Enduro 450,73.0
France,Mar-07,Enduro 550,39.0
France,Mar-07,KingTwin,102.0
France,Mar-07,MegaTwin,104.0
France,Mar-07,RoadLiner,58.0
France,Mar-07,RoadStar,90.0
France,Mar-07,ST1200,82.0
France,Mar-07,ST1200R,69.0
France,Mar-07,ST900,58.0
France,Mar-07,Victory,52.0
Germany,Feb-07,200S,0.0
Germany,Feb-07,300S,0.0
Germany,Feb-07,600S,228.0
Germany,Feb-07,626S,51.0
Germany,Feb-07,676RS,113.0
Germany,Feb-07,676S,248.0
Germany,Feb-07,900S,74.0
Germany,Feb-07,929S,41.0
Germany,Feb-07,996RS,57.0
Germany,Feb-07,996S,93.0
Germany,Feb-07,Bandit 1200,116.0
Germany,Feb-07,Bandit 1200S,112.0
Germany,Feb-07,Bandit 900,55.0
Germany,Feb-07,Boulevard,24.0
Germany,Feb-07,CRS550,128.0
Germany,Feb-07,CRX500,111.0
Germany,Feb-07,CRX600,42.0
Germany,Feb-07,CRX650,79.0
Germany,Feb-07,Enduro 350,23.0
Germany,Feb-07,Enduro 450,211.0
Germany,Feb-07,Enduro 550,188.0
Germany,Feb-07,KingTwin,234.0
Germany,Feb-07,MegaTwin,0.0
Germany,Feb-07,RoadLiner,136.0
Germany,Feb-07,RoadStar,0.0
Germany,Feb-07,ST1200,45.0
Germany,Feb-07,ST1200R,54.0
Germany,Feb-07,ST900,89.0
Germany,Feb-07,Victory,160.0
Germany,Jan-07,200S,0.0
Germany,Jan-07,300S,0.0
Germany,Jan-07,600S,0.0
Germany,Jan-07,626S,0.0
Germany,Jan-07,676RS,0.0
Germany,Jan-07,676S,0.0
Germany,Jan-07,900S,0.0
Germany,Jan-07,929S,0.0
Germany,Jan-07,996RS,0.0
Germany,Jan-07,996S,0.0
Germany,Jan-07,Bandit 1200,0.0
Germany,Jan-07,Bandit 1200S,0.0
Germany,Jan-07,Bandit 900,0.0
Germany,Jan-07,Boulevard,0.0
Germany,Jan-07,CRS550,0.0
Germany,Jan-07,CRX500,0.0
Germany,Jan-07,CRX600,0.0
Germany,Jan-07,CRX650,0.0
Germany,Jan-07,Enduro 350,0.0
Germany,Jan-07,Enduro 450,0.0
Germany,Jan-07,Enduro 550,0.0
Germany,Jan-07,KingTwin,0.0
Germany,Jan-07,MegaTwin,0.0
Germany,Jan-07,RoadLiner,0.0
Germany,Jan-07,RoadStar,0.0
Germany,Jan-07,ST1200,0.0
Germany,Jan-07,ST1200R,0.0
Germany,Jan-07,ST900,0.0
Germany,Jan-07,Victory,0.0
Germany,Mar-07,200S,0.0
Germany,Mar-07,300S,44.0
Germany,Mar-07,600S,115.0
Germany,Mar-07,626S,24.0
Germany,Mar-07,676RS,59.0
Germany,Mar-07,676S,126.0
Germany,Mar-07,900S,39.0
Germany,Mar-07,929S,20.0
Germany,Mar-07,996RS,28.0
Germany,Mar-07,996S,49.0
Germany,Mar-07,Bandit 1200,58.0
Germany,Mar-07,Bandit 1200S,53.0
Germany,Mar-07,Bandit 900,27.0
Germany,Mar-07,Boulevard,12.0
Germany,Mar-07,CRS550,62.0
Germany,Mar-07,CRX500,54.0
Germany,Mar-07,CRX600,20.0
Germany,Mar-07,CRX650,37.0
Germany,Mar-07,Enduro 350,13.0
Germany,Mar-07,Enduro 450,108.0
Germany,Mar-07,Enduro 550,97.0
Germany,Mar-07,KingTwin,118.0
Germany,Mar-07,MegaTwin,30.0
Germany,Mar-07,RoadLiner,69.0
Germany,Mar-07,RoadStar,87.0
Germany,Mar-07,ST1200,22.0
Germany,Mar-07,ST1200R,27.0
Germany,Mar-07,ST900,43.0
Germany,Mar-07,Victory,77.0
Italy,Feb-07,200S,0.0
Italy,Feb-07,300S,0.0
Italy,Feb-07,600S,165.0
Italy,Feb-07,626S,49.0
Italy,Feb-07,676RS,73.0
Italy,Feb-07,676S,235.0
Italy,Feb-07,900S,46.0
Italy,Feb-07,929S,91.0
Italy,Feb-07,996RS,148.0
Italy,Feb-07,996S,56.0
Italy,Feb-07,Bandit 1200,68.0
Italy,Feb-07,Bandit 1200S,47.0
Italy,Feb-07,Bandit 900,211.0
Italy,Feb-07,Boulevard,167.0
Italy,Feb-07,CRS550,128.0
Italy,Feb-07,CRX500,207.0
Italy,Feb-07,CRX600,146.0
Italy,Feb-07,CRX650,140.0
Italy,Feb-07,Enduro 350,18.0
Italy,Feb-07,Enduro 450,82.0
Italy,Feb-07,Enduro 550,205.0
Italy,Feb-07,KingTwin,0.0
Italy,Feb-07,MegaTwin,0.0
Italy,Feb-07,RoadLiner,90.0
Italy,Feb-07,RoadStar,219.0
Italy,Feb-07,ST1200,134.0
Italy,Feb-07,ST1200R,13.0
Italy,Feb-07,ST900,108.0
Italy,Feb-07,Victory,169.0
Italy,Jan-07,200S,0.0
Italy,Jan-07,300S,0.0
Italy,Jan-07,600S,0.0
Italy,Jan-07,626S,0.0
Italy,Jan-07,676RS,0.0
Italy,Jan-07,676S,0.0
Italy,Jan-07,900S,0.0
Italy,Jan-07,929S,0.0
Italy,Jan-07,996RS,0.0
Italy,Jan-07,996S,0.0
Italy,Jan-07,Bandit 1200,0.0
Italy,Jan-07,Bandit 1200S,0.0
Italy,Jan-07,Bandit 900,0.0
Italy,Jan-07,Boulevard,0.0
Italy,Jan-07,CRS550,0.0
Italy,Jan-07,CRX500,0.0
Italy,Jan-07,CRX600,0.0
Italy,Jan-07,CRX650,0.0
Italy,Jan-07,Enduro 350,0.0
Italy,Jan-07,Enduro 450,0.0
Italy,Jan-07,Enduro 550,0.0
Italy,Jan-07,KingTwin,0.0
Italy,Jan-07,MegaTwin,0.0
Italy,Jan-07,RoadLiner,0.0
Italy,Jan-07,RoadStar,0.0
Italy,Jan-07,ST1200,0.0
Italy,Jan-07,ST1200R,0.0
Italy,Jan-07,ST900,0.0
Italy,Jan-07,Victory,0.0
Italy,Mar-07,200S,0.0
Italy,Mar-07,300S,6.0
Italy,Mar-07,600S,82.0
Italy,Mar-07,626S,24.0
Italy,Mar-07,676RS,34.0
Italy,Mar-07,676S,120.0
Italy,Mar-07,900S,22.0
Italy,Mar-07,929S,46.0
Italy,Mar-07,996RS,76.0
Italy,Mar-07,996S,28.0
Italy,Mar-07,Bandit 1200,34.0
Italy,Mar-07,Bandit 1200S,23.0
Italy,Mar-07,Bandit 900,107.0
Italy,Mar-07,Boulevard,84.0
Italy,Mar-07,CRS550,66.0
Italy,Mar-07,CRX500,100.0
Italy,Mar-07,CRX600,73.0
Italy,Mar-07,CRX650,69.0
Italy,Mar-07,Enduro 350,5.0
Italy,Mar-07,Enduro 450,41.0
Italy,Mar-07,Enduro 550,106.0
Italy,Mar-07,KingTwin,67.0
Italy,Mar-07,MegaTwin,90.0
Italy,Mar-07,RoadLiner,45.0
Italy,Mar-07,RoadStar,106.0
Italy,Mar-07,ST1200,68.0
Italy,Mar-07,ST1200R,6.0
Italy,Mar-07,ST900,56.0
Italy,Mar-07,Victory,88.0
Japan,Feb-07,200S,0.0
Japan,Feb-07,300S,0.0
Japan,Feb-07,600S,36.0
Japan,Feb-07,626S,171.0
Japan,Feb-07,676RS,138.0
Japan,Feb-07,676S,115.0
Japan,Feb-07,900S,75.0
Japan,Feb-07,929S,46.0
Japan,Feb-07,996RS,46.0
Japan,Feb-07,996S,106.0
Japan,Feb-07,Bandit 1200,63.0
Japan,Feb-07,Bandit 1200S,184.0
Japan,Feb-07,Bandit 900,118.0
Japan,Feb-07,Boulevard,155.0
Japan,Feb-07,CRS550,31.0
Japan,Feb-07,CRX500,166.0
Japan,Feb-07,CRX600,151.0
Japan,Feb-07,CRX650,185.0
Japan,Feb-07,Enduro 350,152.0
Japan,Feb-07,Enduro 450,139.0
Japan,Feb-07,Enduro 550,171.0
Japan,Feb-07,KingTwin,0.0
Japan,Feb-07,MegaTwin,0.0
Japan,Feb-07,RoadLiner,46.0
Japan,Feb-07,RoadStar,0.0
Japan,Feb-07,ST1200,206.0
Japan,Feb-07,ST1200R,99.0
Japan,Feb-07,ST900,89.0
Japan,Feb-07,Victory,28.0
Japan,Jan-07,200S,0.0
Japan,Jan-07,300S,0.0
Japan,Jan-07,600S,0.0
Japan,Jan-07,626S,0.0
Japan,Jan-07,676RS,0.0
Japan,Jan-07,676S,0.0
Japan,Jan-07,900S,0.0
Japan,Jan-07,929S,0.0
Japan,Jan-07,996RS,0.0
Japan,Jan-07,996S,0.0
Japan,Jan-07,Bandit 1200,0.0
Japan,Jan-07,Bandit 1200S,0.0
Japan,Jan-07,Bandit 900,0.0
Japan,Jan-07,Boulevard,0.0
Japan,Jan-07,CRS550,0.0
Japan,Jan-07,CRX500,0.0
Japan,Jan-07,CRX600,0.0
Japan,Jan-07,CRX650,0.0
Japan,Jan-07,Enduro 350,0.0
Japan,Jan-07,Enduro 450,0.0
Japan,Jan-07,Enduro 550,0.0
Japan,Jan-07,KingTwin,0.0
Japan,Jan-07,MegaTwin,0.0
Japan,Jan-07,RoadLiner,0.0
Japan,Jan-07,RoadStar,0.0
Japan,Jan-07,ST1200,0.0
Japan,Jan-07,ST1200R,0.0
Japan,Jan-07,ST900,0.0
Japan,Jan-07,Victory,0.0
Japan,Mar-07,200S,0.0
Japan,Mar-07,300S,12.0
Japan,Mar-07,600S,16.0
Japan,Mar-07,626S,86.0
Japan,Mar-07,676RS,70.0
Japan,Mar-07,676S,59.0
Japan,Mar-07,900S,37.0
Japan,Mar-07,929S,23.0
Japan,Mar-07,996RS,23.0
Japan,Mar-07,996S,55.0
Japan,Mar-07,Bandit 1200,35.0
Japan,Mar-07,Bandit 1200S,94.0
Japan,Mar-07,Bandit 900,57.0
Japan,Mar-07,Boulevard,74.0
Japan,Mar-07,CRS550,15.0
Japan,Mar-07,CRX500,79.0
Japan,Mar-07,CRX600,74.0
Japan,Mar-07,CRX650,93.0
Japan,Mar-07,Enduro 350,78.0
Japan,Mar-07,Enduro 450,68.0
Japan,Mar-07,Enduro 550,85.0
Japan,Mar-07,KingTwin,54.0
Japan,Mar-07,MegaTwin,56.0
Japan,Mar-07,RoadLiner,22.0
Japan,Mar-07,RoadStar,79.0
Japan,Mar-07,ST1200,107.0
Japan,Mar-07,ST1200R,52.0
Japan,Mar-07,ST900,41.0
Japan,Mar-07,Victory,18.0
Spain,Feb-07,200S,0.0
Spain,Feb-07,300S,0.0
Spain,Feb-07,600S,151.0
Spain,Feb-07,626S,33.0
Spain,Feb-07,676RS,122.0
Spain,Feb-07,676S,92.0
Spain,Feb-07,900S,121.0
Spain,Feb-07,929S,191.0
Spain,Feb-07,996RS,148.0
Spain,Feb-07,996S,185.0
Spain,Feb-07,Bandit 1200,226.0
Spain,Feb-07,Bandit 1200S,20.0
Spain,Feb-07,Bandit 900,95.0
Spain,Feb-07,Boulevard,197.0
Spain,Feb-07,CRS550,130.0
Spain,Feb-07,CRX500,111.0
Spain,Feb-07,CRX600,100.0
Spain,Feb-07,CRX650,193.0
Spain,Feb-07,Enduro 350,188.0
Spain,Feb-07,Enduro 450,84.0
Spain,Feb-07,Enduro 550,128.0
Spain,Feb-07,KingTwin,0.0
Spain,Feb-07,MegaTwin,0.0
Spain,Feb-07,RoadLiner,148.0
Spain,Feb-07,RoadStar,0.0
Spain,Feb-07,ST1200,0.0
Spain,Feb-07,ST1200R,112.0
Spain,Feb-07,ST900,86.0
Spain,Feb-07,Victory,83.0
Spain,Jan-07,200S,0.0
Spain,Jan-07,300S,0.0
Spain,Jan-07,600S,0.0
Spain,Jan-07,626S,0.0
Spain,Jan-07,676RS,0.0
Spain,Jan-07,676S,0.0
Spain,Jan-07,900S,0.0
Spain,Jan-07,929S,0.0
Spain,Jan-07,996RS,0.0
Spain,Jan-07,996S,0.0
Spain,Jan-07,Bandit 1200,0.0
Spain,Jan-07,Bandit 1200S,0.0
Spain,Jan-07,Bandit 900,0.0
Spain,Jan-07,Boulevard,0.0
Spain,Jan-07,CRS550,0.0
Spain,Jan-07,CRX500,0.0
