sku,shelf,unitsPerFacing
SU0132,A001,6
SU0133,A001,6
SU0134,A001,6
SU0135,A001,6
SU0136,A001,6
SU0137,A001,6
SU0138,A001,6
SU0139,A001,6
SU0140,A001,6
SU0141,A001,6
SU0142,A001,6
SU0143,A001,6
SU0144,A001,6
SU0145,A001,6
SU0146,A001,6
SU0147,A001,6
SU0148,A001,6
SU0149,A001,6
SU0150,A001,6
SU0151,A001,6
SU0152,A001,6
SU0153,A001,6
SU0154,A001,6
SU0155,A001,6
SU0156,A001,6
SU0157,A001,6
SU0158,A001,6
SU0159,A001,6
SU0160,A001,6
SU0161,A001,6
SU0162,A001,6
SU0163,A001,6
SU0164,A001,6
SU0165,A001,6
SU0166,A001,6
SU0167,A001,6
SU0168,A001,6
SU0169,A001,6
SU0170,A001,6
SU0171,A001,6
SU0172,A001,6
SU0173,A001,6
SU0174,A001,6
SU0175,A001,6
SU0176,A001,6
SU0177,A001,6
SU0178,A001,6
SU0179,A001,6
SU0180,A001,6
SU0181,A001,6
SU0182,A001,6
SU0183,A001,6
SU0184,A001,6
SU0185,A001,6
SU0186,A001,6
SU0187,A001,6
SU0188,A001,6
SU0189,A001,6
SU0190,A001,6
SU0191,A001,6
SU0192,A001,6
SU0193,A001,6
SU0194,A001,6
SU0195,A001,6
SU0196,A001,6
SU0197,A001,6
SU0198,A001,6
SU0199,A001,6
SU0200,A001,6
SU0201,A001,6
SU0202,A001,6
SU0203,A001,6
SU0204,A001,6
SU0205,A001,6
SU0206,A001,6
SU0207,A001,6
SU0208,A001,6
SU0209,A001,6
SU0210,A001,6
SU0211,A001,6
SU0212,A001,6
SU0213,A001,6
SU0214,A001,6
SU0215,A001,6
SU0216,A001,6
SU0217,A001,6
SU0218,A001,6
SU0219,A001,6
SU0220,A001,6
SU0221,A001,6
SU0222,A001,6
SU0223,A001,6
SU0224,A001,6
SU0225,A001,6
SU0226,A001,6
SU0227,A001,6
SU0228,A001,6
SU0229,A001,6
SU0230,A001,6
SU0231,A001,6
SU0232,A001,6
SU0233,A001,6
SU0234,A001,6
SU0235,A001,6
SU0236,A001,6
SU0001,A002,6
SU0002,A002,6
SU0003,A002,6
SU0004,A002,6
SU0005,A002,6
SU0006,A002,6
SU0007,A002,6
SU0008,A002,6
SU0009,A002,6
SU0010,A002,6
SU0011,A002,6
SU0012,A002,6
SU0013,A002,6
SU0014,A002,6
SU0015,A002,6
SU0016,A002,6
SU0017,A002,6
SU0018,A002,6
SU0019,A002,6
SU0020,A002,6
SU0021,A002,6
SU0022,A002,6
SU0023,A002,6
SU0024,A002,6
SU0025,A002,6
SU0026,A002,6
SU0027,A002,6
SU0028,A002,6
SU0029,A002,6
SU0030,A002,6
SU0031,A002,6
SU0032,A002,6
SU0033,A002,6
SU0034,A002,6
SU0035,A002,6
SU0036,A002,6
SU0037,A002,6
SU0038,A002,6
SU0039,A002,6
SU0040,A002,6
SU0041,A002,6
SU0042,A002,6
SU0043,A002,6
SU0044,A002,6
SU0045,A002,6
SU0046,A002,6
SU0047,A002,6
SU0048,A002,6
SU0049,A002,6
SU0050,A002,6
SU0051,A002,6
SU0052,A002,6
SU0053,A002,6
SU0054,A002,6
SU0055,A002,6
SU0056,A002,6
SU0057,A002,6
SU0058,A002,6
SU0059,A002,6
SU0060,A002,6
SU0061,A002,6
SU0062,A002,6
SU0063,A002,6
SU0064,A002,6
SU0065,A002,6
SU0066,A002,6
SU0067,A002,6
SU0068,A002,6
SU0069,A002,6
SU0070,A002,6
SU0071,A002,6
SU0072,A002,6
SU0073,A002,6
SU0074,A002,6
SU0075,A002,6
SU0076,A002,6
SU0077,A002,6
SU0078,A002,6
SU0079,A002,6
SU0080,A002,6
SU0081,A002,6
SU0082,A002,6
SU0083,A002,6
SU0084,A002,6
SU0085,A002,6
SU0086,A002,6
SU0087,A002,6
SU0088,A002,6
SU0089,A002,6
SU0090,A002,6
SU0091,A002,6
SU0092,A002,6
SU0093,A002,6
SU0094,A002,6
SU0095,A002,6
SU0096,A002,6
SU0097,A002,6
SU0098,A002,6
SU0099,A002,6
SU0100,A002,6
SU0101,A002,6
SU0102,A002,6
SU0103,A002,6
SU0104,A002,6
SU0105,A002,6
SU0106,A002,6
SU0107,A002,6
SU0108,A002,6
SU0109,A002,6
SU0110,A002,6
SU0111,A002,6
SU0112,A002,6
SU0113,A002,6
SU0114,A002,6
SU0115,A002,6
SU0116,A002,6
SU0117,A002,6
SU0118,A002,6
SU0119,A002,6
SU0120,A002,6
SU0121,A002,6
SU0122,A002,6
SU0123,A002,6
SU0124,A002,6
SU0125,A002,6
SU0126,A002,6
SU0127,A002,6
SU0128,A002,6
SU0129,A002,6
SU0130,A002,6
SU0131,A002,6
SU0132,A002,6
SU0133,A002,6
SU0134,A002,6
SU0135,A002,6
SU0136,A002,6
SU0137,A002,6
SU0138,A002,6
SU0139,A002,6
SU0140,A002,6
SU0141,A002,6
SU0142,A002,6
SU0143,A002,6
SU0144,A002,6
SU0145,A002,6
SU0146,A002,6
SU0147,A002,6
SU0148,A002,6
SU0149,A002,6
SU0150,A002,6
SU0151,A002,6
SU0152,A002,6
SU0153,A002,6
SU0154,A002,6
SU0155,A002,6
SU0156,A002,6
SU0157,A002,6
SU0158,A002,6
SU0159,A002,6
SU0160,A002,6
SU0161,A002,6
SU0162,A002,6
SU0163,A002,6
SU0164,A002,6
SU0165,A002,6
SU0166,A002,6
SU0167,A002,6
SU0168,A002,6
SU0169,A002,6
SU0170,A002,6
SU0171,A002,6
SU0172,A002,6
SU0173,A002,6
SU0174,A002,6
SU0175,A002,6
SU0176,A002,6
SU0177,A002,6
SU0178,A002,6
SU0179,A002,6
SU0180,A002,6
SU0181,A002,6
SU0182,A002,6
SU0183,A002,6
SU0184,A002,6
SU0185,A002,6
SU0186,A002,6
SU0187,A002,6
SU0188,A002,6
SU0189,A002,6
SU0190,A002,6
SU0191,A002,6
SU0192,A002,6
SU0193,A002,6
SU0194,A002,6
SU0195,A002,6
SU0196,A002,6
SU0197,A002,6
SU0198,A002,6
SU0199,A002,6
SU0200,A002,6
SU0201,A002,6
SU0202,A002,6
SU0203,A002,6
SU0204,A002,6
SU0205,A002,6
SU0206,A002,6
SU0207,A002,6
SU0208,A002,6
SU0209,A002,6
SU0210,A002,6
SU0211,A002,6
SU0212,A002,6
SU0213,A002,6
SU0214,A002,6
SU0215,A002,6
SU0216,A002,6
SU0217,A002,6
SU0218,A002,6
SU0219,A002,6
SU0220,A002,6
SU0221,A002,6
SU0222,A002,6
SU0223,A002,6
SU0224,A002,6
SU0225,A002,6
SU0226,A002,6
SU0227,A002,6
SU0228,A002,6
SU0229,A002,6
SU0230,A002,6
SU0231,A002,6
SU0232,A002,6
SU0233,A002,6
SU0234,A002,6
SU0235,A002,6
SU0236,A002,6
SU0001,A003,6
SU0002,A003,6
SU0003,A003,6
SU0004,A003,6
SU0005,A003,6
SU0006,A003,6
SU0007,A003,6
SU0008,A003,6
SU0009,A003,6
SU0010,A003,6
SU0011,A003,6
SU0012,A003,6
SU0013,A003,6
SU0014,A003,6
SU0015,A003,6
SU0016,A003,6
SU0017,A003,6
SU0018,A003,6
SU0019,A003,6
SU0020,A003,6
SU0021,A003,6
SU0022,A003,6
SU0023,A003,6
SU0024,A003,6
SU0025,A003,6
SU0026,A003,6
SU0027,A003,6
SU0028,A003,6
SU0029,A003,6
SU0030,A003,6
SU0031,A003,6
SU0032,A003,6
SU0033,A003,6
SU0034,A003,6
SU0035,A003,6
SU0036,A003,6
SU0037,A003,6
SU0038,A003,6
SU0039,A003,6
SU0040,A003,6
SU0041,A003,6
SU0042,A003,6
SU0043,A003,6
SU0044,A003,6
SU0045,A003,6
SU0046,A003,6
SU0047,A003,6
SU0048,A003,6
SU0049,A003,6
SU0050,A003,6
SU0051,A003,6
SU0052,A003,6
SU0053,A003,6
SU0054,A003,6
SU0055,A003,6
SU0056,A003,6
SU0057,A003,6
SU0058,A003,6
SU0059,A003,6
SU0060,A003,6
SU0061,A003,6
SU0062,A003,6
SU0063,A003,6
SU0064,A003,6
SU0065,A003,6
SU0066,A003,6
SU0067,A003,6
SU0068,A003,6
SU0069,A003,6
SU0070,A003,6
SU0071,A003,6
SU0072,A003,6
SU0073,A003,6
SU0074,A003,6
SU0075,A003,6
SU0076,A003,6
SU0077,A003,6
SU0078,A003,6
SU0079,A003,6
SU0080,A003,6
SU0081,A003,6
SU0082,A003,6
SU0083,A003,6
SU0084,A003,6
SU0085,A003,6
SU0086,A003,6
SU0087,A003,6
SU0088,A003,6
SU0089,A003,6
SU0090,A003,6
SU0091,A003,6
SU0092,A003,6
SU0093,A003,6
SU0094,A003,6
SU0095,A003,6
SU0096,A003,6
SU0097,A003,6
SU0098,A003,6
SU0099,A003,6
SU0100,A003,6
SU0101,A003,6
SU0102,A003,6
SU0103,A003,6
SU0104,A003,6
SU0105,A003,6
SU0106,A003,6
SU0107,A003,6
SU0108,A003,6
SU0109,A003,6
SU0110,A003,6
SU0111,A003,6
SU0112,A003,6
SU0113,A003,6
SU0114,A003,6
SU0115,A003,6
SU0116,A003,6
SU0117,A003,6
SU0118,A003,6
SU0119,A003,6
SU0120,A003,6
SU0121,A003,6
SU0122,A003,6
SU0123,A003,6
SU0124,A003,6
SU0125,A003,6
SU0126,A003,6
SU0127,A003,6
SU0128,A003,6
SU0129,A003,6
SU0130,A003,6
SU0131,A003,6
SU0132,A003,6
SU0133,A003,6
SU0134,A003,6
SU0135,A003,6
SU0136,A003,6
SU0137,A003,6
SU0138,A003,6
SU0139,A003,6
SU0140,A003,6
SU0141,A003,6
SU0142,A003,6
SU0143,A003,6
SU0144,A003,6
SU0145,A003,6
SU0146,A003,6
SU0147,A003,6
SU0148,A003,6
SU0149,A003,6
SU0150,A003,6
SU0151,A003,6
SU0152,A003,6
SU0153,A003,6
SU0154,A003,6
SU0155,A003,6
SU0156,A003,6
SU0157,A003,6
SU0158,A003,6
SU0159,A003,6
SU0160,A003,6
SU0161,A003,6
SU0162,A003,6
SU0163,A003,6
SU0164,A003,6
SU0165,A003,6
SU0166,A003,6
SU0167,A003,6
SU0168,A003,6
SU0169,A003,6
SU0170,A003,6
SU0171,A003,6
SU0172,A003,6
SU0173,A003,6
SU0174,A003,6
SU0175,A003,6
SU0176,A003,6
SU0177,A003,6
SU0178,A003,6
SU0179,A003,6
SU0180,A003,6
SU0181,A003,6
SU0182,A003,6
SU0183,A003,6
SU0184,A003,6
SU0185,A003,6
SU0186,A003,6
SU0187,A003,6
SU0188,A003,6
SU0189,A003,6
SU0190,A003,6
SU0191,A003,6
SU0192,A003,6
SU0193,A003,6
SU0194,A003,6
SU0195,A003,6
SU0196,A003,6
SU0197,A003,6
SU0198,A003,6
SU0199,A003,6
SU0200,A003,6
SU0201,A003,6
SU0202,A003,6
SU0203,A003,6
SU0204,A003,6
SU0205,A003,6
SU0206,A003,6
SU0207,A003,6
SU0208,A003,6
SU0209,A003,6
SU0210,A003,6
SU0211,A003,6
SU0212,A003,6
SU0213,A003,6
SU0214,A003,6
SU0215,A003,6
SU0216,A003,6
SU0217,A003,6
SU0218,A003,6
SU0219,A003,6
SU0220,A003,6
SU0221,A003,6
SU0222,A003,6
SU0223,A003,6
SU0224,A003,6
SU0225,A003,6
SU0226,A003,6
SU0227,A003,6
SU0228,A003,6
SU0229,A003,6
SU0230,A003,6
SU0231,A003,6
SU0232,A003,6
SU0233,A003,6
SU0234,A003,6
SU0235,A003,6
SU0236,A003,6
SU0001,A004,6
SU0002,A004,6
SU0003,A004,6
SU0004,A004,6
SU0005,A004,6
SU0006,A004,6
SU0007,A004,6
SU0008,A004,6
SU0009,A004,6
SU0010,A004,6
SU0011,A004,6
SU0012,A004,6
SU0013,A004,6
SU0014,A004,6
SU0015,A004,6
SU0016,A004,6
SU0017,A004,6
SU0018,A004,6
SU0019,A004,6
SU0020,A004,6
SU0021,A004,6
SU0022,A004,6
SU0023,A004,6
SU0024,A004,6
SU0025,A004,6
SU0026,A004,6
SU0027,A004,6
SU0028,A004,6
SU0029,A004,6
SU0030,A004,6
SU0031,A004,6
SU0032,A004,6
SU0033,A004,6
SU0034,A004,6
SU0035,A004,6
SU0036,A004,6
SU0037,A004,6
SU0038,A004,6
SU0039,A004,6
SU0040,A004,6
SU0041,A004,6
SU0042,A004,6
SU0043,A004,6
SU0044,A004,6
SU0045,A004,6
SU0046,A004,6
SU0047,A004,6
SU0048,A004,6
SU0049,A004,6
SU0050,A004,6
SU0051,A004,6
SU0052,A004,6
SU0053,A004,6
SU0054,A004,6
SU0055,A004,6
SU0056,A004,6
SU0057,A004,6
SU0058,A004,6
SU0059,A004,6
SU0060,A004,6
SU0061,A004,6
SU0062,A004,6
SU0063,A004,6
SU0064,A004,6
SU0065,A004,6
SU0066,A004,6
SU0067,A004,6
SU0068,A004,6
SU0069,A004,6
SU0070,A004,6
SU0071,A004,6
SU0072,A004,6
SU0073,A004,6
SU0074,A004,6
SU0075,A004,6
SU0076,A004,6
SU0077,A004,6
SU0078,A004,6
SU0079,A004,6
SU0080,A004,6
SU0081,A004,6
SU0082,A004,6
SU0083,A004,6
SU0084,A004,6
SU0085,A004,6
SU0086,A004,6
SU0087,A004,6
SU0088,A004,6
SU0089,A004,6
SU0090,A004,6
SU0091,A004,6
SU0092,A004,6
SU0093,A004,6
SU0094,A004,6
SU0095,A004,6
SU0096,A004,6
SU0097,A004,6
SU0098,A004,6
SU0099,A004,6
SU0100,A004,6
SU0101,A004,6
SU0102,A004,6
SU0103,A004,6
SU0104,A004,6
SU0105,A004,6
SU0106,A004,6
SU0107,A004,6
SU0108,A004,6
SU0109,A004,6
SU0110,A004,6
SU0111,A004,6
SU0112,A004,6
SU0113,A004,6
SU0114,A004,6
SU0115,A004,6
SU0116,A004,6
SU0117,A004,6
SU0118,A004,6
SU0119,A004,6
SU0120,A004,6
SU0121,A004,6
SU0122,A004,6
SU0123,A004,6
SU0124,A004,6
SU0125,A004,6
SU0126,A004,6
SU0127,A004,6
SU0128,A004,6
SU0129,A004,6
SU0130,A004,6
SU0131,A004,6
SU0132,A004,6
SU0133,A004,6
SU0134,A004,6
SU0135,A004,6
SU0136,A004,6
SU0137,A004,6
SU0138,A004,6
SU0139,A004,6
SU0140,A004,6
SU0141,A004,6
SU0142,A004,6
SU0143,A004,6
SU0144,A004,6
SU0145,A004,6
SU0146,A004,6
SU0147,A004,6
SU0148,A004,6
SU0149,A004,6
SU0150,A004,6
SU0151,A004,6
SU0152,A004,6
SU0153,A004,6
SU0154,A004,6
SU0155,A004,6
SU0156,A004,6
SU0157,A004,6
SU0158,A004,6
SU0159,A004,6
SU0160,A004,6
SU0161,A004,6
SU0162,A004,6
SU0163,A004,6
SU0164,A004,6
SU0165,A004,6
SU0166,A004,6
SU0167,A004,6
SU0168,A004,6
SU0169,A004,6
SU0170,A004,6
SU0171,A004,6
SU0172,A004,6
SU0173,A004,6
SU0174,A004,6
SU0175,A004,6
SU0176,A004,6
SU0177,A004,6
SU0178,A004,6
SU0179,A004,6
SU0180,A004,6
SU0181,A004,6
SU0182,A004,6
SU0183,A004,6
SU0184,A004,6
SU0185,A004,6
SU0186,A004,6
SU0187,A004,6
SU0188,A004,6
SU0189,A004,6
SU0190,A004,6
SU0191,A004,6
SU0192,A004,6
SU0193,A004,6
SU0194,A004,6
SU0195,A004,6
SU0196,A004,6
SU0197,A004,6
SU0198,A004,6
SU0199,A004,6
SU0200,A004,6
SU0201,A004,6
SU0202,A004,6
SU0203,A004,6
SU0204,A004,6
SU0205,A004,6
SU0206,A004,6
SU0207,A004,6
SU0208,A004,6
SU0209,A004,6
SU0210,A004,6
SU0211,A004,6
SU0212,A004,6
SU0213,A004,6
SU0214,A004,6
SU0215,A004,6
SU0216,A004,6
SU0217,A004,6
SU0218,A004,6
SU0219,A004,6
SU0220,A004,6
SU0221,A004,6
SU0222,A004,6
SU0223,A004,6
SU0224,A004,6
SU0225,A004,6
SU0226,A004,6
SU0227,A004,6
SU0228,A004,6
SU0229,A004,6
SU0230,A004,6
SU0231,A004,6
SU0232,A004,6
SU0233,A004,6
SU0234,A004,6
SU0235,A004,6
SU0236,A004,6
SU0001,A005,6
SU0002,A005,6
SU0003,A005,6
SU0004,A005,6
SU0005,A005,6
SU0006,A005,6
SU0007,A005,6
SU0008,A005,6
SU0009,A005,6
SU0010,A005,6
SU0011,A005,6
SU0012,A005,6
SU0013,A005,6
SU0014,A005,6
SU0015,A005,6
SU0016,A005,6
SU0017,A005,6
SU0018,A005,6
SU0019,A005,6
SU0020,A005,6
SU0021,A005,6
SU0022,A005,6
SU0023,A005,6
SU0024,A005,6
SU0025,A005,6
SU0026,A005,6
SU0027,A005,6
SU0028,A005,6
SU0029,A005,6
SU0030,A005,6
SU0031,A005,6
SU0032,A005,6
SU0033,A005,6
SU0034,A005,6
SU0035,A005,6
SU0036,A005,6
SU0037,A005,6
SU0038,A005,6
SU0039,A005,6
SU0040,A005,6
SU0041,A005,6
SU0042,A005,6
SU0043,A005,6
SU0044,A005,6
SU0045,A005,6
SU0046,A005,6
SU0047,A005,6
SU0048,A005,6
SU0049,A005,6
SU0050,A005,6
SU0051,A005,6
SU0052,A005,6
SU0053,A005,6
SU0054,A005,6
SU0055,A005,6
SU0056,A005,6
SU0057,A005,6
SU0058,A005,6
SU0059,A005,6
SU0060,A005,6
SU0061,A005,6
SU0062,A005,6
SU0063,A005,6
SU0064,A005,6
SU0065,A005,6
SU0066,A005,6
SU0067,A005,6
SU0068,A005,6
SU0069,A005,6
SU0070,A005,6
SU0071,A005,6
SU0072,A005,6
SU0073,A005,6
SU0074,A005,6
SU0075,A005,6
SU0076,A005,6
SU0077,A005,6
SU0078,A005,6
SU0079,A005,6
SU0080,A005,6
SU0081,A005,6
SU0082,A005,6
SU0083,A005,6
SU0084,A005,6
SU0085,A005,6
SU0086,A005,6
SU0087,A005,6
SU0088,A005,6
SU0089,A005,6
SU0090,A005,6
SU0091,A005,6
SU0092,A005,6
SU0093,A005,6
SU0094,A005,6
SU0095,A005,6
SU0096,A005,6
SU0097,A005,6
SU0098,A005,6
SU0099,A005,6
SU0100,A005,6
SU0101,A005,6
SU0102,A005,6
SU0103,A005,6
SU0104,A005,6
SU0105,A005,6
SU0106,A005,6
SU0107,A005,6
SU0108,A005,6
SU0109,A005,6
SU0110,A005,6
SU0111,A005,6
SU0112,A005,6
SU0113,A005,6
SU0114,A005,6
SU0115,A005,6
SU0116,A005,6
SU0117,A005,6
SU0118,A005,6
SU0119,A005,6
SU0120,A005,6
SU0121,A005,6
SU0122,A005,6
SU0123,A005,6
SU0124,A005,6
SU0125,A005,6
SU0126,A005,6
SU0127,A005,6
SU0128,A005,6
SU0129,A005,6
SU0130,A005,6
SU0131,A005,6
SU0132,A005,6
SU0133,A005,6
SU0134,A005,6
SU0135,A005,6
SU0136,A005,6
SU0137,A005,6
SU0138,A005,6
SU0139,A005,6
SU0140,A005,6
SU0141,A005,6
SU0142,A005,6
SU0143,A005,6
SU0144,A005,6
SU0145,A005,6
SU0146,A005,6
SU0147,A005,6
SU0148,A005,6
SU0149,A005,6
SU0150,A005,6
SU0151,A005,6
SU0152,A005,6
SU0153,A005,6
SU0154,A005,6
SU0155,A005,6
SU0156,A005,6
SU0157,A005,6
SU0158,A005,6
SU0159,A005,6
SU0160,A005,6
SU0161,A005,6
SU0162,A005,6
SU0163,A005,6
SU0164,A005,6
SU0165,A005,6
SU0166,A005,6
SU0167,A005,6
SU0168,A005,6
SU0169,A005,6
SU0170,A005,6
SU0171,A005,6
SU0172,A005,6
SU0173,A005,6
SU0174,A005,6
SU0175,A005,6
SU0176,A005,6
SU0177,A005,6
SU0178,A005,6
SU0179,A005,6
SU0180,A005,6
SU0181,A005,6
SU0182,A005,6
SU0183,A005,6
SU0184,A005,6
SU0185,A005,6
SU0186,A005,6
SU0187,A005,6
SU0188,A005,6
SU0189,A005,6
SU0190,A005,6
SU0191,A005,6
SU0192,A005,6
SU0193,A005,6
SU0194,A005,6
SU0195,A005,6
SU0196,A005,6
SU0197,A005,6
SU0198,A005,6
SU0199,A005,6
SU0200,A005,6
SU0201,A005,6
SU0202,A005,6
SU0203,A005,6
SU0204,A005,6
SU0205,A005,6
SU0206,A005,6
SU0207,A005,6
SU0208,A005,6
SU0209,A005,6
SU0210,A005,6
SU0211,A005,6
SU0212,A005,6
SU0213,A005,6
SU0214,A005,6
SU0215,A005,6
SU0216,A005,6
SU0217,A005,6
SU0218,A005,6
SU0219,A005,6
SU0220,A005,6
SU0221,A005,6
SU0222,A005,6
SU0223,A005,6
SU0224,A005,6
SU0225,A005,6
SU0226,A005,6
SU0227,A005,6
SU0228,A005,6
SU0229,A005,6
SU0230,A005,6
SU0231,A005,6
SU0232,A005,6
SU0233,A005,6
SU0234,A005,6
SU0235,A005,6
SU0236,A005,6
SU0001,A006,6
SU0002,A006,6
SU0003,A006,6
SU0004,A006,6
SU0005,A006,6
SU0006,A006,6
SU0007,A006,6
SU0008,A006,6
SU0009,A006,6
SU0010,A006,6
SU0011,A006,6
SU0012,A006,6
SU0013,A006,6
SU0014,A006,6
SU0015,A006,6
SU0016,A006,6
SU0017,A006,6
SU0018,A006,6
SU0019,A006,6
SU0020,A006,6
SU0021,A006,6
SU0022,A006,6
SU0023,A006,6
SU0024,A006,6
SU0025,A006,6
SU0026,A006,6
SU0027,A006,6
SU0028,A006,6
SU0029,A006,6
SU0030,A006,6
SU0031,A006,6
SU0032,A006,6
SU0033,A006,6
SU0034,A006,6
SU0035,A006,6
SU0036,A006,6
SU0037,A006,6
SU0038,A006,6
SU0039,A006,6
SU0040,A006,6
SU0041,A006,6
SU0042,A006,6
SU0043,A006,6
SU0044,A006,6
SU0045,A006,6
SU0046,A006,6
SU0047,A006,6
SU0048,A006,6
SU0049,A006,6
SU0050,A006,6
SU0051,A006,6
SU0052,A006,6
SU0053,A006,6
SU0054,A006,6
SU0055,A006,6
SU0056,A006,6
SU0057,A006,6
SU0058,A006,6
SU0059,A006,6
SU0060,A006,6
SU0061,A006,6
SU0062,A006,6
SU0063,A006,6
SU0064,A006,6
SU0065,A006,6
SU0066,A006,6
SU0067,A006,6
SU0068,A006,6
SU0069,A006,6
SU0070,A006,6
SU0071,A006,6
SU0072,A006,6
SU0073,A006,6
SU0074,A006,6
SU0075,A006,6
SU0076,A006,6
SU0077,A006,6
SU0078,A006,6
SU0079,A006,6
SU0080,A006,6
SU0081,A006,6
SU0082,A006,6
SU0083,A006,6
SU0084,A006,6
SU0085,A006,6
SU0086,A006,6
SU0087,A006,6
SU0088,A006,6
SU0089,A006,6
SU0090,A006,6
SU0091,A006,6
SU0092,A006,6
SU0093,A006,6
SU0094,A006,6
SU0095,A006,6
SU0096,A006,6
SU0097,A006,6
SU0098,A006,6
SU0099,A006,6
SU0100,A006,6
SU0101,A006,6
SU0102,A006,6
SU0103,A006,6
SU0104,A006,6
SU0105,A006,6
SU0106,A006,6
SU0107,A006,6
SU0108,A006,6
SU0109,A006,6
SU0110,A006,6
SU0111,A006,6
SU0112,A006,6
SU0113,A006,6
SU0114,A006,6
SU0115,A006,6
SU0116,A006,6
SU0117,A006,6
SU0118,A006,6
SU0119,A006,6
SU0120,A006,6
SU0121,A006,6
SU0122,A006,6
SU0123,A006,6
SU0124,A006,6
SU0125,A006,6
SU0126,A006,6
SU0127,A006,6
SU0128,A006,6
SU0129,A006,6
SU0130,A006,6
SU0131,A006,6
SU0132,A006,6
SU0133,A006,6
SU0134,A006,6
SU0135,A006,6
SU0136,A006,6
SU0137,A006,6
SU0138,A006,6
SU0139,A006,6
SU0140,A006,6
SU0141,A006,6
SU0142,A006,6
SU0143,A006,6
SU0144,A006,6
SU0145,A006,6
SU0146,A006,6
SU0147,A006,6
SU0148,A006,6
SU0149,A006,6
SU0150,A006,6
SU0151,A006,6
SU0152,A006,6
SU0153,A006,6
SU0154,A006,6
SU0155,A006,6
SU0156,A006,6
SU0157,A006,6
SU0158,A006,6
SU0159,A006,6
SU0160,A006,6
SU0161,A006,6
SU0162,A006,6
SU0163,A006,6
SU0164,A006,6
SU0165,A006,6
SU0166,A006,6
SU0167,A006,6
SU0168,A006,6
SU0169,A006,6
SU0170,A006,6
SU0171,A006,6
SU0172,A006,6
SU0173,A006,6
SU0174,A006,6
SU0175,A006,6
SU0176,A006,6
SU0177,A006,6
SU0178,A006,6
SU0179,A006,6
SU0180,A006,6
SU0181,A006,6
SU0182,A006,6
SU0183,A006,6
SU0184,A006,6
SU0185,A006,6
SU0186,A006,6
SU0187,A006,6
SU0188,A006,6
SU0189,A006,6
SU0190,A006,6
SU0191,A006,6
SU0192,A006,6
SU0193,A006,6
SU0194,A006,6
SU0195,A006,6
SU0196,A006,6
SU0197,A006,6
SU0198,A006,6
SU0199,A006,6
SU0200,A006,6
SU0201,A006,6
SU0202,A006,6
SU0203,A006,6
SU0204,A006,6
SU0205,A006,6
SU0206,A006,6
SU0207,A006,6
SU0208,A006,6
SU0209,A006,6
SU0210,A006,6
SU0211,A006,6
SU0212,A006,6
SU0213,A006,6
SU0214,A006,6
SU0215,A006,6
SU0216,A006,6
