type,item,day,cost
Stock,SKU002,13,2.0
Order,SKU002,13,0.0
Stock,SKU002,14,38.0
Order,SKU002,14,440.0
Stock,SKU002,15,28.0
Order,SKU002,15,0.0
Stock,SKU002,16,18.0
Order,SKU002,16,0.0
Stock,SKU002,17,11.0
Order,SKU002,17,0.0
Stock,SKU002,18,2.0
Order,SKU002,18,0.0
Stock,SKU002,19,34.0
Order,SKU002,19,380.0
Stock,SKU002,20,23.0
Order,SKU002,20,0.0
Stock,SKU002,21,13.0
Order,SKU002,21,0.0
Stock,SKU002,22,7.0
Order,SKU002,22,0.0
Stock,SKU002,23,2.0
Order,SKU002,23,0.0
Stock,SKU002,24,36.0
Order,SKU002,24,400.0
Stock,SKU002,25,27.0
Order,SKU002,25,0.0
Stock,SKU002,26,18.0
Order,SKU002,26,0.0
Stock,SKU002,27,10.0
Order,SKU002,27,0.0
Stock,SKU002,28,2.0
Order,SKU002,28,0.0
Stock,SKU002,29,2.0
Order,SKU002,29,132.0
Stock,SKU002,30,2.0
Order,SKU002,30,60.0
Stock,SKU003,1,61.0
Order,SKU003,1,0.0
Stock,SKU003,2,53.0
Order,SKU003,2,0.0
Stock,SKU003,3,47.0
Order,SKU003,3,0.0
Stock,SKU003,4,44.0
Order,SKU003,4,44.0
Stock,SKU003,5,34.0
Order,SKU003,5,0.0
Stock,SKU003,6,22.0
Order,SKU003,6,0.0
Stock,SKU003,7,14.0
Order,SKU003,7,0.0
Stock,SKU003,8,2.0
Order,SKU003,8,0.0
Stock,SKU003,9,45.0
Order,SKU003,9,510.0
Stock,SKU003,10,36.0
Order,SKU003,10,0.0
Stock,SKU003,11,26.0
Order,SKU003,11,0.0
Stock,SKU003,12,14.0
Order,SKU003,12,0.0
Stock,SKU003,13,2.0
Order,SKU003,13,0.0
Stock,SKU003,14,37.0
Order,SKU003,14,492.0
Stock,SKU003,15,28.0
Order,SKU003,15,0.0
Stock,SKU003,16,20.0
Order,SKU003,16,0.0
Stock,SKU003,17,12.0
Order,SKU003,17,0.0
Stock,SKU003,18,2.0
Order,SKU003,18,0.0
Stock,SKU003,19,31.0
Order,SKU003,19,492.0
Stock,SKU003,20,25.0
Order,SKU003,20,0.0
Stock,SKU003,21,15.0
Order,SKU003,21,0.0
Stock,SKU003,22,7.0
Order,SKU003,22,0.0
Stock,SKU003,23,2.0
Order,SKU003,23,0.0
Stock,SKU003,24,37.0
Order,SKU003,24,484.0
Stock,SKU003,25,27.0
Order,SKU003,25,0.0
Stock,SKU003,26,17.0
Order,SKU003,26,0.0
Stock,SKU003,27,10.0
Order,SKU003,27,0.0
Stock,SKU003,28,2.0
Order,SKU003,28,0.0
Stock,SKU003,29,2.0
Order,SKU003,29,96.0
Stock,SKU003,30,2.0
Order,SKU003,30,70.0
Stock,SKU004,1,65.0
Order,SKU004,1,0.0
Stock,SKU004,2,54.0
Order,SKU004,2,0.0
Stock,SKU004,3,48.0
Order,SKU004,3,0.0
Stock,SKU004,4,43.0
Order,SKU004,4,0.0
Stock,SKU004,5,32.0
Order,SKU004,5,0.0
Stock,SKU004,6,26.0
Order,SKU004,6,0.0
Stock,SKU004,7,21.0
Order,SKU004,7,0.0
Stock,SKU004,8,13.0
Order,SKU004,8,0.0
Stock,SKU004,9,28.0
Order,SKU004,9,324.0
Stock,SKU004,10,22.0
Order,SKU004,10,0.0
Stock,SKU004,11,14.0
Order,SKU004,11,0.0
Stock,SKU004,12,7.0
Order,SKU004,12,0.0
Stock,SKU004,13,2.0
Order,SKU004,13,0.0
Stock,SKU004,14,36.0
Order,SKU004,14,495.0
Stock,SKU004,15,29.0
Order,SKU004,15,0.0
Stock,SKU004,16,18.0
Order,SKU004,16,0.0
Stock,SKU004,17,10.0
Order,SKU004,17,0.0
Stock,SKU004,18,2.0
Order,SKU004,18,0.0
Stock,SKU004,19,37.0
Order,SKU004,19,440.0
Stock,SKU004,20,27.0
Order,SKU004,20,0.0
Stock,SKU004,21,20.0
Order,SKU004,21,0.0
Stock,SKU004,22,11.0
Order,SKU004,22,0.0
Stock,SKU004,23,2.0
Order,SKU004,23,0.0
Stock,SKU004,24,33.0
Order,SKU004,24,396.0
Stock,SKU004,25,28.0
Order,SKU004,25,0.0
Stock,SKU004,26,17.0
Order,SKU004,26,0.0
Stock,SKU004,27,8.0
Order,SKU004,27,0.0
Stock,SKU004,28,2.0
Order,SKU004,28,0.0
Stock,SKU004,29,2.0
Order,SKU004,29,100.0
Stock,SKU004,30,2.0
Order,SKU004,30,55.0
Stock,SKU005,1,53.0
Order,SKU005,1,0.0
Stock,SKU005,2,42.0
Order,SKU005,2,0.0
Stock,SKU005,3,32.0
Order,SKU005,3,0.0
Stock,SKU005,4,43.0
Order,SKU005,4,228.0
Stock,SKU005,5,32.0
Order,SKU005,5,0.0
Stock,SKU005,6,21.0
Order,SKU005,6,0.0
Stock,SKU005,7,13.0
Order,SKU005,7,0.0
Stock,SKU005,8,2.0
Order,SKU005,8,0.0
Stock,SKU005,9,42.0
Order,SKU005,9,480.0
Stock,SKU005,10,30.0
Order,SKU005,10,0.0
Stock,SKU005,11,18.0
Order,SKU005,11,0.0
Stock,SKU005,12,7.0
Order,SKU005,12,0.0
Stock,SKU005,13,2.0
Order,SKU005,13,0.0
Stock,SKU005,14,36.0
Order,SKU005,14,480.0
Stock,SKU005,15,29.0
Order,SKU005,15,0.0
Stock,SKU005,16,18.0
Order,SKU005,16,0.0
Stock,SKU005,17,11.0
Order,SKU005,17,0.0
Stock,SKU005,18,2.0
Order,SKU005,18,0.0
Stock,SKU005,19,35.0
Order,SKU005,19,492.0
Stock,SKU005,20,23.0
Order,SKU005,20,0.0
Stock,SKU005,21,16.0
Order,SKU005,21,0.0
Stock,SKU005,22,10.0
Order,SKU005,22,0.0
Stock,SKU005,23,2.0
Order,SKU005,23,0.0
Stock,SKU005,24,29.0
Order,SKU005,24,385.0
Stock,SKU005,25,22.0
Order,SKU005,25,0.0
Stock,SKU005,26,16.0
Order,SKU005,26,0.0
Stock,SKU005,27,11.0
Order,SKU005,27,0.0
Stock,SKU005,28,2.0
Order,SKU005,28,0.0
Stock,SKU005,29,2.0
Order,SKU005,29,110.0
Stock,SKU005,30,2.0
Order,SKU005,30,60.0
